t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187898.666423989,upz5ym6sftaz,Bobbi,0,xuieka,25,34840,1,0,0,228,True,0
187901.404887455,upz5ym6sftaz,Bobbi,0,5o6o0b,22,45766,2,0,0,100,True,0
187942.642935287,upz5ym6sftaz,Bobbi,5,gk2nlx,73,52711,1,0,0,228,True,0
187943.379079293,upz5ym6sftaz,Bobbi,5,xuieka,17,1412,2,0,100,0,True,0
187944.618685236,upz5ym6sftaz,Bobbi,5,gk2nlx,73,52711,2,0,0,100,True,0
187946.5649453,upz5ym6sftaz,Bobbi,5,xuieka,78,23957,2,0,100,0,True,0
188006.908311507,upz5ym6sftaz,Bobbi,11,gk2nlx,40,7560,1,0,0,228,True,0
188008.123303671,upz5ym6sftaz,Bobbi,11,xuieka,54,5463,2,0,100,0,True,0
188009.999911871,upz5ym6sftaz,Bobbi,11,xuieka,15,12342,2,0,100,0,True,0
188055.886320506,upz5ym6sftaz,Bobbi,16,gk2nlx,62,42485,1,0,0,228,True,0
188056.655338292,upz5ym6sftaz,Bobbi,16,gk2nlx,25,11493,1,0,0,228,True,0
188058.206068702,upz5ym6sftaz,Bobbi,16,gk2nlx,36,53847,1,0,0,228,True,0
188059.653468927,upz5ym6sftaz,Bobbi,16,gk2nlx,26,22723,2,0,0,100,True,0
188060.848739804,upz5ym6sftaz,Bobbi,16,gk2nlx,43,39228,2,0,0,100,True,0
188062.719516075,upz5ym6sftaz,Bobbi,17,gk2nlx,11,16828,1,0,0,228,True,1
188252.617214536,upz5ym6sftaz,Bobbi,36,xuieka,68,19050,2,0,100,0,True,0
