t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187901.02765292,uwbtz965a9dw,Many,0,9zghdu,23,32913,1,0,0,228,True,0
187911.8896283,uwbtz965a9dw,Many,2,9zghdu,3,35284,1,0,0,228,True,0
187924.356702093,uwbtz965a9dw,Many,3,9zghdu,70,52624,2,0,0,100,True,0
187965.015943257,uwbtz965a9dw,Many,7,9zghdu,50,56189,1,0,0,228,True,0
187967.155383877,uwbtz965a9dw,Many,7,9zghdu,9,21270,1,0,0,228,True,0
187973.720868777,uwbtz965a9dw,Many,8,9zghdu,6,17372,1,0,0,228,True,0
187975.28718493,uwbtz965a9dw,Many,8,9zghdu,32,35636,1,0,0,228,True,0
187977.091851348,uwbtz965a9dw,Many,8,9zghdu,18,47406,1,0,0,228,True,0
187979.595943962,uwbtz965a9dw,Many,8,9zghdu,79,16227,1,0,0,228,True,0
187983.953011372,uwbtz965a9dw,Many,9,9zghdu,42,38591,2,0,0,100,True,0
187988.999902618,uwbtz965a9dw,Many,9,9zghdu,71,29706,2,0,0,100,True,0
187992.514473002,uwbtz965a9dw,Many,10,9zghdu,62,60876,2,0,0,100,True,0
187996.274692963,uwbtz965a9dw,Many,10,9zghdu,76,52519,1,0,0,228,True,0
188004.093947278,uwbtz965a9dw,Many,11,9zghdu,72,34149,1,0,0,228,True,0
188008.507209832,uwbtz965a9dw,Many,11,9zghdu,19,15447,1,0,0,228,True,0
188010.676140338,uwbtz965a9dw,Many,11,9zghdu,73,58463,2,0,0,100,True,0
188011.509605012,uwbtz965a9dw,Many,11,9zghdu,41,20435,1,0,0,228,True,0
188015.868361666,uwbtz965a9dw,Many,12,9zghdu,22,57646,1,0,0,228,True,1
188016.587905041,uwbtz965a9dw,Many,12,9zghdu,60,32043,1,0,0,228,True,0
188017.981496904,uwbtz965a9dw,Many,12,9zghdu,38,31613,1,0,0,228,True,0
188021.649090192,uwbtz965a9dw,Many,13,9zghdu,49,28857,1,0,0,228,True,0
188033.164556203,uwbtz965a9dw,Many,14,9zghdu,14,58231,1,0,0,228,True,0
188035.299876046,uwbtz965a9dw,Many,14,9zghdu,0,38287,1,0,0,228,True,1
188036.000995432,uwbtz965a9dw,Many,14,9zghdu,10,38190,1,0,0,228,True,0
188037.169990514,uwbtz965a9dw,Many,14,9zghdu,0,18559,1,0,0,228,True,0
188072.396083857,uwbtz965a9dw,Many,18,9zghdu,59,48834,1,0,0,228,True,0
188075.034789242,uwbtz965a9dw,Many,18,9zghdu,2,39974,2,0,0,100,True,1
188075.406732106,uwbtz965a9dw,Many,18,9zghdu,79,7368,2,0,0,100,True,1
188075.780094292,uwbtz965a9dw,Many,18,9zghdu,60,29723,2,0,0,100,True,0
188077.630965036,uwbtz965a9dw,Many,18,9zghdu,79,50855,2,0,0,100,True,0
