t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187897.886419336,z1n8kte5dv2k,Evelyne,0,5o6o0b,22,45766,1,228,0,0,True,0
187898.577631283,z1n8kte5dv2k,Evelyne,0,vo0ntb,51,24321,1,228,0,0,True,0
187899.355213038,z1n8kte5dv2k,Evelyne,0,5o6o0b,6,3388,1,228,0,0,True,1
187900.162197572,z1n8kte5dv2k,Evelyne,0,vo0ntb,74,62226,1,228,0,0,True,2
187900.98327035,z1n8kte5dv2k,Evelyne,0,58o1qr,17,33608,1,0,0,228,True,3
187901.845520652,z1n8kte5dv2k,Evelyne,1,gk2nlx,73,52711,1,0,0,228,True,4
187902.545722749,z1n8kte5dv2k,Evelyne,1,58o1qr,68,48576,1,0,0,228,True,4
187903.290296065,z1n8kte5dv2k,Evelyne,1,gk2nlx,20,50546,1,0,0,228,True,7
187903.999540614,z1n8kte5dv2k,Evelyne,1,9zghdu,23,32913,1,0,0,228,True,9
187904.788327833,z1n8kte5dv2k,Evelyne,1,xuieka,58,14044,1,0,0,228,True,11
187905.588119289,z1n8kte5dv2k,Evelyne,1,gk2nlx,67,53758,1,0,0,228,True,13
187905.969733712,z1n8kte5dv2k,Evelyne,1,9zghdu,13,24318,2,0,0,100,True,13
187906.680291817,z1n8kte5dv2k,Evelyne,1,dr23ql,74,51389,1,0,0,228,True,16
187907.388156648,z1n8kte5dv2k,Evelyne,1,58o1qr,71,34758,1,0,0,228,True,17
187908.128787375,z1n8kte5dv2k,Evelyne,1,gk2nlx,10,14703,1,0,0,228,True,19
187908.13637765,z1n8kte5dv2k,Evelyne,1,5cl5st,59,15975,2,0,100,0,True,18
187908.148100637,z1n8kte5dv2k,Evelyne,1,5cl5st,50,55686,2,0,100,0,True,17
187908.857102557,z1n8kte5dv2k,Evelyne,1,gk2nlx,21,17508,1,0,0,228,True,16
187909.249968266,z1n8kte5dv2k,Evelyne,1,58o1qr,68,48576,2,0,0,100,True,17
187909.967098911,z1n8kte5dv2k,Evelyne,1,gk2nlx,29,650,1,0,0,228,True,18
187909.974992838,z1n8kte5dv2k,Evelyne,1,5cl5st,24,26794,2,0,100,0,True,17
187910.665207223,z1n8kte5dv2k,Evelyne,1,dr23ql,64,64096,1,0,0,228,True,17
187911.084079642,z1n8kte5dv2k,Evelyne,1,58o1qr,76,13780,2,0,0,100,True,19
187912.008456495,z1n8kte5dv2k,Evelyne,2,xuieka,47,40104,1,0,0,228,True,20
187912.709779849,z1n8kte5dv2k,Evelyne,2,58o1qr,36,25285,1,0,0,228,True,19
187912.716915931,z1n8kte5dv2k,Evelyne,2,vo0ntb,74,62226,2,0,100,0,True,18
187913.196078285,z1n8kte5dv2k,Evelyne,2,dr23ql,11,42564,2,0,0,100,True,18
187913.903356352,z1n8kte5dv2k,Evelyne,2,xuieka,35,43814,1,0,0,228,True,18
187914.624883832,z1n8kte5dv2k,Evelyne,2,gk2nlx,71,11568,1,0,0,228,True,19
187915.327629361,z1n8kte5dv2k,Evelyne,2,xuieka,79,48884,1,0,0,228,True,19
187915.772052391,z1n8kte5dv2k,Evelyne,2,dr23ql,74,51389,2,0,0,100,True,18
187916.46700702,z1n8kte5dv2k,Evelyne,2,dr23ql,21,30713,1,0,0,228,True,18
187916.882309256,z1n8kte5dv2k,Evelyne,2,xuieka,58,14044,2,0,0,100,True,19
187917.587275728,z1n8kte5dv2k,Evelyne,2,58o1qr,38,63441,1,0,0,228,True,22
187918.367535452,z1n8kte5dv2k,Evelyne,2,gk2nlx,58,53993,1,0,0,228,True,22
187918.818787671,z1n8kte5dv2k,Evelyne,2,58o1qr,45,13285,2,0,0,100,True,21
187919.522998467,z1n8kte5dv2k,Evelyne,2,xuieka,77,45398,1,0,0,228,True,22
187919.530197531,z1n8kte5dv2k,Evelyne,2,18knvy,63,42723,1,0,228,0,True,21
187919.919445821,z1n8kte5dv2k,Evelyne,2,18knvy,63,42723,2,100,0,0,True,24
187920.650356773,z1n8kte5dv2k,Evelyne,2,dr23ql,71,59547,1,0,0,228,True,24
187921.10790716,z1n8kte5dv2k,Evelyne,2,gk2nlx,10,14703,2,0,0,100,True,25
187921.963238525,z1n8kte5dv2k,Evelyne,3,5cl5st,31,40246,1,0,0,228,True,25
187922.328197862,z1n8kte5dv2k,Evelyne,3,58o1qr,77,24127,2,0,0,100,True,24
187923.041620229,z1n8kte5dv2k,Evelyne,3,gk2nlx,64,52927,1,0,0,228,True,26
187923.053563195,z1n8kte5dv2k,Evelyne,3,5cl5st,61,60356,2,0,100,0,True,25
187923.061430482,z1n8kte5dv2k,Evelyne,3,5cl5st,42,59270,2,0,100,0,True,24
187923.456460469,z1n8kte5dv2k,Evelyne,3,dr23ql,39,5435,2,0,0,100,True,23
187923.858963567,z1n8kte5dv2k,Evelyne,3,xuieka,47,40104,2,0,0,100,True,22
187924.58839456,z1n8kte5dv2k,Evelyne,3,58o1qr,39,47941,1,0,0,228,True,21
