t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
187899.57298119,z8iukx2yeygb,Julianna,0,5a34zk,41,7655,1,0,228,0,True,0
187899.949507188,z8iukx2yeygb,Julianna,0,5a34zk,41,7655,2,100,0,0,True,0
187900.29511549,z8iukx2yeygb,Julianna,0,5a34zk,77,49981,1,0,228,0,True,0
187900.706085557,z8iukx2yeygb,Julianna,0,5a34zk,77,49981,2,100,0,0,True,0
187902.24363775,z8iukx2yeygb,Julianna,1,5a34zk,56,21217,1,0,228,0,True,0
187902.625328167,z8iukx2yeygb,Julianna,1,5a34zk,56,21217,2,100,0,0,True,0
187903.021372616,z8iukx2yeygb,Julianna,1,5a34zk,78,23728,1,0,228,0,True,0
187903.456674931,z8iukx2yeygb,Julianna,1,5a34zk,78,23728,2,100,0,0,True,1
187903.907218119,z8iukx2yeygb,Julianna,1,5a34zk,56,21217,2,0,0,100,True,0
187907.561906912,z8iukx2yeygb,Julianna,1,gk2nlx,45,23917,2,0,100,0,True,0
187919.766777519,z8iukx2yeygb,Julianna,2,gk2nlx,71,11568,2,0,100,0,True,0
187921.128627889,z8iukx2yeygb,Julianna,2,gk2nlx,10,14703,2,0,100,0,True,0
187923.192993503,z8iukx2yeygb,Julianna,3,gk2nlx,58,53993,2,0,100,0,True,0
187927.06762683,z8iukx2yeygb,Julianna,3,gk2nlx,64,52927,2,0,100,0,True,1
187927.074299872,z8iukx2yeygb,Julianna,3,gk2nlx,5,4874,2,0,100,0,True,0
188009.70680472,z8iukx2yeygb,Julianna,11,gk2nlx,40,7560,2,0,100,0,True,0
188065.00883351,z8iukx2yeygb,Julianna,17,gk2nlx,11,16828,2,0,100,0,True,0
188071.656655931,z8iukx2yeygb,Julianna,17,gk2nlx,43,39228,2,0,100,0,True,0
188073.82363468,z8iukx2yeygb,Julianna,18,gk2nlx,24,16465,2,0,100,0,True,0
188075.454161841,z8iukx2yeygb,Julianna,18,gk2nlx,32,10352,2,0,100,0,True,0
188423.84170542,z8iukx2yeygb,Julianna,53,5a34zk,13,60315,1,0,228,0,True,0
188424.223582631,z8iukx2yeygb,Julianna,53,5a34zk,13,60315,2,100,0,0,True,0
188426.701724804,z8iukx2yeygb,Julianna,53,5a34zk,27,53941,1,0,228,0,True,1
188427.078386802,z8iukx2yeygb,Julianna,53,5a34zk,27,53941,2,100,0,0,True,1
188427.085592665,z8iukx2yeygb,Julianna,53,5a34zk,58,56255,1,0,228,0,True,0
188427.471796901,z8iukx2yeygb,Julianna,53,5a34zk,58,56255,2,100,0,0,True,0
188427.506967772,z8iukx2yeygb,Julianna,53,5a34zk,62,30082,1,0,228,0,True,0
188427.885891328,z8iukx2yeygb,Julianna,53,5a34zk,62,30082,2,100,0,0,True,2
188428.26318703,z8iukx2yeygb,Julianna,53,5a34zk,58,56255,2,0,0,100,True,1
188428.63928489,z8iukx2yeygb,Julianna,53,5a34zk,27,53941,2,0,0,100,True,0
188428.968146436,z8iukx2yeygb,Julianna,53,5a34zk,52,12535,1,0,228,0,True,0
188429.335881788,z8iukx2yeygb,Julianna,53,5a34zk,52,12535,2,100,0,0,True,0
188430.649125717,z8iukx2yeygb,Julianna,53,5a34zk,67,27578,1,0,228,0,True,0
188431.065145808,z8iukx2yeygb,Julianna,53,5a34zk,67,27578,2,100,0,0,True,0
188431.838846269,z8iukx2yeygb,Julianna,53,5a34zk,67,27578,2,0,0,100,True,0
188433.275558502,z8iukx2yeygb,Julianna,54,5a34zk,53,1687,2,0,0,100,True,0
188434.164142776,z8iukx2yeygb,Julianna,54,5a34zk,69,57213,1,0,228,0,True,0
188434.539293688,z8iukx2yeygb,Julianna,54,5a34zk,69,57213,2,100,0,0,True,1
188434.923658303,z8iukx2yeygb,Julianna,54,5a34zk,45,44852,2,0,0,100,True,0
