t,user,current_round
187891.471613589,Delaine,0
187901.586768155,Delaine,1
187911.783174048,Delaine,2
187921.867722007,Delaine,3
187931.945000288,Delaine,4
187942.01776524,Delaine,5
187952.089112443,Delaine,6
187962.193675632,Delaine,7
187972.222510332,Delaine,8
187982.276814198,Delaine,9
187992.337543777,Delaine,10
188002.352085934,Delaine,11
188012.405338686,Delaine,12
188022.440782167,Delaine,13
188032.499455757,Delaine,14
188042.517823701,Delaine,15
188052.532783234,Delaine,16
188062.545596729,Delaine,17
188072.567598288,Delaine,18
188082.581681713,Delaine,19
188092.585847468,Delaine,20
188102.621178034,Delaine,21
188112.648213996,Delaine,22
188122.669596386,Delaine,23
188132.672756543,Delaine,24
188142.675912609,Delaine,25
188152.693421624,Delaine,26
188162.704144811,Delaine,27
188172.70891921,Delaine,28
188182.718284294,Delaine,29
188192.721872462,Delaine,30
188202.784564973,Delaine,31
188212.796065627,Delaine,32
188222.811588921,Delaine,33
188232.833406647,Delaine,34
188242.849006678,Delaine,35
188252.849594784,Delaine,36
188262.852393156,Delaine,37
188272.862333117,Delaine,38
188282.879462893,Delaine,39
188292.896520432,Delaine,40
188302.897045301,Delaine,41
188312.907518134,Delaine,42
188322.908605665,Delaine,43
188332.916056,Delaine,44
188342.921436564,Delaine,45
188352.932716962,Delaine,46
188362.951377874,Delaine,47
188372.984276599,Delaine,48
188382.997784578,Delaine,49
188392.999307729,Delaine,50
188402.999419839,Delaine,51
188413.002700605,Delaine,52
188423.006982897,Delaine,53
188433.016329402,Delaine,54
188443.02703274,Delaine,55
188453.033817867,Delaine,56
188463.03407282,Delaine,57
188473.043931163,Delaine,58
188483.049551366,Delaine,59
