t,user,current_round
187891.411696271,Demetra,0
187901.540586542,Demetra,1
187911.714322461,Demetra,2
187921.781808402,Demetra,3
187931.863875975,Demetra,4
187941.928134374,Demetra,5
187951.988934106,Demetra,6
187962.057982414,Demetra,7
187972.07827102,Demetra,8
187982.144203939,Demetra,9
187992.224807941,Demetra,10
188002.299425179,Demetra,11
188012.302463609,Demetra,12
188022.32374933,Demetra,13
188032.367104862,Demetra,14
188042.382428788,Demetra,15
188052.412219064,Demetra,16
188062.422066092,Demetra,17
188072.472312269,Demetra,18
188082.476311643,Demetra,19
188092.491399278,Demetra,20
188102.496071944,Demetra,21
188112.502810793,Demetra,22
188122.522315063,Demetra,23
188132.522845469,Demetra,24
188142.529709299,Demetra,25
188152.532018948,Demetra,26
188162.573632459,Demetra,27
188172.585016252,Demetra,28
188182.602580116,Demetra,29
188192.661096621,Demetra,30
188202.692806618,Demetra,31
188212.705421619,Demetra,32
188222.715785626,Demetra,33
188232.726133584,Demetra,34
188242.736960097,Demetra,35
188252.75017081,Demetra,36
188262.761693578,Demetra,37
188272.770370273,Demetra,38
188282.77921569,Demetra,39
188292.779457628,Demetra,40
188302.78929269,Demetra,41
188312.801487581,Demetra,42
188322.819383149,Demetra,43
188332.824022601,Demetra,44
188342.826812228,Demetra,45
188352.830856759,Demetra,46
188362.83639258,Demetra,47
188372.838753695,Demetra,48
188382.853836332,Demetra,49
188392.873610774,Demetra,50
188402.877091583,Demetra,51
188412.890452911,Demetra,52
188422.900956418,Demetra,53
188432.908188786,Demetra,54
188442.911184823,Demetra,55
188452.91283612,Demetra,56
188462.913035847,Demetra,57
188472.925365569,Demetra,58
188482.93935755,Demetra,59
