t,user,current_round
187891.204354565,Livia,0
187901.418030602,Livia,1
187911.525374432,Livia,2
187921.565903876,Livia,3
187931.620100369,Livia,4
187941.712109278,Livia,5
187951.74936453,Livia,6
187961.781967724,Livia,7
187971.803393273,Livia,8
187981.839863078,Livia,9
187991.846671401,Livia,10
188001.929494272,Livia,11
188011.930680605,Livia,12
188021.932349901,Livia,13
188031.935418663,Livia,14
188041.948683859,Livia,15
188051.993404056,Livia,16
188062.043913543,Livia,17
188072.062396743,Livia,18
188082.0649134,Livia,19
188092.082248371,Livia,20
188102.101379081,Livia,21
188112.111855761,Livia,22
188122.134554598,Livia,23
188132.178854187,Livia,24
188142.183231005,Livia,25
188152.219856541,Livia,26
188162.231837427,Livia,27
188172.246812703,Livia,28
188182.253968692,Livia,29
188192.266838381,Livia,30
188202.271269335,Livia,31
188212.276731678,Livia,32
188222.28131407,Livia,33
188232.294056718,Livia,34
188242.305061754,Livia,35
188252.310225672,Livia,36
188262.321487695,Livia,37
188272.323521476,Livia,38
188282.329486615,Livia,39
188292.329989063,Livia,40
188302.332236651,Livia,41
188312.340977527,Livia,42
188322.352933725,Livia,43
188332.353927376,Livia,44
188342.367712928,Livia,45
188352.373261344,Livia,46
188362.394730378,Livia,47
188372.408222722,Livia,48
188382.41423048,Livia,49
188392.421364519,Livia,50
188402.430330986,Livia,51
188412.445210272,Livia,52
188422.445929073,Livia,53
188432.490424902,Livia,54
188442.496794371,Livia,55
188452.506529725,Livia,56
188462.508089413,Livia,57
188472.519726075,Livia,58
188482.534007169,Livia,59
