t,user,current_round
187891.389305126,Magdalen,0
187901.522024064,Magdalen,1
187911.685430935,Magdalen,2
187921.76258559,Magdalen,3
187931.836511474,Magdalen,4
187941.895454637,Magdalen,5
187951.941768643,Magdalen,6
187962.014539711,Magdalen,7
187972.034331324,Magdalen,8
187982.111946712,Magdalen,9
187992.197723846,Magdalen,10
188002.231419012,Magdalen,11
188012.251950368,Magdalen,12
188022.290475174,Magdalen,13
188032.319259176,Magdalen,14
188042.329630523,Magdalen,15
188052.357368474,Magdalen,16
188062.359649954,Magdalen,17
188072.409182688,Magdalen,18
188082.409749964,Magdalen,19
188092.412453849,Magdalen,20
188102.419821608,Magdalen,21
188112.436048019,Magdalen,22
188122.449401851,Magdalen,23
188132.456781521,Magdalen,24
188142.458837464,Magdalen,25
188152.491455268,Magdalen,26
188162.514020848,Magdalen,27
188172.520747449,Magdalen,28
188182.525759747,Magdalen,29
188192.618181336,Magdalen,30
188202.660805193,Magdalen,31
188212.667049087,Magdalen,32
188222.679940809,Magdalen,33
188232.681782784,Magdalen,34
188242.691653699,Magdalen,35
188252.702191385,Magdalen,36
188262.702975446,Magdalen,37
188272.705998913,Magdalen,38
188282.724997112,Magdalen,39
188292.734963975,Magdalen,40
188302.741415879,Magdalen,41
188312.753082409,Magdalen,42
188322.753366506,Magdalen,43
188332.755816903,Magdalen,44
188342.758774208,Magdalen,45
188352.766534295,Magdalen,46
188362.767236985,Magdalen,47
188372.773241207,Magdalen,48
188382.786680154,Magdalen,49
188392.792636965,Magdalen,50
188402.798668175,Magdalen,51
188412.804734096,Magdalen,52
188422.816351786,Magdalen,53
188432.820763844,Magdalen,54
188442.830272448,Magdalen,55
188452.833818681,Magdalen,56
188462.846300313,Magdalen,57
188472.846991676,Magdalen,58
188482.860908589,Magdalen,59
