t,user,current_round
187891.003531321,Many,0
187901.114896764,Many,1
187911.13618126,Many,2
187921.196909748,Many,3
187931.236026187,Many,4
187941.257111943,Many,5
187951.349130976,Many,6
187961.357160237,Many,7
187971.367744027,Many,8
187981.385816411,Many,9
187991.419428925,Many,10
188001.446588653,Many,11
188011.517641372,Many,12
188021.526926774,Many,13
188031.55661123,Many,14
188041.557933969,Many,15
188051.567728869,Many,16
188061.602754017,Many,17
188071.636100032,Many,18
188081.637640957,Many,19
188091.647753757,Many,20
188101.657363759,Many,21
188111.666962104,Many,22
188121.681339631,Many,23
188131.691924458,Many,24
188141.69423262,Many,25
188151.697001974,Many,26
188161.718942727,Many,27
188171.7279346,Many,28
188181.736265296,Many,29
188191.760871103,Many,30
188201.769266157,Many,31
188211.778121139,Many,32
188221.801660948,Many,33
188231.815579564,Many,34
188241.826725425,Many,35
188251.831334779,Many,36
188261.839155486,Many,37
188271.848539509,Many,38
188281.854502537,Many,39
188291.85493837,Many,40
188301.860276179,Many,41
188311.869178243,Many,42
188321.874041371,Many,43
188331.898824022,Many,44
188341.911812747,Many,45
188351.926763496,Many,46
188361.951225641,Many,47
188371.966692313,Many,48
188381.982376405,Many,49
188391.988061204,Many,50
188401.997483751,Many,51
188412.008814499,Many,52
188422.022508375,Many,53
188432.030647154,Many,54
188442.030969349,Many,55
188452.045866396,Many,56
188462.05022597,Many,57
188472.065856898,Many,58
188482.082917178,Many,59
