t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188502.099886785,0j204px5mbqh,Dora,0,xbdxkr,37,49301,1,0,0,228,True,0
188502.842846639,0j204px5mbqh,Dora,0,doug9f,79,12944,1,0,0,228,True,1
188503.575326767,0j204px5mbqh,Dora,0,doug9f,32,65313,1,0,0,228,True,0
188504.375867076,0j204px5mbqh,Dora,0,doug9f,79,12944,1,0,0,228,True,1
188505.214312626,0j204px5mbqh,Dora,1,doug9f,25,55128,1,0,0,228,True,0
188506.866426739,0j204px5mbqh,Dora,1,xbdxkr,56,46488,2,0,0,100,True,0
188507.679553188,0j204px5mbqh,Dora,1,doug9f,25,55128,1,0,0,228,True,1
188508.039318083,0j204px5mbqh,Dora,1,doug9f,79,12944,2,0,0,100,True,1
188508.406278377,0j204px5mbqh,Dora,1,xbdxkr,2,15875,2,0,0,100,True,0
188509.174204057,0j204px5mbqh,Dora,1,doug9f,25,55128,2,0,0,100,True,0
188515.947012561,0j204px5mbqh,Dora,2,doug9f,50,55291,1,0,0,228,True,0
188517.331338769,0j204px5mbqh,Dora,2,doug9f,37,38712,1,0,0,228,True,2
188518.015587652,0j204px5mbqh,Dora,2,doug9f,50,55291,1,0,0,228,True,1
188518.705854214,0j204px5mbqh,Dora,2,xbdxkr,52,34346,1,0,0,228,True,0
188520.59185375,0j204px5mbqh,Dora,2,doug9f,24,46534,2,0,0,100,True,0
188523.067613653,0j204px5mbqh,Dora,2,xbdxkr,59,59701,2,0,0,100,True,1
188523.426620058,0j204px5mbqh,Dora,2,doug9f,67,11766,2,0,0,100,True,0
188524.033890987,0j204px5mbqh,Dora,2,doug9f,13,3163,2,0,0,100,True,0
188524.83570942,0j204px5mbqh,Dora,3,doug9f,13,3163,2,0,0,100,True,1
188525.547731406,0j204px5mbqh,Dora,3,doug9f,77,7749,1,0,0,228,True,1
188526.239280908,0j204px5mbqh,Dora,3,xbdxkr,40,32062,1,0,0,228,True,0
188527.313611845,0j204px5mbqh,Dora,3,doug9f,77,7749,1,0,0,228,True,1
188528.015052084,0j204px5mbqh,Dora,3,xbdxkr,6,19961,1,0,0,228,True,1
188528.400104487,0j204px5mbqh,Dora,3,doug9f,77,7749,2,0,0,100,True,0
188529.409643985,0j204px5mbqh,Dora,3,xbdxkr,39,20540,1,0,0,228,True,1
188529.796982456,0j204px5mbqh,Dora,3,doug9f,77,7749,2,0,0,100,True,1
188530.493768313,0j204px5mbqh,Dora,3,doug9f,64,11574,1,0,0,228,True,0
188531.567351626,0j204px5mbqh,Dora,3,doug9f,36,913,1,0,0,228,True,0
188532.405471205,0j204px5mbqh,Dora,3,xbdxkr,39,20540,2,0,0,100,True,0
188534.886670442,0j204px5mbqh,Dora,4,doug9f,0,8744,1,0,0,228,True,0
188535.634492236,0j204px5mbqh,Dora,4,xbdxkr,24,9380,1,0,0,228,True,3
188536.019893362,0j204px5mbqh,Dora,4,doug9f,0,8744,2,0,0,100,True,2
