t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188587.14587232,29iwzm21hfmi,Athena,9,57nmo9,49,12001,1,0,228,0,True,0
188587.531929268,29iwzm21hfmi,Athena,9,57nmo9,49,12001,2,100,0,0,True,1
188587.536398293,29iwzm21hfmi,Athena,9,57nmo9,72,30378,1,0,228,0,True,0
188587.902285847,29iwzm21hfmi,Athena,9,57nmo9,72,30378,2,100,0,0,True,0
188668.628707482,29iwzm21hfmi,Athena,17,57nmo9,11,61753,1,0,228,0,True,0
188668.986892481,29iwzm21hfmi,Athena,17,57nmo9,11,61753,2,100,0,0,True,0
188673.626809953,29iwzm21hfmi,Athena,17,57nmo9,10,27657,1,0,228,0,True,0
188673.999751247,29iwzm21hfmi,Athena,17,57nmo9,10,27657,2,100,0,0,True,1
188674.007318701,29iwzm21hfmi,Athena,17,57nmo9,35,23864,1,0,228,0,True,0
188674.378055886,29iwzm21hfmi,Athena,17,57nmo9,35,23864,2,100,0,0,True,0
188684.911068318,29iwzm21hfmi,Athena,19,57nmo9,36,54408,1,0,228,0,True,0
188685.294595608,29iwzm21hfmi,Athena,19,57nmo9,36,54408,2,100,0,0,True,0
188687.646138814,29iwzm21hfmi,Athena,19,57nmo9,60,65267,1,0,228,0,True,0
188688.024556711,29iwzm21hfmi,Athena,19,57nmo9,60,65267,2,100,0,0,True,0
188704.913480745,29iwzm21hfmi,Athena,21,57nmo9,1,50729,1,0,228,0,True,0
188705.277048858,29iwzm21hfmi,Athena,21,57nmo9,1,50729,2,100,0,0,True,0
