t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188516.784351781,2o4ytu2wn1ly,Barry,2,qhyzot,48,32839,2,0,100,0,True,0
188519.004260019,2o4ytu2wn1ly,Barry,2,qhyzot,56,3671,2,0,100,0,True,0
188523.722063535,2o4ytu2wn1ly,Barry,2,qhyzot,18,5563,2,0,100,0,True,0
188556.677541271,2o4ytu2wn1ly,Barry,6,qhyzot,61,56202,2,0,100,0,True,0
188558.60435835,2o4ytu2wn1ly,Barry,6,qhyzot,73,44568,2,0,100,0,True,0
188561.275571397,2o4ytu2wn1ly,Barry,6,qhyzot,51,17940,2,0,100,0,True,0
188562.57191634,2o4ytu2wn1ly,Barry,6,qhyzot,62,676,2,0,100,0,True,0
188563.990366251,2o4ytu2wn1ly,Barry,6,qhyzot,47,37902,2,0,100,0,True,0
188565.893320644,2o4ytu2wn1ly,Barry,7,qhyzot,37,23331,2,0,100,0,True,0
188569.13845446,2o4ytu2wn1ly,Barry,7,qhyzot,36,51965,2,0,100,0,True,0
188570.912226273,2o4ytu2wn1ly,Barry,7,qhyzot,45,42824,2,0,100,0,True,0
188573.660603321,2o4ytu2wn1ly,Barry,7,xbdxkr,62,19006,1,0,228,0,True,0
188574.023079124,2o4ytu2wn1ly,Barry,7,xbdxkr,62,19006,2,100,0,0,True,0
188574.12818674,2o4ytu2wn1ly,Barry,7,qhyzot,76,54537,2,0,100,0,True,0
188586.364569795,2o4ytu2wn1ly,Barry,9,no6xr6,51,4405,2,0,100,0,True,0
188586.399746368,2o4ytu2wn1ly,Barry,9,no6xr6,49,22318,2,0,100,0,True,0
188587.049161337,2o4ytu2wn1ly,Barry,9,xbdxkr,53,46518,1,0,228,0,True,0
188587.454058014,2o4ytu2wn1ly,Barry,9,xbdxkr,53,46518,2,100,0,0,True,2
188587.459037917,2o4ytu2wn1ly,Barry,9,no6xr6,2,19979,2,0,100,0,True,1
188587.463596509,2o4ytu2wn1ly,Barry,9,qhyzot,70,45562,2,0,100,0,True,0
188587.507910038,2o4ytu2wn1ly,Barry,9,no6xr6,66,21949,2,0,100,0,True,0
188592.869274852,2o4ytu2wn1ly,Barry,9,qhyzot,25,27545,2,0,100,0,True,0
188594.262479975,2o4ytu2wn1ly,Barry,9,qhyzot,6,41623,2,0,100,0,True,0
188596.026646093,2o4ytu2wn1ly,Barry,10,qhyzot,25,20561,2,0,100,0,True,0
188596.411610541,2o4ytu2wn1ly,Barry,10,xbdxkr,58,28641,1,0,228,0,True,0
188596.784383761,2o4ytu2wn1ly,Barry,10,xbdxkr,58,28641,2,100,0,0,True,0
188597.805940944,2o4ytu2wn1ly,Barry,10,xbdxkr,16,12183,1,0,228,0,True,0
188598.19942156,2o4ytu2wn1ly,Barry,10,xbdxkr,16,12183,2,100,0,0,True,0
188599.768872579,2o4ytu2wn1ly,Barry,10,qhyzot,6,55618,2,0,100,0,True,0
188600.628381219,2o4ytu2wn1ly,Barry,10,qhyzot,25,24663,2,0,100,0,True,0
188601.659404915,2o4ytu2wn1ly,Barry,10,qhyzot,6,49601,2,0,100,0,True,0
188603.064226927,2o4ytu2wn1ly,Barry,10,xbdxkr,43,48251,1,0,228,0,True,0
188603.46429035,2o4ytu2wn1ly,Barry,10,xbdxkr,43,48251,2,100,0,0,True,1
188603.469747588,2o4ytu2wn1ly,Barry,10,qhyzot,4,30886,2,0,100,0,True,0
188605.759585184,2o4ytu2wn1ly,Barry,11,qhyzot,33,39035,2,0,100,0,True,0
188609.536674045,2o4ytu2wn1ly,Barry,11,xbdxkr,12,11726,1,0,228,0,True,0
188609.90594167,2o4ytu2wn1ly,Barry,11,xbdxkr,12,11726,2,100,0,0,True,0
