t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188500.703523687,38njtz1gpvb6,Charissa,0,57nmo9,7,17049,1,228,0,0,True,0
188501.467114965,38njtz1gpvb6,Charissa,0,57nmo9,8,35571,1,228,0,0,True,0
188502.221868138,38njtz1gpvb6,Charissa,0,57nmo9,38,26768,1,228,0,0,True,0
188502.987279881,38njtz1gpvb6,Charissa,0,57nmo9,6,842,1,228,0,0,True,0
188503.740660847,38njtz1gpvb6,Charissa,0,57nmo9,58,6913,1,228,0,0,True,0
188504.578248982,38njtz1gpvb6,Charissa,1,57nmo9,33,11181,1,228,0,0,True,0
188535.265898374,38njtz1gpvb6,Charissa,4,57nmo9,43,31179,1,228,0,0,True,1
188535.660577145,38njtz1gpvb6,Charissa,4,s6rusd,68,62726,2,0,0,100,True,0
188536.366829054,38njtz1gpvb6,Charissa,4,57nmo9,31,21423,1,228,0,0,True,0
188537.0837614,38njtz1gpvb6,Charissa,4,57nmo9,2,36105,1,228,0,0,True,1
188537.090696827,38njtz1gpvb6,Charissa,4,qhyzot,59,35522,1,0,228,0,True,0
188537.469310929,38njtz1gpvb6,Charissa,4,qhyzot,59,35522,2,100,0,0,True,1
188537.474494818,38njtz1gpvb6,Charissa,4,qhyzot,23,7558,1,0,228,0,True,0
188537.869937267,38njtz1gpvb6,Charissa,4,qhyzot,23,7558,2,100,0,0,True,0
188538.563434792,38njtz1gpvb6,Charissa,4,57nmo9,73,58246,1,228,0,0,True,0
188539.27382001,38njtz1gpvb6,Charissa,4,57nmo9,37,57107,1,228,0,0,True,0
188540.01278692,38njtz1gpvb6,Charissa,4,57nmo9,76,56533,1,228,0,0,True,1
188540.736714509,38njtz1gpvb6,Charissa,4,s6rusd,3,18529,1,0,0,228,True,1
188540.743896419,38njtz1gpvb6,Charissa,4,57nmo9,43,31179,2,0,100,0,True,0
188541.447428769,38njtz1gpvb6,Charissa,4,57nmo9,67,27216,1,228,0,0,True,0
188542.163335186,38njtz1gpvb6,Charissa,4,57nmo9,20,37897,1,228,0,0,True,0
188542.878036915,38njtz1gpvb6,Charissa,4,57nmo9,23,42948,1,228,0,0,True,1
188542.882729896,38njtz1gpvb6,Charissa,4,qhyzot,12,42666,1,0,228,0,True,0
188543.310269488,38njtz1gpvb6,Charissa,4,qhyzot,12,42666,2,100,0,0,True,0
188543.991428896,38njtz1gpvb6,Charissa,4,57nmo9,74,31619,1,228,0,0,True,0
188544.693317848,38njtz1gpvb6,Charissa,5,57nmo9,22,8834,1,228,0,0,True,0
188545.396991439,38njtz1gpvb6,Charissa,5,57nmo9,63,12034,1,228,0,0,True,0
188546.094945494,38njtz1gpvb6,Charissa,5,57nmo9,19,29849,1,228,0,0,True,0
188546.788424736,38njtz1gpvb6,Charissa,5,57nmo9,9,57385,1,228,0,0,True,1
188546.793162792,38njtz1gpvb6,Charissa,5,qhyzot,30,54457,1,0,228,0,True,0
188547.153968501,38njtz1gpvb6,Charissa,5,qhyzot,30,54457,2,100,0,0,True,0
188547.868533074,38njtz1gpvb6,Charissa,5,57nmo9,56,59445,1,228,0,0,True,0
188548.573835903,38njtz1gpvb6,Charissa,5,57nmo9,66,12540,1,228,0,0,True,0
188549.266226332,38njtz1gpvb6,Charissa,5,57nmo9,69,20406,1,228,0,0,True,0
188549.947779122,38njtz1gpvb6,Charissa,5,57nmo9,59,45163,1,228,0,0,True,1
188549.952484247,38njtz1gpvb6,Charissa,5,qhyzot,10,9396,1,0,228,0,True,0
188550.318183757,38njtz1gpvb6,Charissa,5,qhyzot,10,9396,2,100,0,0,True,0
188551.001723403,38njtz1gpvb6,Charissa,5,57nmo9,64,57338,1,228,0,0,True,0
188551.699374295,38njtz1gpvb6,Charissa,5,57nmo9,75,45303,1,228,0,0,True,0
188552.44404455,38njtz1gpvb6,Charissa,5,57nmo9,12,21109,1,228,0,0,True,0
188553.160070837,38njtz1gpvb6,Charissa,5,57nmo9,52,49572,1,228,0,0,True,0
188553.869058137,38njtz1gpvb6,Charissa,5,57nmo9,34,10470,1,228,0,0,True,0
188554.627462271,38njtz1gpvb6,Charissa,6,57nmo9,28,16310,1,228,0,0,True,0
188575.33123057,38njtz1gpvb6,Charissa,8,57nmo9,68,57870,1,228,0,0,True,1
188575.335877258,38njtz1gpvb6,Charissa,8,57nmo9,74,31619,2,0,100,0,True,0
188576.030835598,38njtz1gpvb6,Charissa,8,57nmo9,0,45529,1,228,0,0,True,0
188576.725358497,38njtz1gpvb6,Charissa,8,57nmo9,61,54259,1,228,0,0,True,2
188577.429188321,38njtz1gpvb6,Charissa,8,s6rusd,43,52505,1,0,0,228,True,2
188577.433574463,38njtz1gpvb6,Charissa,8,qhyzot,41,58078,1,0,228,0,True,1
188577.798819858,38njtz1gpvb6,Charissa,8,qhyzot,41,58078,2,100,0,0,True,1
188578.196891139,38njtz1gpvb6,Charissa,8,s6rusd,71,41928,2,0,0,100,True,0
188578.900136628,38njtz1gpvb6,Charissa,8,57nmo9,48,64971,1,228,0,0,True,0
188579.624845567,38njtz1gpvb6,Charissa,8,57nmo9,26,65419,1,228,0,0,True,0
188580.333498152,38njtz1gpvb6,Charissa,8,57nmo9,41,12839,1,228,0,0,True,1
188580.337864957,38njtz1gpvb6,Charissa,8,qhyzot,15,64013,1,0,228,0,True,0
188580.727427841,38njtz1gpvb6,Charissa,8,qhyzot,15,64013,2,100,0,0,True,0
188581.427781256,38njtz1gpvb6,Charissa,8,57nmo9,4,62131,1,228,0,0,True,0
188582.114811426,38njtz1gpvb6,Charissa,8,57nmo9,54,56974,1,228,0,0,True,1
188582.119591648,38njtz1gpvb6,Charissa,8,57nmo9,61,54259,2,0,100,0,True,0
188582.823754643,38njtz1gpvb6,Charissa,8,57nmo9,13,61757,1,228,0,0,True,0
188583.545101973,38njtz1gpvb6,Charissa,8,57nmo9,16,34481,1,228,0,0,True,0
188584.263019139,38njtz1gpvb6,Charissa,8,57nmo9,72,30378,1,228,0,0,True,0
188585.005774792,38njtz1gpvb6,Charissa,9,57nmo9,49,12001,1,228,0,0,True,0
188625.416922375,38njtz1gpvb6,Charissa,13,57nmo9,57,777,1,228,0,0,True,0
188626.109502978,38njtz1gpvb6,Charissa,13,57nmo9,62,49838,1,228,0,0,True,1
188626.854514023,38njtz1gpvb6,Charissa,13,s6rusd,75,13726,1,0,0,228,True,0
188627.560647665,38njtz1gpvb6,Charissa,13,57nmo9,42,26693,1,228,0,0,True,1
188627.931907734,38njtz1gpvb6,Charissa,13,s6rusd,11,46064,2,0,0,100,True,0
188628.637584851,38njtz1gpvb6,Charissa,13,57nmo9,78,49290,1,228,0,0,True,0
188629.345095853,38njtz1gpvb6,Charissa,13,57nmo9,70,55416,1,228,0,0,True,0
188630.037529094,38njtz1gpvb6,Charissa,13,57nmo9,55,54129,1,228,0,0,True,0
188630.738674556,38njtz1gpvb6,Charissa,13,57nmo9,21,64298,1,228,0,0,True,0
188631.434752634,38njtz1gpvb6,Charissa,13,57nmo9,71,48760,1,228,0,0,True,0
188632.133758376,38njtz1gpvb6,Charissa,13,57nmo9,50,11260,1,228,0,0,True,0
188632.834722967,38njtz1gpvb6,Charissa,13,57nmo9,18,46404,1,228,0,0,True,1
188633.517213939,38njtz1gpvb6,Charissa,13,s6rusd,77,26446,1,0,0,228,True,0
188634.222555384,38njtz1gpvb6,Charissa,13,57nmo9,32,6065,1,228,0,0,True,1
188634.229217299,38njtz1gpvb6,Charissa,13,57nmo9,42,26693,2,0,100,0,True,0
188634.951369546,38njtz1gpvb6,Charissa,14,57nmo9,29,52132,1,228,0,0,True,0
188665.490637974,38njtz1gpvb6,Charissa,17,57nmo9,17,12590,1,228,0,0,True,0
