t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188506.060294155,8nb2he6ng0ah,Sherie,1,3ruv3z,69,23243,1,0,0,228,True,0
188507.075980404,8nb2he6ng0ah,Sherie,1,3ruv3z,48,1530,1,0,0,228,True,0
188507.807561452,8nb2he6ng0ah,Sherie,1,3ruv3z,13,31913,1,0,0,228,True,0
188508.206476723,8nb2he6ng0ah,Sherie,1,3ruv3z,69,23243,2,0,0,100,True,0
188511.0853905,8nb2he6ng0ah,Sherie,1,3ruv3z,60,9648,2,0,0,100,True,0
188513.942717294,8nb2he6ng0ah,Sherie,1,zj8cf9,35,5415,2,0,100,0,True,0
188517.994811739,8nb2he6ng0ah,Sherie,2,3ruv3z,44,33142,2,0,0,100,True,0
188518.679298842,8nb2he6ng0ah,Sherie,2,3ruv3z,22,28007,2,0,0,100,True,0
188522.259180615,8nb2he6ng0ah,Sherie,2,3ruv3z,63,13551,1,0,0,228,True,0
188523.762947511,8nb2he6ng0ah,Sherie,2,3ruv3z,53,65435,2,0,0,100,True,0
188536.003947638,8nb2he6ng0ah,Sherie,4,3ruv3z,24,4457,1,0,0,228,True,0
188540.291263812,8nb2he6ng0ah,Sherie,4,3ruv3z,78,25558,1,0,0,228,True,0
188546.63842613,8nb2he6ng0ah,Sherie,5,3ruv3z,4,36241,2,0,0,100,True,1
188547.321692359,8nb2he6ng0ah,Sherie,5,3ruv3z,30,14771,1,0,0,228,True,0
188549.184632971,8nb2he6ng0ah,Sherie,5,3ruv3z,30,14771,2,0,0,100,True,0
188551.290268567,8nb2he6ng0ah,Sherie,5,3ruv3z,72,48486,2,0,0,100,True,0
188554.178705233,8nb2he6ng0ah,Sherie,5,3ruv3z,34,15091,2,0,0,100,True,0
188568.805551456,8nb2he6ng0ah,Sherie,7,3ruv3z,47,16375,2,0,0,100,True,2
188569.510342334,8nb2he6ng0ah,Sherie,7,3ruv3z,77,61109,1,0,0,228,True,2
188570.221070659,8nb2he6ng0ah,Sherie,7,3ruv3z,40,56222,1,0,0,228,True,1
188570.927369505,8nb2he6ng0ah,Sherie,7,3ruv3z,41,58824,1,0,0,228,True,1
188571.328566999,8nb2he6ng0ah,Sherie,7,3ruv3z,21,24263,2,0,0,100,True,0
188572.771454582,8nb2he6ng0ah,Sherie,7,3ruv3z,28,23882,1,0,0,228,True,0
188573.398794041,8nb2he6ng0ah,Sherie,7,3ruv3z,35,42832,2,0,0,100,True,0
188574.094459648,8nb2he6ng0ah,Sherie,7,3ruv3z,73,680,2,0,0,100,True,0
188574.924302075,8nb2he6ng0ah,Sherie,8,3ruv3z,74,45056,1,0,0,228,True,0
188599.833721136,8nb2he6ng0ah,Sherie,10,3ruv3z,46,57851,2,0,0,100,True,1
188600.558088341,8nb2he6ng0ah,Sherie,10,3ruv3z,2,8221,1,0,0,228,True,0
188602.730580499,8nb2he6ng0ah,Sherie,10,3ruv3z,19,18558,1,0,0,228,True,1
188603.105246257,8nb2he6ng0ah,Sherie,10,3ruv3z,2,8221,2,0,0,100,True,0
188603.763989199,8nb2he6ng0ah,Sherie,10,zj8cf9,18,44651,2,0,100,0,True,0
188605.687746187,8nb2he6ng0ah,Sherie,11,zj8cf9,77,33455,2,0,100,0,True,0
188608.592845736,8nb2he6ng0ah,Sherie,11,zj8cf9,37,2723,2,0,100,0,True,0
188610.228126228,8nb2he6ng0ah,Sherie,11,3ruv3z,5,43811,1,0,0,228,True,0
188612.925075632,8nb2he6ng0ah,Sherie,11,3ruv3z,15,61787,2,0,0,100,True,1
188613.308811764,8nb2he6ng0ah,Sherie,11,3ruv3z,18,36635,2,0,0,100,True,0
188614.381492903,8nb2he6ng0ah,Sherie,11,3ruv3z,56,9745,2,0,0,100,True,1
188615.092971104,8nb2he6ng0ah,Sherie,12,3ruv3z,3,49819,1,0,0,228,True,2
188615.776386116,8nb2he6ng0ah,Sherie,12,3ruv3z,31,48320,1,0,0,228,True,1
188616.471146457,8nb2he6ng0ah,Sherie,12,3ruv3z,71,63563,1,0,0,228,True,0
188617.476566666,8nb2he6ng0ah,Sherie,12,3ruv3z,12,65373,2,0,0,100,True,0
188618.53763358,8nb2he6ng0ah,Sherie,12,3ruv3z,31,48320,2,0,0,100,True,0
188620.454249915,8nb2he6ng0ah,Sherie,12,3ruv3z,76,48656,1,0,0,228,True,0
188635.459683834,8nb2he6ng0ah,Sherie,14,3ruv3z,38,37125,2,0,0,100,True,0
188637.576879213,8nb2he6ng0ah,Sherie,14,3ruv3z,38,29463,2,0,0,100,True,0
188649.554957792,8nb2he6ng0ah,Sherie,15,zj8cf9,72,19745,2,0,100,0,True,0
188652.784754912,8nb2he6ng0ah,Sherie,15,zj8cf9,53,47398,2,0,100,0,True,0
188658.117365482,8nb2he6ng0ah,Sherie,16,zj8cf9,76,61501,2,0,100,0,True,0
188671.278223569,8nb2he6ng0ah,Sherie,17,zj8cf9,56,19414,2,0,100,0,True,0
188673.621784709,8nb2he6ng0ah,Sherie,17,zj8cf9,14,3914,2,0,100,0,True,0
188676.47004414,8nb2he6ng0ah,Sherie,18,zj8cf9,23,43473,2,0,100,0,True,0
188678.873865101,8nb2he6ng0ah,Sherie,18,zj8cf9,9,23923,2,0,100,0,True,0
188911.403032257,8nb2he6ng0ah,Sherie,41,zj8cf9,22,51670,2,0,100,0,True,0
188925.964459292,8nb2he6ng0ah,Sherie,43,zj8cf9,36,37651,2,0,100,0,True,0
188946.108434892,8nb2he6ng0ah,Sherie,45,zj8cf9,73,15002,2,0,100,0,True,0
