t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188501.429590502,9ecak69u28p4,Dora,0,zj8cf9,67,30344,1,0,0,228,True,0
188502.837978926,9ecak69u28p4,Dora,0,xbdxkr,37,49301,1,0,0,228,True,0
188504.361021616,9ecak69u28p4,Dora,0,xbdxkr,56,46488,1,0,0,228,True,0
188505.313824915,9ecak69u28p4,Dora,1,zj8cf9,8,31110,1,0,0,228,True,1
188506.001302142,9ecak69u28p4,Dora,1,xbdxkr,2,15875,1,0,0,228,True,0
188506.493408312,9ecak69u28p4,Dora,1,xbdxkr,56,46488,2,0,0,100,True,1
188507.21729018,9ecak69u28p4,Dora,1,zj8cf9,33,5838,1,0,0,228,True,1
188507.588067162,9ecak69u28p4,Dora,1,4hlt5f,53,3865,2,0,0,100,True,1
188507.956140897,9ecak69u28p4,Dora,1,xbdxkr,2,15875,2,0,0,100,True,0
188509.398073626,9ecak69u28p4,Dora,1,zj8cf9,25,30360,2,0,0,100,True,1
188509.758408614,9ecak69u28p4,Dora,1,4hlt5f,8,15498,2,0,0,100,True,0
188511.697705773,9ecak69u28p4,Dora,1,zj8cf9,57,35271,1,0,0,228,True,0
188513.935740663,9ecak69u28p4,Dora,1,zj8cf9,35,5415,2,0,0,100,True,1
188514.669747212,9ecak69u28p4,Dora,1,zj8cf9,58,51140,1,0,0,228,True,0
188519.387739537,9ecak69u28p4,Dora,2,xbdxkr,52,34346,1,0,0,228,True,1
188519.757805358,9ecak69u28p4,Dora,2,xbdxkr,1,34584,2,0,0,100,True,0
188520.867711565,9ecak69u28p4,Dora,2,xbdxkr,59,59701,1,0,0,228,True,0
188521.620346472,9ecak69u28p4,Dora,2,xbdxkr,52,34346,2,0,0,100,True,1
188522.315193318,9ecak69u28p4,Dora,2,xbdxkr,23,33743,1,0,0,228,True,1
188523.014462729,9ecak69u28p4,Dora,2,xbdxkr,23,33743,1,0,0,228,True,0
188524.853165761,9ecak69u28p4,Dora,3,xbdxkr,23,33743,2,0,0,100,True,0
188555.502800191,9ecak69u28p4,Dora,6,4hlt5f,11,44158,1,0,0,228,True,0
188559.033023223,9ecak69u28p4,Dora,6,4hlt5f,32,19279,2,0,0,100,True,1
188559.401110642,9ecak69u28p4,Dora,6,4hlt5f,9,44420,2,0,0,100,True,1
188559.779067779,9ecak69u28p4,Dora,6,xbdxkr,7,45812,2,0,0,100,True,0
188560.807935309,9ecak69u28p4,Dora,6,xbdxkr,54,45361,2,0,0,100,True,0
188561.637712792,9ecak69u28p4,Dora,6,4hlt5f,11,44158,2,0,0,100,True,1
188562.335863223,9ecak69u28p4,Dora,6,xbdxkr,70,31324,1,0,0,228,True,0
188563.918753074,9ecak69u28p4,Dora,6,xbdxkr,26,14643,1,0,0,228,True,2
188564.299125669,9ecak69u28p4,Dora,6,xbdxkr,22,49975,2,0,0,100,True,1
188565.035452262,9ecak69u28p4,Dora,7,xbdxkr,26,14643,1,0,0,228,True,0
188565.866190499,9ecak69u28p4,Dora,7,xbdxkr,70,31324,2,0,0,100,True,1
188566.242923139,9ecak69u28p4,Dora,7,4hlt5f,18,62382,2,0,0,100,True,0
188567.741289864,9ecak69u28p4,Dora,7,xbdxkr,19,56794,1,0,0,228,True,0
188569.08196834,9ecak69u28p4,Dora,7,xbdxkr,32,12455,2,0,0,100,True,1
188569.789950141,9ecak69u28p4,Dora,7,xbdxkr,47,41290,1,0,0,228,True,0
188575.765473358,9ecak69u28p4,Dora,8,xbdxkr,3,37419,1,0,0,228,True,1
188576.450662849,9ecak69u28p4,Dora,8,4hlt5f,30,32416,1,0,0,228,True,1
188576.81698054,9ecak69u28p4,Dora,8,xbdxkr,25,32200,2,0,0,100,True,0
188578.282109203,9ecak69u28p4,Dora,8,xbdxkr,3,37419,2,0,0,100,True,1
188578.664706721,9ecak69u28p4,Dora,8,xbdxkr,3,37419,2,0,0,100,True,0
188579.620178228,9ecak69u28p4,Dora,8,xbdxkr,17,52296,1,0,0,228,True,2
188580.308062988,9ecak69u28p4,Dora,8,4hlt5f,44,18088,1,0,0,228,True,2
188580.997564781,9ecak69u28p4,Dora,8,xbdxkr,30,55602,1,0,0,228,True,1
188581.701697067,9ecak69u28p4,Dora,8,4hlt5f,68,62772,1,0,0,228,True,2
188582.397641649,9ecak69u28p4,Dora,8,4hlt5f,59,54366,1,0,0,228,True,3
188582.763657572,9ecak69u28p4,Dora,8,xbdxkr,17,52296,2,0,0,100,True,3
188583.453570536,9ecak69u28p4,Dora,8,4hlt5f,69,7885,1,0,0,228,True,3
188583.83677879,9ecak69u28p4,Dora,8,4hlt5f,39,44391,2,0,0,100,True,2
