t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188502.136871827,a97lfsrja1iy,Dora,0,doug9f,32,65313,1,0,0,228,True,1
188502.847668373,a97lfsrja1iy,Dora,0,4hlt5f,73,30270,1,0,0,228,True,0
188504.36674308,a97lfsrja1iy,Dora,0,s6rusd,39,51030,1,0,0,228,True,2
188505.204505649,a97lfsrja1iy,Dora,1,4hlt5f,8,15498,1,0,0,228,True,2
188505.619006802,a97lfsrja1iy,Dora,1,s6rusd,30,60562,2,0,0,100,True,1
188505.996654068,a97lfsrja1iy,Dora,1,doug9f,32,65313,2,0,0,100,True,1
188506.690564255,a97lfsrja1iy,Dora,1,s6rusd,7,29710,1,0,0,228,True,1
188507.098939462,a97lfsrja1iy,Dora,1,doug9f,79,12944,2,0,0,100,True,0
188507.503668427,a97lfsrja1iy,Dora,1,s6rusd,7,29710,2,0,0,100,True,0
188523.788815903,a97lfsrja1iy,Dora,2,doug9f,67,11766,2,0,0,100,True,0
188525.898882138,a97lfsrja1iy,Dora,3,s6rusd,4,4016,2,0,0,100,True,1
188526.593427015,a97lfsrja1iy,Dora,3,doug9f,77,7749,1,0,0,228,True,0
188527.371276895,a97lfsrja1iy,Dora,3,4hlt5f,16,41777,1,0,0,228,True,1
188528.058711095,a97lfsrja1iy,Dora,3,s6rusd,23,51223,1,0,0,228,True,0
188528.823805957,a97lfsrja1iy,Dora,3,s6rusd,23,51223,2,0,0,100,True,0
188530.280852516,a97lfsrja1iy,Dora,3,doug9f,47,14506,2,0,0,100,True,1
188530.994820406,a97lfsrja1iy,Dora,3,4hlt5f,51,30251,1,0,0,228,True,0
188532.266447881,a97lfsrja1iy,Dora,3,doug9f,36,913,1,0,0,228,True,0
188533.402741378,a97lfsrja1iy,Dora,3,s6rusd,68,62726,1,0,0,228,True,1
188533.769976314,a97lfsrja1iy,Dora,3,4hlt5f,10,16556,2,0,0,100,True,1
