t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188504.478274707,anjjfyp3sokx,Charissa,1,w8wa4o,51,35154,2,0,0,100,True,0
188506.696844326,anjjfyp3sokx,Charissa,1,xbdxkr,2,15875,1,0,0,228,True,0
188508.201670674,anjjfyp3sokx,Charissa,1,w8wa4o,28,23291,1,0,0,228,True,0
188508.956188596,anjjfyp3sokx,Charissa,1,w8wa4o,28,23291,2,0,0,100,True,0
188510.064327368,anjjfyp3sokx,Charissa,1,w8wa4o,57,7721,1,0,0,228,True,0
188510.798229945,anjjfyp3sokx,Charissa,1,w8wa4o,57,7721,2,0,0,100,True,0
188511.727919015,anjjfyp3sokx,Charissa,1,w8wa4o,43,51842,1,0,0,228,True,1
188512.435164235,anjjfyp3sokx,Charissa,1,w8wa4o,67,60383,1,0,0,228,True,0
188515.385400855,anjjfyp3sokx,Charissa,2,w8wa4o,76,10514,1,0,0,228,True,0
188516.952678197,anjjfyp3sokx,Charissa,2,w8wa4o,19,58707,2,0,0,100,True,0
188519.808752833,anjjfyp3sokx,Charissa,2,w8wa4o,74,49930,2,0,0,100,True,0
188520.852199713,anjjfyp3sokx,Charissa,2,xbdxkr,52,34346,2,0,0,100,True,0
188523.700956483,anjjfyp3sokx,Charissa,2,xbdxkr,23,33743,1,0,0,228,True,0
188525.846303398,anjjfyp3sokx,Charissa,3,w8wa4o,65,42246,2,0,0,100,True,0
188526.949521741,anjjfyp3sokx,Charissa,3,xbdxkr,57,58248,2,0,0,100,True,0
188528.773707926,anjjfyp3sokx,Charissa,3,xbdxkr,40,32062,2,0,0,100,True,0
188534.1498751,anjjfyp3sokx,Charissa,3,xbdxkr,55,40905,1,0,0,228,True,0
188546.184848503,anjjfyp3sokx,Charissa,5,w8wa4o,48,54460,1,0,0,228,True,0
188549.375368143,anjjfyp3sokx,Charissa,5,w8wa4o,1,32367,1,0,0,228,True,1
188550.086380381,anjjfyp3sokx,Charissa,5,w8wa4o,29,26300,1,0,0,228,True,1
188550.458738413,anjjfyp3sokx,Charissa,5,w8wa4o,1,32367,2,0,0,100,True,0
188552.394672331,anjjfyp3sokx,Charissa,5,w8wa4o,46,19938,2,0,0,100,True,0
188553.892645033,anjjfyp3sokx,Charissa,5,w8wa4o,41,24525,1,0,0,228,True,0
188554.716476113,anjjfyp3sokx,Charissa,6,w8wa4o,41,24525,2,0,0,100,True,0
188567.765478147,anjjfyp3sokx,Charissa,7,xbdxkr,44,41530,2,0,0,100,True,0
188568.795004561,anjjfyp3sokx,Charissa,7,w8wa4o,56,6708,1,0,0,228,True,2
188569.160100795,anjjfyp3sokx,Charissa,7,w8wa4o,20,18863,2,0,0,100,True,1
188569.523399793,anjjfyp3sokx,Charissa,7,w8wa4o,49,165,2,0,0,100,True,0
188618.0416316,anjjfyp3sokx,Charissa,12,xbdxkr,72,55633,1,0,0,228,True,1
188618.402594356,anjjfyp3sokx,Charissa,12,xbdxkr,65,1711,2,0,0,100,True,0
188618.807568596,anjjfyp3sokx,Charissa,12,xbdxkr,72,55633,2,0,0,100,True,0
188620.554306362,anjjfyp3sokx,Charissa,12,xbdxkr,71,2983,1,0,0,228,True,0
188624.104552517,anjjfyp3sokx,Charissa,12,xbdxkr,36,10095,1,0,0,228,True,0
188626.808974299,anjjfyp3sokx,Charissa,13,xbdxkr,78,9356,1,0,0,228,True,0
188627.582928557,anjjfyp3sokx,Charissa,13,xbdxkr,78,9356,2,0,0,100,True,1
188628.283900317,anjjfyp3sokx,Charissa,13,xbdxkr,0,12417,1,0,0,228,True,0
188651.351636097,anjjfyp3sokx,Charissa,15,xbdxkr,49,2455,1,0,0,228,True,0
188657.109696724,anjjfyp3sokx,Charissa,16,xbdxkr,42,28508,2,0,0,100,True,0
188658.523528074,anjjfyp3sokx,Charissa,16,xbdxkr,15,60974,2,0,0,100,True,0
188691.820594624,anjjfyp3sokx,Charissa,19,xbdxkr,29,10902,2,0,0,100,True,1
188692.505179971,anjjfyp3sokx,Charissa,19,xbdxkr,29,21467,1,0,0,228,True,0
