t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188503.644144705,fp6n9atj514c,Bennie,0,57nmo9,7,17049,2,0,0,100,True,0
188505.318543707,fp6n9atj514c,Bennie,1,4hlt5f,73,30270,1,0,228,0,True,0
188505.694347007,fp6n9atj514c,Bennie,1,4hlt5f,73,30270,2,100,0,0,True,1
188506.085317701,fp6n9atj514c,Bennie,1,57nmo9,38,26768,2,0,0,100,True,0
188506.411028364,fp6n9atj514c,Bennie,1,4hlt5f,78,29198,1,0,228,0,True,0
188506.795781487,fp6n9atj514c,Bennie,1,4hlt5f,78,29198,2,100,0,0,True,0
188507.882488654,fp6n9atj514c,Bennie,1,57nmo9,58,6913,2,0,0,100,True,1
188507.889148428,fp6n9atj514c,Bennie,1,4hlt5f,8,15498,1,0,228,0,True,0
188508.255014246,fp6n9atj514c,Bennie,1,4hlt5f,8,15498,2,100,0,0,True,0
188525.497051407,fp6n9atj514c,Bennie,3,57nmo9,6,842,2,0,0,100,True,0
188529.888053729,fp6n9atj514c,Bennie,3,4hlt5f,16,41777,1,0,228,0,True,0
188530.253561318,fp6n9atj514c,Bennie,3,4hlt5f,16,41777,2,100,0,0,True,0
188530.600878964,fp6n9atj514c,Bennie,3,4hlt5f,42,35172,1,0,228,0,True,0
188530.988650262,fp6n9atj514c,Bennie,3,4hlt5f,42,35172,2,100,0,0,True,0
188533.026074332,fp6n9atj514c,Bennie,3,4hlt5f,3,44079,1,0,228,0,True,0
188533.387085443,fp6n9atj514c,Bennie,3,4hlt5f,3,44079,2,100,0,0,True,0
188534.559016886,fp6n9atj514c,Bennie,4,4hlt5f,74,50287,1,0,228,0,True,0
188534.943769186,fp6n9atj514c,Bennie,4,4hlt5f,74,50287,2,100,0,0,True,0
188538.035268181,fp6n9atj514c,Bennie,4,57nmo9,43,31179,1,0,0,228,True,1
188538.722818943,fp6n9atj514c,Bennie,4,57nmo9,31,21423,1,0,0,228,True,1
188539.106433102,fp6n9atj514c,Bennie,4,57nmo9,43,31179,2,0,0,100,True,0
188540.04514004,fp6n9atj514c,Bennie,4,57nmo9,2,36105,2,0,0,100,True,0
188543.388423173,fp6n9atj514c,Bennie,4,57nmo9,76,56533,2,0,0,100,True,0
188545.481822314,fp6n9atj514c,Bennie,5,57nmo9,67,27216,1,0,0,228,True,1
188545.866576186,fp6n9atj514c,Bennie,5,57nmo9,22,8834,2,0,0,100,True,0
188549.471126174,fp6n9atj514c,Bennie,5,57nmo9,23,42948,2,0,0,100,True,0
188550.101677122,fp6n9atj514c,Bennie,5,4hlt5f,24,48924,1,0,228,0,True,0
188550.49016879,fp6n9atj514c,Bennie,5,4hlt5f,24,48924,2,100,0,0,True,1
188550.495422599,fp6n9atj514c,Bennie,5,4hlt5f,4,57318,1,0,228,0,True,0
188550.860614633,fp6n9atj514c,Bennie,5,4hlt5f,4,57318,2,100,0,0,True,0
188552.408903727,fp6n9atj514c,Bennie,5,57nmo9,56,59445,2,0,0,100,True,0
188553.154240589,fp6n9atj514c,Bennie,5,57nmo9,9,57385,1,0,0,228,True,0
188553.462267626,fp6n9atj514c,Bennie,5,4hlt5f,70,2394,1,0,228,0,True,0
188553.843456317,fp6n9atj514c,Bennie,5,4hlt5f,70,2394,2,100,0,0,True,1
188554.564971154,fp6n9atj514c,Bennie,6,57nmo9,69,20406,1,0,0,228,True,1
188555.276497623,fp6n9atj514c,Bennie,6,57nmo9,64,57338,1,0,0,228,True,0
188556.424069692,fp6n9atj514c,Bennie,6,4hlt5f,9,44420,1,0,228,0,True,0
188556.80213621,fp6n9atj514c,Bennie,6,4hlt5f,9,44420,2,100,0,0,True,1
188556.807311706,fp6n9atj514c,Bennie,6,4hlt5f,32,19279,1,0,228,0,True,0
188557.177516947,fp6n9atj514c,Bennie,6,4hlt5f,32,19279,2,100,0,0,True,0
188558.210059994,fp6n9atj514c,Bennie,6,57nmo9,66,12540,2,0,0,100,True,0
188558.522745646,fp6n9atj514c,Bennie,6,4hlt5f,41,12271,1,0,228,0,True,0
188558.923194518,fp6n9atj514c,Bennie,6,4hlt5f,41,12271,2,100,0,0,True,0
188560.304718834,fp6n9atj514c,Bennie,6,4hlt5f,79,16787,1,0,228,0,True,0
188560.667942078,fp6n9atj514c,Bennie,6,4hlt5f,79,16787,2,100,0,0,True,0
188561.671679169,fp6n9atj514c,Bennie,6,4hlt5f,18,62382,1,0,228,0,True,0
188562.057998454,fp6n9atj514c,Bennie,6,4hlt5f,18,62382,2,100,0,0,True,0
188562.476709983,fp6n9atj514c,Bennie,6,57nmo9,28,16310,2,0,0,100,True,0
188578.178483886,fp6n9atj514c,Bennie,8,57nmo9,68,57870,2,0,0,100,True,1
188578.183684861,fp6n9atj514c,Bennie,8,4hlt5f,30,32416,1,0,228,0,True,0
188578.57029605,fp6n9atj514c,Bennie,8,4hlt5f,30,32416,2,100,0,0,True,0
188581.187104539,fp6n9atj514c,Bennie,8,4hlt5f,65,19191,1,0,228,0,True,0
188581.555054964,fp6n9atj514c,Bennie,8,4hlt5f,65,19191,2,100,0,0,True,0
188582.871317566,fp6n9atj514c,Bennie,8,57nmo9,41,12839,1,0,0,228,True,0
188583.906644951,fp6n9atj514c,Bennie,8,57nmo9,4,62131,1,0,0,228,True,0
188584.74115464,fp6n9atj514c,Bennie,9,57nmo9,4,62131,2,0,0,100,True,0
188586.219576475,fp6n9atj514c,Bennie,9,57nmo9,16,34481,1,0,0,228,True,0
188588.008760349,fp6n9atj514c,Bennie,9,57nmo9,16,34481,2,0,0,100,True,1
188588.384274114,fp6n9atj514c,Bennie,9,57nmo9,72,30378,2,0,0,100,True,0
188591.415895764,fp6n9atj514c,Bennie,9,4hlt5f,21,43974,1,0,228,0,True,0
188591.80060506,fp6n9atj514c,Bennie,9,4hlt5f,21,43974,2,100,0,0,True,0
188593.219053342,fp6n9atj514c,Bennie,9,4hlt5f,13,24889,1,0,228,0,True,0
188593.599422537,fp6n9atj514c,Bennie,9,4hlt5f,13,24889,2,100,0,0,True,0
188595.216789346,fp6n9atj514c,Bennie,10,4hlt5f,67,26944,1,0,228,0,True,0
188595.586023443,fp6n9atj514c,Bennie,10,4hlt5f,67,26944,2,100,0,0,True,0
188595.946936406,fp6n9atj514c,Bennie,10,4hlt5f,28,36061,1,0,228,0,True,0
188596.321566498,fp6n9atj514c,Bennie,10,4hlt5f,28,36061,2,100,0,0,True,1
188596.327662635,fp6n9atj514c,Bennie,10,4hlt5f,40,43932,1,0,228,0,True,0
188596.694309455,fp6n9atj514c,Bennie,10,4hlt5f,40,43932,2,100,0,0,True,2
188596.701170486,fp6n9atj514c,Bennie,10,4hlt5f,71,48826,1,0,228,0,True,1
188597.070019529,fp6n9atj514c,Bennie,10,4hlt5f,71,48826,2,100,0,0,True,1
188597.07583198,fp6n9atj514c,Bennie,10,4hlt5f,22,24064,1,0,228,0,True,0
188597.445461768,fp6n9atj514c,Bennie,10,4hlt5f,22,24064,2,100,0,0,True,0
188603.712622635,fp6n9atj514c,Bennie,10,4hlt5f,45,27408,1,0,228,0,True,0
188604.096231915,fp6n9atj514c,Bennie,10,4hlt5f,45,27408,2,100,0,0,True,0
188627.818999604,fp6n9atj514c,Bennie,13,57nmo9,57,777,1,0,0,228,True,0
188628.401435778,fp6n9atj514c,Bennie,13,4hlt5f,76,51386,1,0,228,0,True,0
188628.76733745,fp6n9atj514c,Bennie,13,4hlt5f,76,51386,2,100,0,0,True,0
188629.804664535,fp6n9atj514c,Bennie,13,57nmo9,57,777,2,0,0,100,True,0
188632.163178691,fp6n9atj514c,Bennie,13,57nmo9,55,54129,1,0,0,228,True,0
188632.853124493,fp6n9atj514c,Bennie,13,57nmo9,70,55416,2,0,0,100,True,1
188633.226432394,fp6n9atj514c,Bennie,13,57nmo9,55,54129,2,0,0,100,True,0
188634.941308687,fp6n9atj514c,Bennie,14,57nmo9,18,46404,1,0,0,228,True,1
188634.94638206,fp6n9atj514c,Bennie,14,4hlt5f,77,170,1,0,228,0,True,0
188635.328815208,fp6n9atj514c,Bennie,14,4hlt5f,77,170,2,100,0,0,True,0
188643.835929884,fp6n9atj514c,Bennie,14,4hlt5f,46,55794,1,0,228,0,True,0
188644.219818561,fp6n9atj514c,Bennie,14,4hlt5f,46,55794,2,100,0,0,True,0
188667.582927864,fp6n9atj514c,Bennie,17,57nmo9,17,12590,1,0,0,228,True,0
188671.530714435,fp6n9atj514c,Bennie,17,57nmo9,5,36474,2,0,0,100,True,0
188674.759961542,fp6n9atj514c,Bennie,18,57nmo9,35,23864,2,0,0,100,True,0
188675.757937013,fp6n9atj514c,Bennie,18,57nmo9,65,57348,2,0,0,100,True,0
188688.332201602,fp6n9atj514c,Bennie,19,57nmo9,25,4743,1,0,0,228,True,0
188689.07253085,fp6n9atj514c,Bennie,19,57nmo9,25,4743,2,0,0,100,True,0
188692.574478639,fp6n9atj514c,Bennie,19,57nmo9,53,48166,1,0,0,228,True,0
188693.327016525,fp6n9atj514c,Bennie,19,57nmo9,77,64811,1,0,0,228,True,1
188693.700231724,fp6n9atj514c,Bennie,19,57nmo9,53,48166,2,0,0,100,True,0
188695.562255628,fp6n9atj514c,Bennie,20,57nmo9,46,15587,2,0,0,100,True,0
188705.637693407,fp6n9atj514c,Bennie,21,57nmo9,1,50729,2,0,0,100,True,0
