t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188518.348991451,k29nolvhnb7a,Dora,2,qhyzot,14,13542,1,0,0,228,True,0
188519.122048589,k29nolvhnb7a,Dora,2,qhyzot,14,13542,2,0,0,100,True,0
188520.034390936,k29nolvhnb7a,Dora,2,qhyzot,18,5563,1,0,0,228,True,0
188524.727490766,k29nolvhnb7a,Dora,2,qhyzot,13,37808,1,0,0,228,True,0
188530.105295319,k29nolvhnb7a,Dora,3,qhyzot,39,9804,1,0,0,228,True,0
188531.585076308,k29nolvhnb7a,Dora,3,qhyzot,65,8973,1,0,0,228,True,0
188533.045036674,k29nolvhnb7a,Dora,3,qhyzot,3,5588,1,0,0,228,True,0
188533.860681002,k29nolvhnb7a,Dora,3,qhyzot,3,5588,2,0,0,100,True,0
188536.059249163,k29nolvhnb7a,Dora,4,qhyzot,35,55489,2,0,0,100,True,1
188536.752505207,k29nolvhnb7a,Dora,4,qhyzot,60,10263,1,0,0,228,True,1
188537.438733707,k29nolvhnb7a,Dora,4,qhyzot,23,7558,1,0,0,228,True,1
188537.845954751,k29nolvhnb7a,Dora,4,qhyzot,8,33496,2,0,0,100,True,2
188538.231252233,k29nolvhnb7a,Dora,4,qhyzot,59,35522,2,0,0,100,True,1
188538.918404704,k29nolvhnb7a,Dora,4,qhyzot,2,59308,1,0,0,228,True,0
188540.783456741,k29nolvhnb7a,Dora,4,qhyzot,2,59308,2,0,0,100,True,0
188542.977563034,k29nolvhnb7a,Dora,4,qhyzot,58,45814,2,0,0,100,True,1
188543.687004495,k29nolvhnb7a,Dora,4,qhyzot,26,11497,1,0,0,228,True,0
188588.379288195,k29nolvhnb7a,Dora,9,qhyzot,6,59616,1,0,0,228,True,0
188589.122320647,k29nolvhnb7a,Dora,9,qhyzot,6,59616,2,0,0,100,True,0
188589.678930797,k29nolvhnb7a,Dora,9,qhyzot,25,30038,2,0,0,100,True,0
188599.010301633,k29nolvhnb7a,Dora,10,qhyzot,4,30886,2,0,0,100,True,1
188599.710361495,k29nolvhnb7a,Dora,10,qhyzot,6,49601,1,0,0,228,True,0
