t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188503.596351132,p6rctx4vmo9k,Athena,0,doug9f,79,12944,1,0,0,228,True,1
188504.35171955,p6rctx4vmo9k,Athena,0,4hlt5f,73,30270,1,0,0,228,True,2
188504.873396274,p6rctx4vmo9k,Athena,1,4hlt5f,60,58848,2,0,0,100,True,1
188505.572454555,p6rctx4vmo9k,Athena,1,4hlt5f,78,29198,1,0,0,228,True,2
188506.276189435,p6rctx4vmo9k,Athena,1,4hlt5f,8,15498,1,0,0,228,True,1
188506.974959505,p6rctx4vmo9k,Athena,1,doug9f,25,55128,1,0,0,228,True,0
188507.055579914,p6rctx4vmo9k,Athena,1,57nmo9,58,6913,1,0,228,0,True,0
188507.46306876,p6rctx4vmo9k,Athena,1,57nmo9,58,6913,2,100,0,0,True,0
188508.223653715,p6rctx4vmo9k,Athena,1,4hlt5f,78,29198,2,0,0,100,True,0
188508.791003367,p6rctx4vmo9k,Athena,1,doug9f,25,55128,2,0,0,100,True,1
188509.169129738,p6rctx4vmo9k,Athena,1,4hlt5f,8,15498,2,0,0,100,True,0
188518.020611229,p6rctx4vmo9k,Athena,2,doug9f,37,38712,1,0,0,228,True,1
188518.025378837,p6rctx4vmo9k,Athena,2,57nmo9,33,11181,1,0,228,0,True,0
188518.400816731,p6rctx4vmo9k,Athena,2,57nmo9,33,11181,2,100,0,0,True,0
188519.863491981,p6rctx4vmo9k,Athena,2,doug9f,37,38712,2,0,0,100,True,0
188531.351847248,p6rctx4vmo9k,Athena,3,4hlt5f,16,41777,2,0,0,100,True,0
188532.32555718,p6rctx4vmo9k,Athena,3,4hlt5f,3,44079,1,0,0,228,True,1
188532.694908316,p6rctx4vmo9k,Athena,3,4hlt5f,42,35172,2,0,0,100,True,1
188533.067842384,p6rctx4vmo9k,Athena,3,4hlt5f,10,16556,2,0,0,100,True,1
188533.749601939,p6rctx4vmo9k,Athena,3,4hlt5f,74,50287,1,0,0,228,True,0
188536.406279783,p6rctx4vmo9k,Athena,4,doug9f,0,8744,2,0,0,100,True,0
188537.063183501,p6rctx4vmo9k,Athena,4,4hlt5f,7,38327,2,0,0,100,True,0
188538.045832586,p6rctx4vmo9k,Athena,4,57nmo9,43,31179,1,0,228,0,True,0
188538.416548538,p6rctx4vmo9k,Athena,4,57nmo9,43,31179,2,100,0,0,True,0
188538.728073859,p6rctx4vmo9k,Athena,4,57nmo9,31,21423,1,0,228,0,True,0
188539.125178979,p6rctx4vmo9k,Athena,4,57nmo9,31,21423,2,100,0,0,True,0
188540.097534147,p6rctx4vmo9k,Athena,4,doug9f,30,45765,1,0,0,228,True,0
188542.168322958,p6rctx4vmo9k,Athena,4,57nmo9,73,58246,1,0,228,0,True,0
188542.577508486,p6rctx4vmo9k,Athena,4,57nmo9,73,58246,2,100,0,0,True,1
188542.582200388,p6rctx4vmo9k,Athena,4,57nmo9,76,56533,1,0,228,0,True,0
188542.986688186,p6rctx4vmo9k,Athena,4,57nmo9,76,56533,2,100,0,0,True,0
188543.646614311,p6rctx4vmo9k,Athena,4,57nmo9,37,57107,1,0,228,0,True,0
188544.028100493,p6rctx4vmo9k,Athena,4,57nmo9,37,57107,2,100,0,0,True,0
188556.847770549,p6rctx4vmo9k,Athena,6,doug9f,63,57686,2,0,0,100,True,0
188558.660438958,p6rctx4vmo9k,Athena,6,4hlt5f,32,19279,2,0,0,100,True,0
188559.712068688,p6rctx4vmo9k,Athena,6,4hlt5f,41,12271,2,0,0,100,True,1
188559.716415166,p6rctx4vmo9k,Athena,6,57nmo9,75,45303,1,0,228,0,True,0
