t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188506.744976006,q307foqdkerx,Garnett,1,zj8cf9,8,31110,1,0,228,0,True,0
188507.153154926,q307foqdkerx,Garnett,1,zj8cf9,8,31110,2,100,0,0,True,0
188513.15008077,q307foqdkerx,Garnett,1,zj8cf9,57,35271,1,0,228,0,True,0
188513.515260774,q307foqdkerx,Garnett,1,zj8cf9,57,35271,2,100,0,0,True,0
188526.30623932,q307foqdkerx,Garnett,3,s6rusd,32,3903,2,0,100,0,True,0
188527.050194699,q307foqdkerx,Garnett,3,s6rusd,4,4016,2,0,100,0,True,0
188529.584048751,q307foqdkerx,Garnett,3,s6rusd,23,51223,2,0,100,0,True,0
188586.561671417,q307foqdkerx,Garnett,9,s6rusd,44,38415,2,0,100,0,True,0
188589.097413868,q307foqdkerx,Garnett,9,s6rusd,62,23742,2,0,100,0,True,0
188604.111252772,q307foqdkerx,Garnett,10,zj8cf9,71,15307,1,0,228,0,True,0
188604.535647748,q307foqdkerx,Garnett,10,zj8cf9,71,15307,2,100,0,0,True,0
188616.701982706,q307foqdkerx,Garnett,12,s6rusd,31,64622,2,0,100,0,True,0
188622.451146386,q307foqdkerx,Garnett,12,s6rusd,16,61206,2,0,100,0,True,0
188655.938092025,q307foqdkerx,Garnett,16,zj8cf9,17,56053,1,0,228,0,True,0
188656.29784822,q307foqdkerx,Garnett,16,zj8cf9,17,56053,2,100,0,0,True,0
188659.981719301,q307foqdkerx,Garnett,16,zj8cf9,60,59254,1,0,228,0,True,0
188660.356308778,q307foqdkerx,Garnett,16,zj8cf9,60,59254,2,100,0,0,True,0
188661.037520144,q307foqdkerx,Garnett,16,s6rusd,38,29796,2,0,100,0,True,0
188662.183568516,q307foqdkerx,Garnett,16,zj8cf9,68,48346,1,0,228,0,True,0
188662.55078109,q307foqdkerx,Garnett,16,zj8cf9,68,48346,2,100,0,0,True,0
188937.598863563,q307foqdkerx,Garnett,44,zj8cf9,30,38727,1,0,228,0,True,0
188937.96434981,q307foqdkerx,Garnett,44,zj8cf9,30,38727,2,100,0,0,True,0
188941.159486057,q307foqdkerx,Garnett,44,zj8cf9,16,50374,1,0,228,0,True,0
188941.521659962,q307foqdkerx,Garnett,44,zj8cf9,16,50374,2,100,0,0,True,0
188941.849267084,q307foqdkerx,Garnett,44,zj8cf9,2,56191,1,0,228,0,True,0
188942.223409295,q307foqdkerx,Garnett,44,zj8cf9,2,56191,2,100,0,0,True,0
