t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188502.195288245,u5ozex9f4wxn,Evelyne,0,qhyzot,27,27568,1,0,0,228,True,0
188502.890344113,u5ozex9f4wxn,Evelyne,0,no6xr6,55,61996,1,0,228,0,True,0
188503.265138122,u5ozex9f4wxn,Evelyne,0,no6xr6,55,61996,2,100,0,0,True,0
188524.945469073,u5ozex9f4wxn,Evelyne,3,qhyzot,53,56426,1,0,0,228,True,1
188525.634882943,u5ozex9f4wxn,Evelyne,3,qhyzot,53,56426,1,0,0,228,True,2
188526.00084642,u5ozex9f4wxn,Evelyne,3,qhyzot,5,21657,2,0,0,100,True,1
188526.363108049,u5ozex9f4wxn,Evelyne,3,qhyzot,44,43891,2,0,0,100,True,0
188527.977962312,u5ozex9f4wxn,Evelyne,3,qhyzot,21,25412,1,0,0,228,True,0
188528.701694321,u5ozex9f4wxn,Evelyne,3,qhyzot,39,9804,1,0,0,228,True,1
188529.07746267,u5ozex9f4wxn,Evelyne,3,qhyzot,50,4949,2,0,0,100,True,2
188529.082305773,u5ozex9f4wxn,Evelyne,3,doug9f,47,14506,1,0,228,0,True,1
188529.480257571,u5ozex9f4wxn,Evelyne,3,doug9f,47,14506,2,100,0,0,True,1
188530.183943348,u5ozex9f4wxn,Evelyne,3,qhyzot,65,8973,1,0,0,228,True,2
188530.55846732,u5ozex9f4wxn,Evelyne,3,qhyzot,78,21566,2,0,0,100,True,1
188530.95973321,u5ozex9f4wxn,Evelyne,3,qhyzot,67,24659,2,0,0,100,True,0
188531.667988332,u5ozex9f4wxn,Evelyne,3,qhyzot,39,9804,2,0,0,100,True,0
188533.497132388,u5ozex9f4wxn,Evelyne,3,qhyzot,35,55489,1,0,0,228,True,1
188534.226627013,u5ozex9f4wxn,Evelyne,3,qhyzot,60,10263,1,0,0,228,True,0
188535.972218804,u5ozex9f4wxn,Evelyne,4,qhyzot,69,8312,1,0,0,228,True,0
188537.68569607,u5ozex9f4wxn,Evelyne,4,qhyzot,52,58574,2,0,0,100,True,0
188537.766299399,u5ozex9f4wxn,Evelyne,4,no6xr6,69,44355,1,0,228,0,True,0
188538.135467357,u5ozex9f4wxn,Evelyne,4,no6xr6,69,44355,2,100,0,0,True,0
188538.811620777,u5ozex9f4wxn,Evelyne,4,qhyzot,35,55489,2,0,0,100,True,1
188539.175899439,u5ozex9f4wxn,Evelyne,4,qhyzot,59,35522,2,0,0,100,True,1
