t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188505.32326711,uqgqpcolq6e8,Bennie,1,4hlt5f,53,3865,1,0,228,0,True,0
188505.699992236,uqgqpcolq6e8,Bennie,1,4hlt5f,53,3865,2,100,0,0,True,0
188531.643322385,uqgqpcolq6e8,Bennie,3,4hlt5f,10,16556,1,0,228,0,True,0
188532.013681296,uqgqpcolq6e8,Bennie,3,4hlt5f,10,16556,2,100,0,0,True,0
188533.419066857,uqgqpcolq6e8,Bennie,3,4hlt5f,51,30251,1,0,228,0,True,0
188533.797047561,uqgqpcolq6e8,Bennie,3,4hlt5f,51,30251,2,100,0,0,True,0
188538.062897123,uqgqpcolq6e8,Bennie,4,4hlt5f,23,20822,1,0,228,0,True,0
188538.439403246,uqgqpcolq6e8,Bennie,4,4hlt5f,23,20822,2,100,0,0,True,0
188548.315405772,uqgqpcolq6e8,Bennie,5,4hlt5f,63,13644,1,0,228,0,True,0
188548.685041004,uqgqpcolq6e8,Bennie,5,4hlt5f,63,13644,2,100,0,0,True,0
188552.039343047,uqgqpcolq6e8,Bennie,5,4hlt5f,48,44643,1,0,228,0,True,0
188552.48216178,uqgqpcolq6e8,Bennie,5,4hlt5f,48,44643,2,100,0,0,True,0
188578.874233846,uqgqpcolq6e8,Bennie,8,4hlt5f,39,44391,1,0,228,0,True,0
188579.251003482,uqgqpcolq6e8,Bennie,8,4hlt5f,39,44391,2,100,0,0,True,0
188581.396577009,uqgqpcolq6e8,Bennie,8,4hlt5f,37,45303,1,0,228,0,True,0
188581.800104939,uqgqpcolq6e8,Bennie,8,4hlt5f,37,45303,2,100,0,0,True,0
188583.31683478,uqgqpcolq6e8,Bennie,8,4hlt5f,68,62772,1,0,228,0,True,0
188583.686289785,uqgqpcolq6e8,Bennie,8,4hlt5f,68,62772,2,100,0,0,True,0
188604.209192736,uqgqpcolq6e8,Bennie,10,4hlt5f,0,64577,1,0,228,0,True,0
188604.612460588,uqgqpcolq6e8,Bennie,11,4hlt5f,0,64577,2,100,0,0,True,0
188605.314708513,uqgqpcolq6e8,Bennie,11,4hlt5f,50,23781,1,0,228,0,True,0
188605.743721453,uqgqpcolq6e8,Bennie,11,4hlt5f,50,23781,2,100,0,0,True,0
188607.822269412,uqgqpcolq6e8,Bennie,11,4hlt5f,55,31905,1,0,228,0,True,0
188608.217742484,uqgqpcolq6e8,Bennie,11,4hlt5f,55,31905,2,100,0,0,True,0
188633.077263107,uqgqpcolq6e8,Bennie,13,4hlt5f,14,17034,1,0,228,0,True,0
188633.447918334,uqgqpcolq6e8,Bennie,13,4hlt5f,14,17034,2,100,0,0,True,0
188635.301419371,uqgqpcolq6e8,Bennie,14,4hlt5f,46,46896,1,0,228,0,True,0
188635.677511739,uqgqpcolq6e8,Bennie,14,4hlt5f,46,46896,2,100,0,0,True,0
188638.137777255,uqgqpcolq6e8,Bennie,14,4hlt5f,77,22950,1,0,228,0,True,0
188638.508607025,uqgqpcolq6e8,Bennie,14,4hlt5f,77,22950,2,100,0,0,True,0
188639.973279614,uqgqpcolq6e8,Bennie,14,4hlt5f,6,19400,1,0,228,0,True,0
188640.346959538,uqgqpcolq6e8,Bennie,14,4hlt5f,6,19400,2,100,0,0,True,0
188642.605556642,uqgqpcolq6e8,Bennie,14,4hlt5f,17,21205,1,0,228,0,True,0
188642.993088103,uqgqpcolq6e8,Bennie,14,4hlt5f,17,21205,2,100,0,0,True,0
188645.217792613,uqgqpcolq6e8,Bennie,15,4hlt5f,17,45632,1,0,228,0,True,0
188645.582600382,uqgqpcolq6e8,Bennie,15,4hlt5f,17,45632,2,100,0,0,True,0
188645.892725909,uqgqpcolq6e8,Bennie,15,4hlt5f,17,53772,1,0,228,0,True,0
188646.275068229,uqgqpcolq6e8,Bennie,15,4hlt5f,17,53772,2,100,0,0,True,0
188649.434615527,uqgqpcolq6e8,Bennie,15,4hlt5f,17,47404,1,0,228,0,True,0
188649.830046844,uqgqpcolq6e8,Bennie,15,4hlt5f,17,47404,2,100,0,0,True,0
