t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188504.391156152,ybrwjm88t8x4,Charissa,1,s6rusd,67,29603,1,0,0,228,True,0
188508.197180473,ybrwjm88t8x4,Charissa,1,3ruv3z,60,9648,1,0,0,228,True,0
188508.581364156,ybrwjm88t8x4,Charissa,1,3ruv3z,69,23243,2,0,0,100,True,0
188515.380531064,ybrwjm88t8x4,Charissa,2,s6rusd,34,57546,1,0,0,228,True,0
188517.29937575,ybrwjm88t8x4,Charissa,2,s6rusd,34,57546,2,0,0,100,True,0
188521.562242111,ybrwjm88t8x4,Charissa,2,3ruv3z,63,13551,1,0,0,228,True,0
188524.131175313,ybrwjm88t8x4,Charissa,2,3ruv3z,53,65435,2,0,0,100,True,0
188524.518561188,ybrwjm88t8x4,Charissa,3,3ruv3z,63,13551,2,0,0,100,True,0
188525.926313253,ybrwjm88t8x4,Charissa,3,s6rusd,32,3903,2,0,0,100,True,0
188527.307957287,ybrwjm88t8x4,Charissa,3,s6rusd,23,51223,1,0,0,228,True,2
188528.009372048,ybrwjm88t8x4,Charissa,3,3ruv3z,29,57190,1,0,0,228,True,1
188528.394664015,ybrwjm88t8x4,Charissa,3,s6rusd,39,51030,2,0,0,100,True,0
188529.203117113,ybrwjm88t8x4,Charissa,3,s6rusd,23,51223,2,0,0,100,True,0
188529.948833389,ybrwjm88t8x4,Charissa,3,3ruv3z,57,18846,2,0,0,100,True,0
188531.672222911,ybrwjm88t8x4,Charissa,3,3ruv3z,16,45524,1,0,0,228,True,0
188534.631811125,ybrwjm88t8x4,Charissa,4,3ruv3z,16,45524,2,0,0,100,True,0
188535.248533266,ybrwjm88t8x4,Charissa,4,s6rusd,68,62726,2,0,0,100,True,1
188535.933300574,ybrwjm88t8x4,Charissa,4,s6rusd,59,35851,1,0,0,228,True,0
188537.803908161,ybrwjm88t8x4,Charissa,4,3ruv3z,10,8601,1,0,0,228,True,0
188538.520037586,ybrwjm88t8x4,Charissa,4,3ruv3z,58,26660,1,0,0,228,True,0
188539.971340527,ybrwjm88t8x4,Charissa,4,s6rusd,0,27065,1,0,0,228,True,0
188541.239549114,ybrwjm88t8x4,Charissa,4,3ruv3z,10,8601,2,0,0,100,True,0
188542.68803479,ybrwjm88t8x4,Charissa,4,3ruv3z,58,26660,2,0,0,100,True,0
188546.393431131,ybrwjm88t8x4,Charissa,5,3ruv3z,30,14771,1,0,0,228,True,0
188547.788519325,ybrwjm88t8x4,Charissa,5,3ruv3z,75,13268,1,0,0,228,True,0
188550.931719799,ybrwjm88t8x4,Charissa,5,3ruv3z,34,15091,1,0,0,228,True,0
188551.644709361,ybrwjm88t8x4,Charissa,5,3ruv3z,70,32195,1,0,0,228,True,1
188552.027453607,ybrwjm88t8x4,Charissa,5,3ruv3z,72,48486,2,0,0,100,True,1
188552.722519321,ybrwjm88t8x4,Charissa,5,3ruv3z,51,12749,1,0,0,228,True,0
188554.621429824,ybrwjm88t8x4,Charissa,6,3ruv3z,34,15091,2,0,0,100,True,0
188555.107948613,ybrwjm88t8x4,Charissa,6,3ruv3z,70,32195,2,0,0,100,True,1
188555.79553604,ybrwjm88t8x4,Charissa,6,3ruv3z,36,5633,1,0,0,228,True,0
188557.964345092,ybrwjm88t8x4,Charissa,6,3ruv3z,14,54488,2,0,0,100,True,0
188559.419345564,ybrwjm88t8x4,Charissa,6,3ruv3z,50,13361,1,0,0,228,True,0
188561.562585074,ybrwjm88t8x4,Charissa,6,3ruv3z,45,36405,2,0,0,100,True,0
188565.503507995,ybrwjm88t8x4,Charissa,7,3ruv3z,47,16375,1,0,0,228,True,0
188566.238006433,ybrwjm88t8x4,Charissa,7,3ruv3z,26,26488,1,0,0,228,True,0
188568.729446178,ybrwjm88t8x4,Charissa,7,3ruv3z,40,56222,1,0,0,228,True,0
188569.175791696,ybrwjm88t8x4,Charissa,7,3ruv3z,47,16375,2,0,0,100,True,0
188573.772518828,ybrwjm88t8x4,Charissa,7,3ruv3z,35,42832,2,0,0,100,True,2
188574.490267295,ybrwjm88t8x4,Charissa,8,s6rusd,71,41928,1,0,0,228,True,2
188575.182381915,ybrwjm88t8x4,Charissa,8,s6rusd,79,36399,1,0,0,228,True,2
188575.554911129,ybrwjm88t8x4,Charissa,8,3ruv3z,77,61109,2,0,0,100,True,1
188576.242069643,ybrwjm88t8x4,Charissa,8,s6rusd,70,50543,1,0,0,228,True,1
188576.619626428,ybrwjm88t8x4,Charissa,8,3ruv3z,41,58824,2,0,0,100,True,0
188580.052341202,ybrwjm88t8x4,Charissa,8,s6rusd,43,52505,2,0,0,100,True,1
188580.421674937,ybrwjm88t8x4,Charissa,8,s6rusd,70,50543,2,0,0,100,True,1
188581.126308761,ybrwjm88t8x4,Charissa,8,3ruv3z,54,49887,1,0,0,228,True,1
188581.511015253,ybrwjm88t8x4,Charissa,8,3ruv3z,62,17770,2,0,0,100,True,0
188583.307204879,ybrwjm88t8x4,Charissa,8,s6rusd,26,55155,1,0,0,228,True,2
188583.670824473,ybrwjm88t8x4,Charissa,8,s6rusd,20,47341,2,0,0,100,True,1
188584.388761417,ybrwjm88t8x4,Charissa,8,3ruv3z,59,52161,1,0,0,228,True,0
188584.857902154,ybrwjm88t8x4,Charissa,9,s6rusd,44,38415,2,0,0,100,True,0
188586.194620418,ybrwjm88t8x4,Charissa,9,3ruv3z,11,6426,1,0,0,228,True,1
188586.89957453,ybrwjm88t8x4,Charissa,9,s6rusd,62,23742,1,0,0,228,True,0
188590.690754006,ybrwjm88t8x4,Charissa,9,3ruv3z,52,21870,2,0,0,100,True,0
188592.191243139,ybrwjm88t8x4,Charissa,9,3ruv3z,11,6426,2,0,0,100,True,2
188592.553327995,ybrwjm88t8x4,Charissa,9,s6rusd,58,62329,2,0,0,100,True,1
188592.924034338,ybrwjm88t8x4,Charissa,9,s6rusd,42,3070,2,0,0,100,True,0
188595.651531725,ybrwjm88t8x4,Charissa,10,3ruv3z,46,57851,1,0,0,228,True,0
188597.700590962,ybrwjm88t8x4,Charissa,10,3ruv3z,28,23882,2,0,0,100,True,0
188599.518059238,ybrwjm88t8x4,Charissa,10,3ruv3z,2,8221,1,0,0,228,True,0
188606.733554466,ybrwjm88t8x4,Charissa,11,s6rusd,73,24916,1,0,0,228,True,1
188607.426091209,ybrwjm88t8x4,Charissa,11,3ruv3z,43,6605,1,0,0,228,True,1
188607.788157855,ybrwjm88t8x4,Charissa,11,s6rusd,48,50936,2,0,0,100,True,0
188608.930993164,ybrwjm88t8x4,Charissa,11,s6rusd,64,49626,2,0,0,100,True,1
188609.304929135,ybrwjm88t8x4,Charissa,11,s6rusd,73,24916,2,0,0,100,True,1
188609.992655649,ybrwjm88t8x4,Charissa,11,3ruv3z,15,61787,1,0,0,228,True,1
188610.6912348,ybrwjm88t8x4,Charissa,11,s6rusd,5,29130,1,0,0,228,True,1
188611.39015747,ybrwjm88t8x4,Charissa,11,s6rusd,21,1895,1,0,0,228,True,2
188612.094847789,ybrwjm88t8x4,Charissa,11,s6rusd,69,50426,1,0,0,228,True,3
188612.779216745,ybrwjm88t8x4,Charissa,11,3ruv3z,61,17828,1,0,0,228,True,3
188613.473646029,ybrwjm88t8x4,Charissa,11,s6rusd,31,64622,1,0,0,228,True,5
188614.164902828,ybrwjm88t8x4,Charissa,11,3ruv3z,12,65373,1,0,0,228,True,6
188614.860461268,ybrwjm88t8x4,Charissa,12,3ruv3z,31,48320,1,0,0,228,True,6
188615.556591152,ybrwjm88t8x4,Charissa,12,s6rusd,2,32781,1,0,0,228,True,7
188615.942176791,ybrwjm88t8x4,Charissa,12,s6rusd,21,1895,2,0,0,100,True,7
188616.318297694,ybrwjm88t8x4,Charissa,12,3ruv3z,18,36635,2,0,0,100,True,7
188617.02959254,ybrwjm88t8x4,Charissa,12,s6rusd,41,44828,1,0,0,228,True,8
188617.721159306,ybrwjm88t8x4,Charissa,12,s6rusd,28,22447,1,0,0,228,True,7
188618.416090975,ybrwjm88t8x4,Charissa,12,s6rusd,16,61206,1,0,0,228,True,6
188619.104675886,ybrwjm88t8x4,Charissa,12,3ruv3z,32,24540,1,0,0,228,True,6
188619.813424774,ybrwjm88t8x4,Charissa,12,s6rusd,29,25502,1,0,0,228,True,9
188620.503996174,ybrwjm88t8x4,Charissa,12,s6rusd,17,51179,1,0,0,228,True,9
188621.206129312,ybrwjm88t8x4,Charissa,12,3ruv3z,25,37759,1,0,0,228,True,10
188621.90375691,ybrwjm88t8x4,Charissa,12,3ruv3z,38,37125,1,0,0,228,True,9
188622.588478082,ybrwjm88t8x4,Charissa,12,s6rusd,49,63002,1,0,0,228,True,9
188622.94671926,ybrwjm88t8x4,Charissa,12,s6rusd,41,44828,2,0,0,100,True,9
188623.306778301,ybrwjm88t8x4,Charissa,12,3ruv3z,71,63563,2,0,0,100,True,9
188623.997713286,ybrwjm88t8x4,Charissa,12,s6rusd,55,14408,1,0,0,228,True,9
188624.410062001,ybrwjm88t8x4,Charissa,12,3ruv3z,66,38264,2,0,0,100,True,9
188625.108401018,ybrwjm88t8x4,Charissa,13,3ruv3z,17,47459,1,0,0,228,True,8
188625.802532229,ybrwjm88t8x4,Charissa,13,3ruv3z,27,33141,1,0,0,228,True,8
188626.492643154,ybrwjm88t8x4,Charissa,13,s6rusd,1,46810,1,0,0,228,True,7
188627.203331244,ybrwjm88t8x4,Charissa,13,3ruv3z,33,39077,1,0,0,228,True,6
188627.578144732,ybrwjm88t8x4,Charissa,13,s6rusd,56,13587,2,0,0,100,True,5
188627.96308985,ybrwjm88t8x4,Charissa,13,3ruv3z,32,24540,2,0,0,100,True,4
188628.671776472,ybrwjm88t8x4,Charissa,13,s6rusd,12,53264,1,0,0,228,True,3
188629.043942184,ybrwjm88t8x4,Charissa,13,s6rusd,65,28499,2,0,0,100,True,3
188629.414809218,ybrwjm88t8x4,Charissa,13,s6rusd,17,51179,2,0,0,100,True,2
188630.092902359,ybrwjm88t8x4,Charissa,13,3ruv3z,17,62578,1,0,0,228,True,2
188630.48899856,ybrwjm88t8x4,Charissa,13,3ruv3z,56,24383,2,0,0,100,True,2
188630.893844299,ybrwjm88t8x4,Charissa,13,3ruv3z,3,49819,2,0,0,100,True,2
188631.269273171,ybrwjm88t8x4,Charissa,13,3ruv3z,66,44957,2,0,0,100,True,2
188631.648791862,ybrwjm88t8x4,Charissa,13,3ruv3z,71,24737,2,0,0,100,True,2
188632.034331101,ybrwjm88t8x4,Charissa,13,s6rusd,12,53264,2,0,0,100,True,1
188632.410670038,ybrwjm88t8x4,Charissa,13,3ruv3z,33,39077,2,0,0,100,True,0
188634.811425024,ybrwjm88t8x4,Charissa,14,s6rusd,8,35336,1,0,0,228,True,0
188635.839232982,ybrwjm88t8x4,Charissa,14,3ruv3z,38,37125,2,0,0,100,True,0
188638.387475913,ybrwjm88t8x4,Charissa,14,s6rusd,8,35336,2,0,0,100,True,0
188638.785651096,ybrwjm88t8x4,Charissa,14,s6rusd,10,43168,2,0,0,100,True,0
188639.966996407,ybrwjm88t8x4,Charissa,14,s6rusd,52,48863,1,0,0,228,True,1
188640.341317981,ybrwjm88t8x4,Charissa,14,s6rusd,55,14408,2,0,0,100,True,1
188641.018758904,ybrwjm88t8x4,Charissa,14,s6rusd,6,43023,1,0,0,228,True,0
188641.700730499,ybrwjm88t8x4,Charissa,14,s6rusd,77,26446,2,0,0,100,True,0
188642.699537921,ybrwjm88t8x4,Charissa,14,s6rusd,40,50920,1,0,0,228,True,0
188646.23560411,ybrwjm88t8x4,Charissa,15,s6rusd,25,36130,1,0,0,228,True,1
188646.605336208,ybrwjm88t8x4,Charissa,15,s6rusd,52,48863,2,0,0,100,True,0
188654.088016957,ybrwjm88t8x4,Charissa,15,s6rusd,72,31717,1,0,0,228,True,1
188654.489388912,ybrwjm88t8x4,Charissa,15,s6rusd,9,13976,2,0,0,100,True,0
188658.861252356,ybrwjm88t8x4,Charissa,16,s6rusd,35,4742,2,0,0,100,True,0
188659.919249665,ybrwjm88t8x4,Charissa,16,s6rusd,24,20506,2,0,0,100,True,0
188660.647446042,ybrwjm88t8x4,Charissa,16,s6rusd,38,29796,2,0,0,100,True,0
188666.297639217,ybrwjm88t8x4,Charissa,17,s6rusd,54,53147,2,0,0,100,True,0
188667.002178337,ybrwjm88t8x4,Charissa,17,s6rusd,54,65269,2,0,0,100,True,0
188669.825206193,ybrwjm88t8x4,Charissa,17,s6rusd,54,37762,2,0,0,100,True,0
188674.014194387,ybrwjm88t8x4,Charissa,17,s6rusd,54,56675,2,0,0,100,True,0
188937.287872588,ybrwjm88t8x4,Charissa,44,s6rusd,40,64572,2,0,0,100,True,0
