t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188518.177424823,yu23az5i3lue,Barry,2,xbdxkr,1,34584,1,0,228,0,True,0
188518.560558867,yu23az5i3lue,Barry,2,xbdxkr,1,34584,2,100,0,0,True,0
188520.076477889,yu23az5i3lue,Barry,2,xbdxkr,52,34346,1,0,228,0,True,0
188520.449680466,yu23az5i3lue,Barry,2,xbdxkr,52,34346,2,100,0,0,True,0
188523.705784857,yu23az5i3lue,Barry,2,xbdxkr,23,33743,1,0,228,0,True,0
188524.068259846,yu23az5i3lue,Barry,2,xbdxkr,23,33743,2,100,0,0,True,0
188566.575277894,yu23az5i3lue,Barry,7,no6xr6,9,17295,2,0,100,0,True,0
188566.989626152,yu23az5i3lue,Barry,7,xbdxkr,44,41530,1,0,228,0,True,0
188567.35364034,yu23az5i3lue,Barry,7,xbdxkr,44,41530,2,100,0,0,True,0
188572.726604414,yu23az5i3lue,Barry,7,qhyzot,24,28826,2,0,100,0,True,0
188575.303131883,yu23az5i3lue,Barry,8,no6xr6,20,57341,2,0,100,0,True,0
188578.223348249,yu23az5i3lue,Barry,8,no6xr6,19,1337,2,0,100,0,True,0
188579.559411893,yu23az5i3lue,Barry,8,xbdxkr,63,54776,1,0,228,0,True,0
188579.961827248,yu23az5i3lue,Barry,8,xbdxkr,63,54776,2,100,0,0,True,1
188579.969124462,yu23az5i3lue,Barry,8,qhyzot,41,58078,2,0,100,0,True,0
188580.352652905,yu23az5i3lue,Barry,8,xbdxkr,17,52296,1,0,228,0,True,0
188580.745324422,yu23az5i3lue,Barry,8,xbdxkr,17,52296,2,100,0,0,True,0
188582.148146189,yu23az5i3lue,Barry,8,no6xr6,54,39130,2,0,100,0,True,0
188583.581692005,yu23az5i3lue,Barry,8,xbdxkr,69,18392,1,0,228,0,True,0
188583.946861866,yu23az5i3lue,Barry,8,xbdxkr,69,18392,2,100,0,0,True,0
188584.831990131,yu23az5i3lue,Barry,8,no6xr6,5,5957,2,0,100,0,True,0
188586.71439586,yu23az5i3lue,Barry,9,no6xr6,0,11599,2,0,100,0,True,0
188590.701353003,yu23az5i3lue,Barry,9,qhyzot,6,59616,2,0,100,0,True,0
188590.95508854,yu23az5i3lue,Barry,9,xbdxkr,61,10435,1,0,228,0,True,1
188591.329362187,yu23az5i3lue,Barry,9,xbdxkr,61,10435,2,100,0,0,True,1
188591.334167035,yu23az5i3lue,Barry,9,xbdxkr,38,293,1,0,228,0,True,0
188591.690560653,yu23az5i3lue,Barry,9,xbdxkr,38,293,2,100,0,0,True,1
188591.695145735,yu23az5i3lue,Barry,9,qhyzot,25,30038,2,0,100,0,True,0
188592.484152279,yu23az5i3lue,Barry,9,qhyzot,6,27734,2,0,100,0,True,0
188785.105993338,yu23az5i3lue,Barry,29,xbdxkr,29,42036,1,0,228,0,True,0
188785.472453776,yu23az5i3lue,Barry,29,xbdxkr,29,42036,2,100,0,0,True,0
