t,user,current_round
188494.509984288,Buffy,0
188504.662066155,Buffy,1
188514.75071754,Buffy,2
188524.788567799,Buffy,3
188534.81703871,Buffy,4
188544.828136788,Buffy,5
188554.834820106,Buffy,6
188564.866624548,Buffy,7
188574.93453786,Buffy,8
188584.940906603,Buffy,9
188594.952385186,Buffy,10
188604.978533411,Buffy,11
188614.991448764,Buffy,12
188625.000643895,Buffy,13
188635.021436071,Buffy,14
188645.03820164,Buffy,15
188655.043219822,Buffy,16
188665.051101046,Buffy,17
188675.069065722,Buffy,18
188685.07554469,Buffy,19
188695.083243454,Buffy,20
188705.086253187,Buffy,21
188715.116468171,Buffy,22
188725.129077595,Buffy,23
188735.144603925,Buffy,24
188745.152114802,Buffy,25
188755.157965189,Buffy,26
188765.159690862,Buffy,27
188775.165090389,Buffy,28
188785.172641995,Buffy,29
188795.180658072,Buffy,30
188805.188941258,Buffy,31
188815.189884986,Buffy,32
188825.192928669,Buffy,33
188835.199557063,Buffy,34
188845.207530963,Buffy,35
188855.212958506,Buffy,36
188865.217270768,Buffy,37
188875.224684045,Buffy,38
188885.231415554,Buffy,39
188895.236654477,Buffy,40
188905.242199404,Buffy,41
188915.261113368,Buffy,42
188925.264158854,Buffy,43
188935.26932637,Buffy,44
188945.279332293,Buffy,45
188955.286284697,Buffy,46
188965.291603929,Buffy,47
188975.294507929,Buffy,48
188985.301696593,Buffy,49
188995.311098543,Buffy,50
189005.318432487,Buffy,51
189015.32678132,Buffy,52
189025.331086399,Buffy,53
189035.334783172,Buffy,54
189045.339433923,Buffy,55
189055.35214802,Buffy,56
189065.35659195,Buffy,57
189075.361362,Buffy,58
189085.367383782,Buffy,59
