t,user,current_round
188494.356118871,Gilbert,0
188504.461910752,Gilbert,1
188514.482421817,Gilbert,2
188524.493105678,Gilbert,3
188534.510332725,Gilbert,4
188544.531056304,Gilbert,5
188554.555416413,Gilbert,6
188564.558360307,Gilbert,7
188574.565230894,Gilbert,8
188584.57297596,Gilbert,9
188594.588134448,Gilbert,10
188604.622858374,Gilbert,11
188614.638703374,Gilbert,12
188624.658377704,Gilbert,13
188634.667488517,Gilbert,14
188644.670975044,Gilbert,15
188654.698182969,Gilbert,16
188664.72280563,Gilbert,17
188674.745039574,Gilbert,18
188684.752907433,Gilbert,19
188694.770361653,Gilbert,20
188704.777602186,Gilbert,21
188714.787231652,Gilbert,22
188724.793562391,Gilbert,23
188734.797966162,Gilbert,24
188744.80194556,Gilbert,25
188754.807618107,Gilbert,26
188764.814869139,Gilbert,27
188774.819317501,Gilbert,28
188784.826400617,Gilbert,29
188794.827285336,Gilbert,30
188804.832649783,Gilbert,31
188814.837869879,Gilbert,32
188824.840531357,Gilbert,33
188834.842984721,Gilbert,34
188844.843860876,Gilbert,35
188854.854042723,Gilbert,36
188864.858797902,Gilbert,37
188874.859035021,Gilbert,38
188884.863579768,Gilbert,39
188894.868629421,Gilbert,40
188904.873970427,Gilbert,41
188914.888585197,Gilbert,42
188924.898903133,Gilbert,43
188934.909842259,Gilbert,44
188944.917242947,Gilbert,45
188954.917963184,Gilbert,46
188964.921534379,Gilbert,47
188974.923730361,Gilbert,48
188984.932372987,Gilbert,49
188994.932817305,Gilbert,50
189004.93424674,Gilbert,51
189014.946658247,Gilbert,52
189024.94940074,Gilbert,53
189034.954051597,Gilbert,54
189044.954422399,Gilbert,55
189054.955348159,Gilbert,56
189064.95647151,Gilbert,57
189074.960861679,Gilbert,58
189084.966821247,Gilbert,59
