t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188500.98159905,08pmiddi8y77,Beatriz,0,eaatme,40,48588,1,228,0,0,True,0
188501.660407211,08pmiddi8y77,Beatriz,0,cdqvuo,17,34586,1,228,0,0,True,0
188502.360464982,08pmiddi8y77,Beatriz,0,eaatme,46,53423,1,228,0,0,True,0
188503.08831024,08pmiddi8y77,Beatriz,0,cdqvuo,55,23871,1,228,0,0,True,0
188503.864540112,08pmiddi8y77,Beatriz,0,eaatme,70,4508,1,228,0,0,True,0
188504.637059272,08pmiddi8y77,Beatriz,1,cdqvuo,40,23163,1,228,0,0,True,0
188515.302910216,08pmiddi8y77,Beatriz,2,eaatme,76,2993,1,228,0,0,True,0
188516.03273689,08pmiddi8y77,Beatriz,2,cdqvuo,1,63859,1,228,0,0,True,0
188516.756374731,08pmiddi8y77,Beatriz,2,eaatme,9,64689,1,228,0,0,True,0
188517.458343178,08pmiddi8y77,Beatriz,2,cdqvuo,68,39844,1,228,0,0,True,0
188518.167181002,08pmiddi8y77,Beatriz,2,eaatme,7,45783,1,228,0,0,True,0
188518.858904053,08pmiddi8y77,Beatriz,2,cdqvuo,3,26914,1,228,0,0,True,0
188519.552244373,08pmiddi8y77,Beatriz,2,eaatme,49,32684,1,228,0,0,True,0
188520.239197411,08pmiddi8y77,Beatriz,2,cdqvuo,6,30616,1,228,0,0,True,0
188520.966459257,08pmiddi8y77,Beatriz,2,eaatme,18,10452,1,228,0,0,True,0
188521.654103845,08pmiddi8y77,Beatriz,2,cdqvuo,73,51926,1,228,0,0,True,0
188522.383989228,08pmiddi8y77,Beatriz,2,eaatme,74,59764,1,228,0,0,True,0
188523.077276153,08pmiddi8y77,Beatriz,2,cdqvuo,66,45712,1,228,0,0,True,0
188523.771483804,08pmiddi8y77,Beatriz,2,eaatme,42,19709,1,228,0,0,True,1
188524.473152117,08pmiddi8y77,Beatriz,2,cdqvuo,56,39672,1,228,0,0,True,1
188524.477819989,08pmiddi8y77,Beatriz,2,cdqvuo,68,39844,2,0,100,0,True,0
188525.224547197,08pmiddi8y77,Beatriz,3,eaatme,73,36470,1,228,0,0,True,0
188525.911633077,08pmiddi8y77,Beatriz,3,cdqvuo,60,29264,1,228,0,0,True,0
188526.610053423,08pmiddi8y77,Beatriz,3,eaatme,66,11193,1,228,0,0,True,0
188527.300342691,08pmiddi8y77,Beatriz,3,cdqvuo,5,38774,1,228,0,0,True,0
188528.014286226,08pmiddi8y77,Beatriz,3,eaatme,50,61740,1,228,0,0,True,1
188528.711963964,08pmiddi8y77,Beatriz,3,cdqvuo,23,3762,1,228,0,0,True,2
188528.716958453,08pmiddi8y77,Beatriz,3,eaatme,18,10452,2,0,100,0,True,1
188528.722541841,08pmiddi8y77,Beatriz,3,cdqvuo,6,30616,2,0,100,0,True,0
188529.415765975,08pmiddi8y77,Beatriz,3,eaatme,56,9115,1,228,0,0,True,0
188530.10001619,08pmiddi8y77,Beatriz,3,cdqvuo,63,4229,1,228,0,0,True,0
188530.799772912,08pmiddi8y77,Beatriz,3,eaatme,60,14523,1,228,0,0,True,0
188531.500286737,08pmiddi8y77,Beatriz,3,cdqvuo,8,15516,1,228,0,0,True,0
188532.189343289,08pmiddi8y77,Beatriz,3,eaatme,41,44626,1,228,0,0,True,0
188532.871898846,08pmiddi8y77,Beatriz,3,cdqvuo,44,8546,1,228,0,0,True,2
188532.877937272,08pmiddi8y77,Beatriz,3,eaatme,73,36470,2,0,100,0,True,1
188532.882424426,08pmiddi8y77,Beatriz,3,cdqvuo,5,38774,2,0,100,0,True,0
188533.574947644,08pmiddi8y77,Beatriz,3,eaatme,72,9589,1,228,0,0,True,1
188534.262503507,08pmiddi8y77,Beatriz,3,cdqvuo,39,44503,1,228,0,0,True,2
188534.267655719,08pmiddi8y77,Beatriz,3,eaatme,50,61740,2,0,100,0,True,1
188534.958960408,08pmiddi8y77,Beatriz,4,cdqvuo,23,3762,1,0,0,228,True,1
188534.963732286,08pmiddi8y77,Beatriz,4,eaatme,66,11193,2,0,100,0,True,0
188535.660567773,08pmiddi8y77,Beatriz,4,eaatme,64,6613,1,228,0,0,True,0
188536.34815483,08pmiddi8y77,Beatriz,4,cdqvuo,31,12431,1,228,0,0,True,1
188536.352716238,08pmiddi8y77,Beatriz,4,cdqvuo,63,4229,2,0,100,0,True,0
188537.062107521,08pmiddi8y77,Beatriz,4,eaatme,43,38858,1,228,0,0,True,0
188537.756458776,08pmiddi8y77,Beatriz,4,cdqvuo,65,11786,1,228,0,0,True,0
188538.4589499,08pmiddi8y77,Beatriz,4,eaatme,31,29323,1,228,0,0,True,0
188539.171030645,08pmiddi8y77,Beatriz,4,cdqvuo,52,40633,1,228,0,0,True,0
188539.881420683,08pmiddi8y77,Beatriz,4,eaatme,52,34486,1,228,0,0,True,1
188540.588064788,08pmiddi8y77,Beatriz,4,cdqvuo,20,30687,1,228,0,0,True,1
188540.595500368,08pmiddi8y77,Beatriz,4,eaatme,72,9589,2,0,100,0,True,0
188541.309718846,08pmiddi8y77,Beatriz,4,eaatme,22,48337,1,228,0,0,True,0
188542.008954933,08pmiddi8y77,Beatriz,4,cdqvuo,54,24559,1,228,0,0,True,0
188542.722038924,08pmiddi8y77,Beatriz,4,eaatme,59,405,1,228,0,0,True,0
188543.414372261,08pmiddi8y77,Beatriz,4,cdqvuo,74,57936,1,228,0,0,True,0
188544.108640657,08pmiddi8y77,Beatriz,4,eaatme,63,10684,1,228,0,0,True,1
188544.846135885,08pmiddi8y77,Beatriz,5,cdqvuo,21,22820,1,228,0,0,True,1
188555.36894747,08pmiddi8y77,Beatriz,6,eaatme,33,21802,1,228,0,0,True,1
