t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188536.569674088,43dm1rs8xn0a,Nadia,4,z8cxhh,27,62649,1,0,0,228,True,0
188561.780961746,43dm1rs8xn0a,Nadia,6,z8cxhh,77,57380,1,0,0,228,True,0
188564.059235218,43dm1rs8xn0a,Nadia,6,z8cxhh,54,60082,2,0,0,100,True,0
188566.436211241,43dm1rs8xn0a,Nadia,7,z8cxhh,29,49891,1,0,0,228,False,0
188570.852083862,43dm1rs8xn0a,Nadia,7,z8cxhh,42,12633,1,0,0,228,False,0
188572.19894911,43dm1rs8xn0a,Nadia,7,z8cxhh,22,58427,1,0,0,228,False,0
188590.950486523,43dm1rs8xn0a,Nadia,9,z8cxhh,9,31993,1,0,0,228,True,0
188592.929545516,43dm1rs8xn0a,Nadia,9,z8cxhh,17,36170,1,0,0,228,True,0
188593.843142255,43dm1rs8xn0a,Nadia,9,z8cxhh,44,52561,2,0,0,100,True,0
188595.39954563,43dm1rs8xn0a,Nadia,10,z8cxhh,24,33641,2,0,0,100,True,1
188595.763551092,43dm1rs8xn0a,Nadia,10,z8cxhh,63,26014,2,0,0,100,True,0
188638.594196293,43dm1rs8xn0a,Nadia,14,z8cxhh,51,42802,2,0,0,100,True,0
188639.800801698,43dm1rs8xn0a,Nadia,14,z8cxhh,38,56050,1,0,0,228,True,0
188653.94049918,43dm1rs8xn0a,Nadia,15,z8cxhh,32,49862,1,0,0,228,True,0
188668.487925556,43dm1rs8xn0a,Nadia,17,z8cxhh,25,57493,1,0,0,228,True,0
188671.417528795,43dm1rs8xn0a,Nadia,17,z8cxhh,53,26646,2,0,0,100,True,0
188676.090002318,43dm1rs8xn0a,Nadia,18,z8cxhh,37,22994,1,0,0,228,True,3
188676.456698484,43dm1rs8xn0a,Nadia,18,z8cxhh,74,53419,2,0,0,100,True,2
188676.825419706,43dm1rs8xn0a,Nadia,18,z8cxhh,37,6211,2,0,0,100,True,3
188677.188441646,43dm1rs8xn0a,Nadia,18,z8cxhh,75,36151,2,0,0,100,True,3
188677.869581414,43dm1rs8xn0a,Nadia,18,z8cxhh,70,64940,1,0,0,228,True,2
188678.257045232,43dm1rs8xn0a,Nadia,18,z8cxhh,37,22994,2,0,0,100,True,1
188678.968732378,43dm1rs8xn0a,Nadia,18,z8cxhh,67,6255,1,0,0,228,True,3
188679.334403535,43dm1rs8xn0a,Nadia,18,z8cxhh,70,64940,2,0,0,100,True,2
188680.012811041,43dm1rs8xn0a,Nadia,18,z8cxhh,33,54099,1,0,0,228,True,2
188680.703091792,43dm1rs8xn0a,Nadia,18,z8cxhh,1,42384,1,0,0,228,True,1
188681.395405286,43dm1rs8xn0a,Nadia,18,z8cxhh,16,4360,1,0,0,228,True,1
188681.765714566,43dm1rs8xn0a,Nadia,18,z8cxhh,1,42384,2,0,0,100,True,0
188683.522243154,43dm1rs8xn0a,Nadia,18,z8cxhh,26,30381,1,0,0,228,True,1
188683.88240661,43dm1rs8xn0a,Nadia,18,z8cxhh,22,6710,2,0,0,100,True,1
188684.573853105,43dm1rs8xn0a,Nadia,18,z8cxhh,72,48476,1,0,0,228,True,2
188684.96644413,43dm1rs8xn0a,Nadia,19,z8cxhh,26,30381,2,0,0,100,True,2
188685.649510864,43dm1rs8xn0a,Nadia,19,z8cxhh,16,13160,1,0,0,228,True,3
188686.012840452,43dm1rs8xn0a,Nadia,19,z8cxhh,23,56476,2,0,0,100,True,2
188686.381187697,43dm1rs8xn0a,Nadia,19,z8cxhh,72,48476,2,0,0,100,True,1
188687.06408498,43dm1rs8xn0a,Nadia,19,z8cxhh,20,44493,1,0,0,228,True,1
188687.744762032,43dm1rs8xn0a,Nadia,19,z8cxhh,22,13427,1,0,0,228,True,0
