t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188500.995384826,7iefqzyccwpm,Jessica,0,pq7qgc,45,56608,1,228,0,0,True,0
188501.755551159,7iefqzyccwpm,Jessica,0,pq7qgc,23,2243,1,228,0,0,True,0
188502.495744141,7iefqzyccwpm,Jessica,0,pq7qgc,25,19250,1,228,0,0,True,0
188503.216067768,7iefqzyccwpm,Jessica,0,pq7qgc,13,46197,1,228,0,0,True,0
188503.96634462,7iefqzyccwpm,Jessica,0,pq7qgc,65,55107,1,228,0,0,True,0
188504.826069158,7iefqzyccwpm,Jessica,1,pq7qgc,12,18283,1,228,0,0,True,0
188505.570532916,7iefqzyccwpm,Jessica,1,pq7qgc,54,49292,1,228,0,0,True,1
188506.259984196,7iefqzyccwpm,Jessica,1,qx3a2t,2,48971,1,0,0,228,True,1
188506.987495533,7iefqzyccwpm,Jessica,1,qx3a2t,31,32312,1,0,0,228,True,1
188507.689977724,7iefqzyccwpm,Jessica,1,qx3a2t,73,16831,1,0,0,228,True,1
188508.086700292,7iefqzyccwpm,Jessica,1,qx3a2t,2,48971,2,0,0,100,True,0
188508.806138675,7iefqzyccwpm,Jessica,1,pq7qgc,58,43873,1,228,0,0,True,1
188509.172311774,7iefqzyccwpm,Jessica,1,qx3a2t,73,16831,2,0,0,100,True,0
188509.854415202,7iefqzyccwpm,Jessica,1,pq7qgc,79,7112,1,228,0,0,True,0
188510.550725557,7iefqzyccwpm,Jessica,1,pq7qgc,38,9380,1,228,0,0,True,2
188511.238455597,7iefqzyccwpm,Jessica,1,qx3a2t,61,20049,1,0,0,228,True,1
188511.243588902,7iefqzyccwpm,Jessica,1,pq7qgc,65,55107,2,0,100,0,True,0
188511.961351831,7iefqzyccwpm,Jessica,1,pq7qgc,72,16186,1,228,0,0,True,0
188512.663112948,7iefqzyccwpm,Jessica,1,pq7qgc,55,16972,1,228,0,0,True,0
188513.386215058,7iefqzyccwpm,Jessica,1,pq7qgc,1,34573,1,228,0,0,True,0
188514.0773994,7iefqzyccwpm,Jessica,1,pq7qgc,22,7378,1,228,0,0,True,0
188514.784711785,7iefqzyccwpm,Jessica,2,pq7qgc,26,61768,1,228,0,0,True,0
188515.471176082,7iefqzyccwpm,Jessica,2,pq7qgc,47,42644,1,228,0,0,True,0
188516.165313576,7iefqzyccwpm,Jessica,2,pq7qgc,8,52446,1,228,0,0,True,2
188516.170055737,7iefqzyccwpm,Jessica,2,pq7qgc,58,43873,2,0,100,0,True,1
188516.857949451,7iefqzyccwpm,Jessica,2,qx3a2t,58,51612,1,0,0,228,True,0
188517.547641662,7iefqzyccwpm,Jessica,2,pq7qgc,57,3636,1,228,0,0,True,1
188517.915509962,7iefqzyccwpm,Jessica,2,qx3a2t,58,51612,2,0,0,100,True,0
188518.611556662,7iefqzyccwpm,Jessica,2,pq7qgc,9,63709,1,228,0,0,True,0
188519.307843244,7iefqzyccwpm,Jessica,2,pq7qgc,6,1431,1,228,0,0,True,1
