t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188502.452656117,bbsjnf44z8er,Charissa,0,qx3a2t,1,2927,1,0,0,228,True,0
188503.85423463,bbsjnf44z8er,Charissa,0,cdqvuo,55,23871,1,0,0,228,True,0
188504.797992834,bbsjnf44z8er,Charissa,1,qx3a2t,31,32312,1,0,0,228,True,1
188505.482670284,bbsjnf44z8er,Charissa,1,zndpz5,16,36246,1,0,0,228,True,1
188505.877949838,bbsjnf44z8er,Charissa,1,cdqvuo,17,34586,2,0,0,100,True,0
188506.276918593,bbsjnf44z8er,Charissa,1,zndpz5,16,36246,2,0,0,100,True,0
188507.310865101,bbsjnf44z8er,Charissa,1,qx3a2t,1,2927,2,0,0,100,True,0
188508.32763485,bbsjnf44z8er,Charissa,1,qx3a2t,16,62076,1,0,0,228,True,2
188508.691760651,bbsjnf44z8er,Charissa,1,eaatme,46,53423,2,0,0,100,True,2
188509.400391585,bbsjnf44z8er,Charissa,1,qxpuuk,41,62195,1,0,0,228,True,2
188509.758408559,bbsjnf44z8er,Charissa,1,qx3a2t,2,48971,2,0,0,100,True,1
188510.127124997,bbsjnf44z8er,Charissa,1,zndpz5,40,57914,2,0,0,100,True,0
188512.596901474,bbsjnf44z8er,Charissa,1,qx3a2t,53,1385,1,0,0,228,True,1
188513.300049703,bbsjnf44z8er,Charissa,1,qxpuuk,4,26316,1,0,0,228,True,1
188513.691687276,bbsjnf44z8er,Charissa,1,py5iu9,4,12403,2,0,0,100,True,0
188515.291062855,bbsjnf44z8er,Charissa,2,qx3a2t,5,2569,2,0,0,100,True,1
188515.648449696,bbsjnf44z8er,Charissa,2,qx3a2t,61,20049,2,0,0,100,True,1
188516.348104845,bbsjnf44z8er,Charissa,2,py5iu9,23,28196,1,0,0,228,True,0
188517.474927605,bbsjnf44z8er,Charissa,2,cdqvuo,1,63859,1,0,0,228,True,1
188518.17438949,bbsjnf44z8er,Charissa,2,cdqvuo,68,39844,1,0,0,228,True,1
188518.556322761,bbsjnf44z8er,Charissa,2,py5iu9,23,28196,2,0,0,100,True,1
188519.258484672,bbsjnf44z8er,Charissa,2,qxpuuk,76,54798,1,0,0,228,True,0
188520.849532251,bbsjnf44z8er,Charissa,2,qx3a2t,19,35480,1,0,0,228,True,1
188521.547016356,bbsjnf44z8er,Charissa,2,py5iu9,52,9489,1,0,0,228,True,1
188521.924053941,bbsjnf44z8er,Charissa,2,py5iu9,36,58171,2,0,0,100,True,0
188523.099283058,bbsjnf44z8er,Charissa,2,cdqvuo,73,51926,1,0,0,228,True,1
188523.798622263,bbsjnf44z8er,Charissa,2,eaatme,74,59764,1,0,0,228,True,2
188524.50113928,bbsjnf44z8er,Charissa,3,qxpuuk,56,26934,1,0,0,228,True,5
188525.267016657,bbsjnf44z8er,Charissa,3,cdqvuo,66,45712,1,0,0,228,True,6
188525.973393866,bbsjnf44z8er,Charissa,3,qx3a2t,66,4254,1,0,0,228,True,7
188526.659442599,bbsjnf44z8er,Charissa,3,qxpuuk,53,56522,1,0,0,228,True,8
188527.025704138,bbsjnf44z8er,Charissa,3,py5iu9,26,26351,2,0,0,100,True,7
188527.725257418,bbsjnf44z8er,Charissa,3,cdqvuo,56,39672,1,0,0,228,True,9
188528.418918101,bbsjnf44z8er,Charissa,3,py5iu9,71,51551,1,0,0,228,True,8
188529.106029205,bbsjnf44z8er,Charissa,3,eaatme,73,36470,1,0,0,228,True,9
188529.467538751,bbsjnf44z8er,Charissa,3,qxpuuk,76,54798,2,0,0,100,True,8
188530.162828202,bbsjnf44z8er,Charissa,3,cdqvuo,60,29264,1,0,0,228,True,9
188530.53795851,bbsjnf44z8er,Charissa,3,qx3a2t,19,35480,2,0,0,100,True,10
188531.222607554,bbsjnf44z8er,Charissa,3,qxpuuk,64,38201,1,0,0,228,True,12
188531.940611436,bbsjnf44z8er,Charissa,3,qxpuuk,39,20231,1,0,0,228,True,15
188532.300789983,bbsjnf44z8er,Charissa,3,eaatme,74,59764,2,0,0,100,True,16
188532.998261309,bbsjnf44z8er,Charissa,3,py5iu9,78,49072,1,0,0,228,True,17
188533.356606054,bbsjnf44z8er,Charissa,3,cdqvuo,66,45712,2,0,0,100,True,16
188534.044793787,bbsjnf44z8er,Charissa,3,cdqvuo,23,3762,1,0,0,228,True,15
188534.432976027,bbsjnf44z8er,Charissa,3,qxpuuk,17,50266,2,0,0,100,True,15
188534.84810877,bbsjnf44z8er,Charissa,4,eaatme,66,11193,2,0,0,100,True,15
188535.211733422,bbsjnf44z8er,Charissa,4,qx3a2t,24,52249,2,0,0,100,True,15
188535.892096115,bbsjnf44z8er,Charissa,4,py5iu9,18,5269,1,0,0,228,True,14
188536.266443362,bbsjnf44z8er,Charissa,4,qx3a2t,66,4254,2,0,0,100,True,13
188536.632264509,bbsjnf44z8er,Charissa,4,qx3a2t,3,13763,2,0,0,100,True,12
188537.00463353,bbsjnf44z8er,Charissa,4,qxpuuk,68,53265,2,0,0,100,True,13
188537.378090456,bbsjnf44z8er,Charissa,4,qxpuuk,5,27298,2,0,0,100,True,14
188538.073353249,bbsjnf44z8er,Charissa,4,cdqvuo,8,15516,1,0,0,228,True,14
188538.448747026,bbsjnf44z8er,Charissa,4,qx3a2t,51,30764,2,0,0,100,True,13
188539.16350203,bbsjnf44z8er,Charissa,4,py5iu9,54,23699,1,0,0,228,True,14
188539.865925766,bbsjnf44z8er,Charissa,4,qx3a2t,17,6759,1,0,0,228,True,16
188540.569423523,bbsjnf44z8er,Charissa,4,eaatme,41,44626,1,0,0,228,True,16
188541.285329939,bbsjnf44z8er,Charissa,4,qxpuuk,2,30843,1,0,0,228,True,17
188541.979326731,bbsjnf44z8er,Charissa,4,cdqvuo,44,8546,1,0,0,228,True,17
188542.347432403,bbsjnf44z8er,Charissa,4,cdqvuo,60,29264,2,0,0,100,True,17
188542.740309948,bbsjnf44z8er,Charissa,4,py5iu9,78,49072,2,0,0,100,True,17
188543.437846431,bbsjnf44z8er,Charissa,4,cdqvuo,39,44503,1,0,0,228,True,16
188544.126887158,bbsjnf44z8er,Charissa,4,qxpuuk,60,13462,1,0,0,228,True,18
188544.510780175,bbsjnf44z8er,Charissa,4,py5iu9,25,30941,2,0,0,100,True,18
188544.943990149,bbsjnf44z8er,Charissa,5,py5iu9,18,5269,2,0,0,100,True,17
188545.63867118,bbsjnf44z8er,Charissa,5,qx3a2t,76,63889,1,0,0,228,True,18
188546.32838241,bbsjnf44z8er,Charissa,5,py5iu9,48,53602,1,0,0,228,True,19
188547.023208192,bbsjnf44z8er,Charissa,5,py5iu9,61,25823,1,0,0,228,True,19
188547.718206579,bbsjnf44z8er,Charissa,5,qxpuuk,1,52126,1,0,0,228,True,18
188548.436914537,bbsjnf44z8er,Charissa,5,cdqvuo,52,40633,1,0,0,228,True,19
188548.801980431,bbsjnf44z8er,Charissa,5,qxpuuk,75,6509,2,0,0,100,True,19
188549.487233412,bbsjnf44z8er,Charissa,5,qxpuuk,44,18165,1,0,0,228,True,18
188550.185615606,bbsjnf44z8er,Charissa,5,py5iu9,39,60788,1,0,0,228,True,18
188550.557620524,bbsjnf44z8er,Charissa,5,cdqvuo,8,15516,2,0,0,100,True,17
188550.917550734,bbsjnf44z8er,Charissa,5,py5iu9,54,23699,2,0,0,100,True,16
188551.284931526,bbsjnf44z8er,Charissa,5,cdqvuo,65,11786,2,0,0,100,True,15
188551.984223366,bbsjnf44z8er,Charissa,5,qxpuuk,77,39213,1,0,0,228,True,16
188552.733986267,bbsjnf44z8er,Charissa,5,cdqvuo,54,24559,1,0,0,228,True,16
188553.098050231,bbsjnf44z8er,Charissa,5,eaatme,41,44626,2,0,0,100,True,15
188553.798412271,bbsjnf44z8er,Charissa,5,qx3a2t,37,29881,1,0,0,228,True,14
188554.511675681,bbsjnf44z8er,Charissa,5,cdqvuo,74,57936,1,0,0,228,True,13
