t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188503.894144586,fptrlrandoci,Reita,0,qx3a2t,2,48971,1,0,0,228,True,0
188505.889366872,fptrlrandoci,Reita,1,eaatme,46,53423,1,0,228,0,True,0
188506.272120949,fptrlrandoci,Reita,1,eaatme,46,53423,2,100,0,0,True,0
188506.561522225,fptrlrandoci,Reita,1,eaatme,70,4508,1,0,228,0,True,0
188506.945938951,fptrlrandoci,Reita,1,eaatme,70,4508,2,100,0,0,True,0
188507.058268887,fptrlrandoci,Reita,1,zndpz5,16,36246,2,0,100,0,True,0
188510.208201171,fptrlrandoci,Reita,1,qx3a2t,73,16831,2,0,0,100,True,1
188510.915989127,fptrlrandoci,Reita,1,qx3a2t,50,581,1,0,0,228,True,0
188513.312829398,fptrlrandoci,Reita,1,qx3a2t,21,42352,1,0,0,228,True,0
188517.566027834,fptrlrandoci,Reita,2,pq7qgc,1,34573,1,0,228,0,True,0
188517.942589769,fptrlrandoci,Reita,2,pq7qgc,1,34573,2,100,0,0,True,0
188518.788766806,fptrlrandoci,Reita,2,qx3a2t,58,51612,2,0,0,100,True,0
188520.950423068,fptrlrandoci,Reita,2,qx3a2t,21,42352,2,0,0,100,True,1
188521.313171483,fptrlrandoci,Reita,2,qx3a2t,63,22420,2,0,0,100,True,0
188522.98811568,fptrlrandoci,Reita,2,pq7qgc,9,63709,1,0,228,0,True,0
188523.39688892,fptrlrandoci,Reita,2,pq7qgc,9,63709,2,100,0,0,True,0
188525.546066046,fptrlrandoci,Reita,3,eaatme,74,59764,1,0,228,0,True,0
188525.930125438,fptrlrandoci,Reita,3,eaatme,74,59764,2,100,0,0,True,1
188526.309012328,fptrlrandoci,Reita,3,qx3a2t,9,9220,2,0,0,100,True,1
188527.045735247,fptrlrandoci,Reita,3,qx3a2t,51,30764,1,0,0,228,True,0
188528.206482853,fptrlrandoci,Reita,3,qx3a2t,47,3366,1,0,0,228,True,0
188531.340264118,fptrlrandoci,Reita,3,eaatme,50,61740,1,0,228,0,True,0
188531.703839074,fptrlrandoci,Reita,3,eaatme,50,61740,2,100,0,0,True,0
188533.049981067,fptrlrandoci,Reita,3,qx3a2t,47,3366,2,0,0,100,True,0
188533.421343278,fptrlrandoci,Reita,3,pq7qgc,74,43837,1,0,228,0,True,0
188533.795417159,fptrlrandoci,Reita,3,pq7qgc,74,43837,2,100,0,0,True,1
188533.800019158,fptrlrandoci,Reita,3,eaatme,60,14523,1,0,228,0,True,0
188534.171602773,fptrlrandoci,Reita,3,eaatme,60,14523,2,100,0,0,True,0
188536.312278199,fptrlrandoci,Reita,4,qx3a2t,49,60481,1,0,0,228,True,1
188536.319462014,fptrlrandoci,Reita,4,eaatme,72,9589,1,0,228,0,True,0
188536.688891463,fptrlrandoci,Reita,4,eaatme,72,9589,2,100,0,0,True,0
188537.090496234,fptrlrandoci,Reita,4,pq7qgc,73,4654,1,0,228,0,True,0
188537.48787547,fptrlrandoci,Reita,4,pq7qgc,73,4654,2,100,0,0,True,1
188537.492939553,fptrlrandoci,Reita,4,pq7qgc,20,33881,1,0,228,0,True,0
188537.884452348,fptrlrandoci,Reita,4,pq7qgc,20,33881,2,100,0,0,True,0
188539.102559628,fptrlrandoci,Reita,4,eaatme,64,6613,1,0,228,0,True,0
188539.469047106,fptrlrandoci,Reita,4,eaatme,64,6613,2,100,0,0,True,0
188540.543896243,fptrlrandoci,Reita,4,qx3a2t,49,60481,2,0,0,100,True,0
188541.995905905,fptrlrandoci,Reita,4,eaatme,41,44626,1,0,228,0,True,0
188542.364715235,fptrlrandoci,Reita,4,eaatme,41,44626,2,100,0,0,True,0
188543.372156073,fptrlrandoci,Reita,4,qx3a2t,17,6759,2,0,0,100,True,0
188543.491418773,fptrlrandoci,Reita,4,pq7qgc,44,32766,1,0,228,0,True,0
188543.857929868,fptrlrandoci,Reita,4,pq7qgc,44,32766,2,100,0,0,True,0
188554.53066214,fptrlrandoci,Reita,6,pq7qgc,48,39732,1,0,228,0,True,0
188554.955727648,fptrlrandoci,Reita,6,pq7qgc,48,39732,2,100,0,0,True,0
188557.791218259,fptrlrandoci,Reita,6,qx3a2t,32,1727,1,0,0,228,True,1
188557.798241878,fptrlrandoci,Reita,6,pq7qgc,40,46463,1,0,228,0,True,0
188558.185554762,fptrlrandoci,Reita,6,pq7qgc,40,46463,2,100,0,0,True,1
188558.573680442,fptrlrandoci,Reita,6,qx3a2t,37,29881,2,0,0,100,True,1
188558.946433484,fptrlrandoci,Reita,6,qx3a2t,25,17351,2,0,0,100,True,0
188559.645475602,fptrlrandoci,Reita,6,qx3a2t,35,59466,2,0,0,100,True,1
188560.019065492,fptrlrandoci,Reita,6,qx3a2t,67,24865,2,0,0,100,True,0
188560.625776307,fptrlrandoci,Reita,6,pq7qgc,64,58067,1,0,228,0,True,1
188561.024534823,fptrlrandoci,Reita,6,pq7qgc,64,58067,2,100,0,0,True,1
188561.714880673,fptrlrandoci,Reita,6,qx3a2t,30,49027,1,0,0,228,True,1
188562.426862846,fptrlrandoci,Reita,6,qx3a2t,10,27252,1,0,0,228,True,1
188562.807042422,fptrlrandoci,Reita,6,qx3a2t,69,33054,2,0,0,100,True,0
188564.223296401,fptrlrandoci,Reita,6,qx3a2t,74,46834,1,0,0,228,True,1
188564.228055374,fptrlrandoci,Reita,6,eaatme,48,28332,1,0,228,0,True,0
188564.598055031,fptrlrandoci,Reita,7,eaatme,48,28332,2,100,0,0,True,0
188565.993364835,fptrlrandoci,Reita,7,qx3a2t,45,24525,1,0,0,228,True,0
188566.417880775,fptrlrandoci,Reita,7,pq7qgc,41,12202,1,0,228,0,True,0
188566.796645365,fptrlrandoci,Reita,7,pq7qgc,41,12202,2,100,0,0,True,0
188568.130506454,fptrlrandoci,Reita,7,qx3a2t,32,1727,2,0,0,100,True,1
188568.138130106,fptrlrandoci,Reita,7,eaatme,12,52342,1,0,228,0,True,0
188568.511466507,fptrlrandoci,Reita,7,eaatme,12,52342,2,100,0,0,True,0
188570.422742338,fptrlrandoci,Reita,7,qx3a2t,29,60671,2,0,0,100,True,0
188571.144737115,fptrlrandoci,Reita,7,qx3a2t,13,10122,2,0,0,100,True,0
188571.563350278,fptrlrandoci,Reita,7,qx3a2t,46,36043,2,0,0,100,True,0
188573.305985781,fptrlrandoci,Reita,7,qx3a2t,30,49027,2,0,0,100,True,0
188575.006188776,fptrlrandoci,Reita,8,pq7qgc,63,13258,1,0,228,0,True,0
188575.395747667,fptrlrandoci,Reita,8,pq7qgc,63,13258,2,100,0,0,True,0
188579.644897863,fptrlrandoci,Reita,8,qx3a2t,27,9908,1,0,0,228,True,0
188584.155398767,fptrlrandoci,Reita,8,qx3a2t,44,65151,2,0,0,100,True,0
188585.732719089,fptrlrandoci,Reita,9,pq7qgc,53,16330,1,0,228,0,True,0
188586.100561593,fptrlrandoci,Reita,9,pq7qgc,53,16330,2,100,0,0,True,0
188588.642844329,fptrlrandoci,Reita,9,eaatme,58,19193,1,0,228,0,True,0
188589.008459565,fptrlrandoci,Reita,9,eaatme,58,19193,2,100,0,0,True,0
188592.167306938,fptrlrandoci,Reita,9,eaatme,2,33431,1,0,228,0,True,0
188592.534012691,fptrlrandoci,Reita,9,eaatme,2,33431,2,100,0,0,True,0
188593.91968132,fptrlrandoci,Reita,9,qx3a2t,70,4628,2,0,0,100,True,0
188594.621247346,fptrlrandoci,Reita,10,pq7qgc,39,10054,1,0,228,0,True,0
188595.01547965,fptrlrandoci,Reita,10,pq7qgc,39,10054,2,100,0,0,True,0
188595.30075839,fptrlrandoci,Reita,10,pq7qgc,36,18730,1,0,228,0,True,0
188595.686361884,fptrlrandoci,Reita,10,pq7qgc,36,18730,2,100,0,0,True,0
188597.202511495,fptrlrandoci,Reita,10,pq7qgc,69,43019,1,0,228,0,True,0
188597.570730764,fptrlrandoci,Reita,10,pq7qgc,69,43019,2,100,0,0,True,1
188598.258570948,fptrlrandoci,Reita,10,qx3a2t,20,57911,1,0,0,228,True,0
188622.732369693,fptrlrandoci,Reita,12,qx3a2t,72,9432,2,0,0,100,True,0
188624.221438108,fptrlrandoci,Reita,12,zndpz5,20,21848,2,0,100,0,True,0
188626.10498335,fptrlrandoci,Reita,13,qx3a2t,75,25493,1,0,0,228,True,0
188627.174891131,fptrlrandoci,Reita,13,qx3a2t,56,47491,2,0,0,100,True,0
188628.335684236,fptrlrandoci,Reita,13,pq7qgc,39,39710,1,0,228,0,True,0
188628.697804542,fptrlrandoci,Reita,13,pq7qgc,39,39710,2,100,0,0,True,1
188629.065421488,fptrlrandoci,Reita,13,qx3a2t,78,51747,2,0,0,100,True,0
188629.979740137,fptrlrandoci,Reita,13,eaatme,27,30843,1,0,228,0,True,0
188630.351574187,fptrlrandoci,Reita,13,eaatme,27,30843,2,100,0,0,True,0
188631.454789545,fptrlrandoci,Reita,13,qx3a2t,23,2604,1,0,0,228,True,1
188631.459663843,fptrlrandoci,Reita,13,pq7qgc,12,12783,1,0,228,0,True,0
188631.826451384,fptrlrandoci,Reita,13,pq7qgc,12,12783,2,100,0,0,True,1
188631.831945228,fptrlrandoci,Reita,13,pq7qgc,69,27707,1,0,228,0,True,0
188632.206120911,fptrlrandoci,Reita,13,pq7qgc,69,27707,2,100,0,0,True,0
188635.541304836,fptrlrandoci,Reita,14,qx3a2t,34,2138,2,0,0,100,True,0
188636.132995981,fptrlrandoci,Reita,14,pq7qgc,12,64533,1,0,228,0,True,0
188636.513716036,fptrlrandoci,Reita,14,pq7qgc,12,64533,2,100,0,0,True,0
188637.002200641,fptrlrandoci,Reita,14,qx3a2t,28,7688,2,0,0,100,True,0
188638.456172058,fptrlrandoci,Reita,14,pq7qgc,12,45377,1,0,228,0,True,0
188638.834403447,fptrlrandoci,Reita,14,pq7qgc,12,45377,2,100,0,0,True,2
188638.842346091,fptrlrandoci,Reita,14,pq7qgc,12,36351,1,0,228,0,True,1
188639.211879603,fptrlrandoci,Reita,14,pq7qgc,12,36351,2,100,0,0,True,1
188639.216610261,fptrlrandoci,Reita,14,pq7qgc,12,36633,1,0,228,0,True,0
188639.580722619,fptrlrandoci,Reita,14,pq7qgc,12,36633,2,100,0,0,True,1
188639.588452891,fptrlrandoci,Reita,14,eaatme,71,559,1,0,228,0,True,0
188639.952258797,fptrlrandoci,Reita,14,eaatme,71,559,2,100,0,0,True,1
188639.957411707,fptrlrandoci,Reita,14,pq7qgc,12,59733,1,0,228,0,True,0
188640.320026864,fptrlrandoci,Reita,14,pq7qgc,12,59733,2,100,0,0,True,0
188641.021113253,fptrlrandoci,Reita,14,qx3a2t,41,3470,1,0,0,228,True,0
188642.30757277,fptrlrandoci,Reita,14,pq7qgc,12,34497,1,0,228,0,True,0
188642.680656482,fptrlrandoci,Reita,14,pq7qgc,12,34497,2,100,0,0,True,0
188643.720199639,fptrlrandoci,Reita,14,pq7qgc,12,61454,1,0,228,0,True,0
188644.093577467,fptrlrandoci,Reita,14,pq7qgc,12,61454,2,100,0,0,True,0
188655.9008181,fptrlrandoci,Reita,16,eaatme,47,39543,1,0,228,0,True,0
188656.267107494,fptrlrandoci,Reita,16,eaatme,47,39543,2,100,0,0,True,0
188657.148242801,fptrlrandoci,Reita,16,eaatme,62,29398,1,0,228,0,True,0
188657.512919155,fptrlrandoci,Reita,16,eaatme,62,29398,2,100,0,0,True,0
188666.092969208,fptrlrandoci,Reita,17,pq7qgc,12,65501,1,0,228,0,True,0
188666.465317928,fptrlrandoci,Reita,17,pq7qgc,12,65501,2,100,0,0,True,0
188667.320291404,fptrlrandoci,Reita,17,eaatme,8,12051,1,0,228,0,True,0
188667.6947339,fptrlrandoci,Reita,17,eaatme,8,12051,2,100,0,0,True,0
188668.124932729,fptrlrandoci,Reita,17,eaatme,20,22583,1,0,228,0,True,0
188668.524129422,fptrlrandoci,Reita,17,eaatme,20,22583,2,100,0,0,True,0
188669.352525654,fptrlrandoci,Reita,17,qx3a2t,41,32317,2,0,0,100,True,0
188669.513697199,fptrlrandoci,Reita,17,eaatme,8,42819,1,0,228,0,True,0
188669.882774932,fptrlrandoci,Reita,17,eaatme,8,42819,2,100,0,0,True,0
188672.538776867,fptrlrandoci,Reita,17,qx3a2t,33,16103,2,0,0,100,True,0
188674.824249263,fptrlrandoci,Reita,18,eaatme,8,19645,1,0,228,0,True,0
188675.232227555,fptrlrandoci,Reita,18,eaatme,8,19645,2,100,0,0,True,0
188713.437807295,fptrlrandoci,Reita,21,zndpz5,64,11649,2,0,100,0,True,0
188714.937309447,fptrlrandoci,Reita,22,zndpz5,48,18213,2,0,100,0,True,0
188724.314651189,fptrlrandoci,Reita,22,zndpz5,2,54058,2,0,100,0,True,0
188729.255703327,fptrlrandoci,Reita,23,zndpz5,9,45420,2,0,100,0,True,0
188737.806339227,fptrlrandoci,Reita,24,zndpz5,46,9750,2,0,100,0,True,0
188821.817606637,fptrlrandoci,Reita,32,zndpz5,63,48799,2,0,100,0,True,0
188828.12176452,fptrlrandoci,Reita,33,zndpz5,58,30323,2,0,100,0,True,0
