t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188503.192621547,gjmaqzwio1e3,Garnett,0,zndpz5,31,25787,1,0,0,228,True,0
188504.871910165,gjmaqzwio1e3,Garnett,1,zndpz5,67,15256,2,0,0,100,True,0
188506.391110414,gjmaqzwio1e3,Garnett,1,zndpz5,8,50400,1,0,0,228,True,1
188506.766260534,gjmaqzwio1e3,Garnett,1,3nnais,68,6586,2,0,0,100,True,0
188507.768269736,gjmaqzwio1e3,Garnett,1,zndpz5,5,27745,2,0,0,100,True,1
188508.138011596,gjmaqzwio1e3,Garnett,1,3nnais,48,33936,2,0,0,100,True,0
188511.317000387,gjmaqzwio1e3,Garnett,1,3nnais,10,4118,1,0,0,228,True,1
188512.000490784,gjmaqzwio1e3,Garnett,1,3nnais,2,52257,1,0,0,228,True,0
188514.612554973,gjmaqzwio1e3,Garnett,1,3nnais,60,45466,2,0,0,100,True,0
188539.64683861,gjmaqzwio1e3,Garnett,4,3nnais,20,64683,2,0,0,100,True,0
188542.654021097,gjmaqzwio1e3,Garnett,4,3nnais,29,61670,1,0,0,228,True,0
188607.712474024,gjmaqzwio1e3,Garnett,11,zndpz5,74,13961,1,0,0,228,True,0
188613.643774823,gjmaqzwio1e3,Garnett,11,zndpz5,78,14363,2,0,0,100,True,0
188626.13817326,gjmaqzwio1e3,Garnett,13,3nnais,63,18191,2,0,0,100,True,0
188629.472355173,gjmaqzwio1e3,Garnett,13,3nnais,64,7753,2,0,0,100,True,0
188631.427822329,gjmaqzwio1e3,Garnett,13,3nnais,73,19654,2,0,0,100,True,0
188651.480627574,gjmaqzwio1e3,Garnett,15,3nnais,46,43614,1,0,0,228,True,0
188653.341597637,gjmaqzwio1e3,Garnett,15,3nnais,65,33326,1,0,0,228,True,0
188654.082061964,gjmaqzwio1e3,Garnett,15,3nnais,38,23783,2,0,0,100,True,0
188655.21538784,gjmaqzwio1e3,Garnett,15,3nnais,32,13711,2,0,0,100,True,0
188657.601639975,gjmaqzwio1e3,Garnett,16,3nnais,6,18841,1,0,0,228,True,0
188717.295484747,gjmaqzwio1e3,Garnett,22,zndpz5,51,58558,2,0,0,100,True,1
188717.660701225,gjmaqzwio1e3,Garnett,22,3nnais,12,2383,2,0,0,100,True,0
188718.974943738,gjmaqzwio1e3,Garnett,22,zndpz5,69,55219,1,0,0,228,True,1
188719.335669137,gjmaqzwio1e3,Garnett,22,3nnais,12,44231,2,0,0,100,True,0
188720.699563867,gjmaqzwio1e3,Garnett,22,zndpz5,49,52230,1,0,0,228,True,0
188721.82259367,gjmaqzwio1e3,Garnett,22,zndpz5,49,52230,2,0,0,100,True,2
188722.541539787,gjmaqzwio1e3,Garnett,22,zndpz5,55,65159,1,0,0,228,True,1
188722.915489613,gjmaqzwio1e3,Garnett,22,zndpz5,2,54058,2,0,0,100,True,0
188723.932302978,gjmaqzwio1e3,Garnett,22,zndpz5,7,40225,1,0,0,228,True,0
188724.695257244,gjmaqzwio1e3,Garnett,22,zndpz5,7,40225,2,0,0,100,True,0
