t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188502.456888173,h2wrpkjh5qqy,Athena,0,qxpuuk,35,40553,1,0,0,228,True,0
188503.917578258,h2wrpkjh5qqy,Athena,0,qxpuuk,47,15942,1,0,0,228,True,1
188504.711880334,h2wrpkjh5qqy,Athena,1,qx3a2t,1,2927,1,0,0,228,True,0
188505.602764962,h2wrpkjh5qqy,Athena,1,qx3a2t,1,2927,2,0,0,100,True,0
188507.052833803,h2wrpkjh5qqy,Athena,1,qxpuuk,47,15942,2,0,0,100,True,0
188507.77301638,h2wrpkjh5qqy,Athena,1,qx3a2t,31,32312,2,0,0,100,True,0
188508.511192627,h2wrpkjh5qqy,Athena,1,qxpuuk,21,1384,2,0,0,100,True,0
188509.678902592,h2wrpkjh5qqy,Athena,1,wd3mw4,43,26490,1,0,0,228,True,0
188510.410913372,h2wrpkjh5qqy,Athena,1,wd3mw4,43,26490,2,0,0,100,True,1
188511.117826427,h2wrpkjh5qqy,Athena,1,qxpuuk,41,62195,1,0,0,228,True,0
188512.302837065,h2wrpkjh5qqy,Athena,1,qx3a2t,50,581,1,0,0,228,True,0
188513.740557008,h2wrpkjh5qqy,Athena,1,qx3a2t,16,62076,2,0,0,100,True,0
188514.133480989,h2wrpkjh5qqy,Athena,1,qxpuuk,14,61926,2,0,0,100,True,0
188525.732467571,h2wrpkjh5qqy,Athena,3,qx3a2t,19,35480,2,0,0,100,True,1
188526.449269089,h2wrpkjh5qqy,Athena,3,qxpuuk,17,50266,1,0,0,228,True,1
188526.822917133,h2wrpkjh5qqy,Athena,3,qxpuuk,43,56588,2,0,0,100,True,2
188527.517634045,h2wrpkjh5qqy,Athena,3,qx3a2t,66,4254,1,0,0,228,True,2
188527.886192963,h2wrpkjh5qqy,Athena,3,qxpuuk,12,32868,2,0,0,100,True,1
188528.244961322,h2wrpkjh5qqy,Athena,3,qxpuuk,11,26271,2,0,0,100,True,2
188528.609294038,h2wrpkjh5qqy,Athena,3,qx3a2t,3,13763,2,0,0,100,True,1
188529.316994912,h2wrpkjh5qqy,Athena,3,qx3a2t,51,30764,1,0,0,228,True,1
188529.999758952,h2wrpkjh5qqy,Athena,3,qxpuuk,5,27298,1,0,0,228,True,2
188530.372056354,h2wrpkjh5qqy,Athena,3,qxpuuk,56,26934,2,0,0,100,True,1
188530.751295817,h2wrpkjh5qqy,Athena,3,qx3a2t,51,30764,2,0,0,100,True,1
188531.116627346,h2wrpkjh5qqy,Athena,3,qxpuuk,5,27298,2,0,0,100,True,0
