t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188503.116766936,jopj3ly2p9ph,Athena,0,z8cxhh,41,63642,1,0,0,228,True,0
188515.337409084,jopj3ly2p9ph,Athena,2,3nnais,58,21432,1,0,0,228,True,0
188516.74561673,jopj3ly2p9ph,Athena,2,z8cxhh,30,55185,1,0,0,228,True,0
188517.479577758,jopj3ly2p9ph,Athena,2,z8cxhh,2,40418,1,0,0,228,True,0
188518.195508875,jopj3ly2p9ph,Athena,2,z8cxhh,62,28953,1,0,0,228,True,0
188520.738257023,jopj3ly2p9ph,Athena,2,z8cxhh,35,51638,1,0,0,228,True,0
188522.406977588,jopj3ly2p9ph,Athena,2,z8cxhh,73,43276,1,0,0,228,True,0
188523.118909526,jopj3ly2p9ph,Athena,2,z8cxhh,11,65340,1,0,0,228,True,3
188523.825418871,jopj3ly2p9ph,Athena,2,z8cxhh,14,35633,1,0,0,228,True,3
188524.221396246,jopj3ly2p9ph,Athena,2,z8cxhh,35,51638,2,0,0,100,True,4
188524.921705307,jopj3ly2p9ph,Athena,3,z8cxhh,11,65340,1,0,0,228,True,3
188525.31371428,jopj3ly2p9ph,Athena,3,z8cxhh,2,40418,2,0,0,100,True,2
188526.009318243,jopj3ly2p9ph,Athena,3,z8cxhh,43,7635,1,0,0,228,True,1
188526.406911094,jopj3ly2p9ph,Athena,3,z8cxhh,7,29711,2,0,0,100,True,0
188527.484137033,jopj3ly2p9ph,Athena,3,z8cxhh,57,23031,2,0,0,100,True,1
188527.858363681,jopj3ly2p9ph,Athena,3,z8cxhh,11,65340,2,0,0,100,True,0
188528.852654686,jopj3ly2p9ph,Athena,3,z8cxhh,43,7635,2,0,0,100,True,0
188530.04425318,jopj3ly2p9ph,Athena,3,z8cxhh,3,46552,2,0,0,100,True,1
188530.414101073,jopj3ly2p9ph,Athena,3,z8cxhh,3,46552,2,0,0,100,True,0
188535.877467351,jopj3ly2p9ph,Athena,4,z8cxhh,27,62649,1,0,0,228,True,0
188538.908460703,jopj3ly2p9ph,Athena,4,z8cxhh,27,62649,2,0,0,100,True,1
