t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188501.008573334,kulfcwx370yp,Reita,0,eaatme,40,48588,1,0,228,0,True,0
188501.377335141,kulfcwx370yp,Reita,0,eaatme,40,48588,2,100,0,0,True,0
188504.862476142,kulfcwx370yp,Reita,1,wd3mw4,76,37228,2,0,0,100,True,0
188566.052782949,kulfcwx370yp,Reita,7,eaatme,48,28332,2,0,0,100,True,0
188572.771100216,kulfcwx370yp,Reita,7,wd3mw4,12,16248,1,0,0,228,True,1
188572.776569384,kulfcwx370yp,Reita,7,eaatme,35,6528,1,0,228,0,True,0
188573.153670979,kulfcwx370yp,Reita,7,eaatme,35,6528,2,100,0,0,True,0
188573.524790567,kulfcwx370yp,Reita,7,wd3mw4,12,16248,2,0,0,100,True,0
188573.990039567,kulfcwx370yp,Reita,7,wd3mw4,58,21016,2,0,0,100,True,0
188576.191087366,kulfcwx370yp,Reita,8,eaatme,5,42499,1,0,228,0,True,0
188576.575276092,kulfcwx370yp,Reita,8,eaatme,5,42499,2,100,0,0,True,0
188577.332017747,kulfcwx370yp,Reita,8,eaatme,5,42499,2,0,0,100,True,0
188577.574971863,kulfcwx370yp,Reita,8,eaatme,10,56223,1,0,228,0,True,0
188577.967427976,kulfcwx370yp,Reita,8,eaatme,10,56223,2,100,0,0,True,1
188577.972942803,kulfcwx370yp,Reita,8,pq7qgc,68,47123,1,0,228,0,True,0
188578.339422547,kulfcwx370yp,Reita,8,pq7qgc,68,47123,2,100,0,0,True,0
188579.145985202,kulfcwx370yp,Reita,8,wd3mw4,60,61112,2,0,0,100,True,0
188580.464829164,kulfcwx370yp,Reita,8,eaatme,55,51647,2,0,0,100,True,4
188580.471520423,kulfcwx370yp,Reita,8,eaatme,4,50675,1,0,228,0,True,3
188580.855634995,kulfcwx370yp,Reita,8,eaatme,4,50675,2,100,0,0,True,3
188581.216173326,kulfcwx370yp,Reita,8,eaatme,0,9260,2,0,0,100,True,3
188581.220988205,kulfcwx370yp,Reita,8,pq7qgc,61,10499,1,0,228,0,True,2
188581.590302728,kulfcwx370yp,Reita,8,pq7qgc,61,10499,2,100,0,0,True,2
188581.96716895,kulfcwx370yp,Reita,8,eaatme,10,56223,2,0,0,100,True,1
188582.341318081,kulfcwx370yp,Reita,8,eaatme,0,9260,2,0,0,100,True,0
188583.415497602,kulfcwx370yp,Reita,8,eaatme,3,9743,2,0,0,100,True,0
188583.553868365,kulfcwx370yp,Reita,8,eaatme,37,5604,1,0,228,0,True,1
188583.928639547,kulfcwx370yp,Reita,8,eaatme,37,5604,2,100,0,0,True,1
188583.933257314,kulfcwx370yp,Reita,8,eaatme,6,23067,1,0,228,0,True,0
188584.30352968,kulfcwx370yp,Reita,8,eaatme,6,23067,2,100,0,0,True,0
188717.282928586,kulfcwx370yp,Reita,22,zndpz5,29,23580,2,0,100,0,True,0
188718.046697775,kulfcwx370yp,Reita,22,zndpz5,51,58558,2,0,100,0,True,0
188720.079861134,kulfcwx370yp,Reita,22,zndpz5,77,8669,2,0,100,0,True,0
188721.485270791,kulfcwx370yp,Reita,22,zndpz5,17,55241,2,0,100,0,True,0
