t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188503.850187657,nncjucc4ff6r,Randolph,0,wd3mw4,68,21429,1,0,0,228,True,0
188505.443501379,nncjucc4ff6r,Randolph,1,wd3mw4,34,4632,1,0,0,228,True,1
188515.499508262,nncjucc4ff6r,Randolph,2,pq7qgc,13,46197,1,0,0,228,True,0
188516.259417369,nncjucc4ff6r,Randolph,2,wd3mw4,73,19122,1,0,0,228,True,0
188517.462943821,nncjucc4ff6r,Randolph,2,qx3a2t,53,1385,2,0,0,100,True,0
188519.072564249,nncjucc4ff6r,Randolph,2,eaatme,9,64689,1,0,0,228,True,1
188519.752104588,nncjucc4ff6r,Randolph,2,pq7qgc,8,52446,1,0,0,228,True,0
188520.776634806,nncjucc4ff6r,Randolph,2,qx3a2t,7,10040,2,0,0,100,True,1
188521.466446322,nncjucc4ff6r,Randolph,2,pq7qgc,57,3636,1,0,0,228,True,2
188522.175867528,nncjucc4ff6r,Randolph,2,eaatme,49,32684,1,0,0,228,True,1
188522.561628524,nncjucc4ff6r,Randolph,2,eaatme,7,45783,2,0,0,100,True,0
188523.692753596,nncjucc4ff6r,Randolph,2,pq7qgc,6,1431,1,0,0,228,True,1
188524.395773134,nncjucc4ff6r,Randolph,2,qx3a2t,24,52249,1,0,0,228,True,1
188524.844205678,nncjucc4ff6r,Randolph,2,wd3mw4,25,57265,2,0,0,100,True,1
188525.539305352,nncjucc4ff6r,Randolph,3,eaatme,74,59764,1,0,0,228,True,1
188535.294410093,nncjucc4ff6r,Randolph,4,wd3mw4,37,13871,2,0,0,100,True,0
188536.432968523,nncjucc4ff6r,Randolph,4,pq7qgc,20,33881,1,0,0,228,True,0
188538.195918187,nncjucc4ff6r,Randolph,4,pq7qgc,14,31284,1,0,0,228,True,1
188538.884395678,nncjucc4ff6r,Randolph,4,qx3a2t,49,60481,1,0,0,228,True,2
188539.254263165,nncjucc4ff6r,Randolph,4,pq7qgc,73,4654,2,0,0,100,True,2
188539.949002523,nncjucc4ff6r,Randolph,4,pq7qgc,15,52700,1,0,0,228,True,1
188540.667455369,nncjucc4ff6r,Randolph,4,wd3mw4,71,5413,1,0,0,228,True,0
188555.722658897,nncjucc4ff6r,Randolph,6,wd3mw4,16,2081,1,0,0,228,True,1
188556.089796373,nncjucc4ff6r,Randolph,6,pq7qgc,48,39732,2,0,0,100,True,1
188556.783627351,nncjucc4ff6r,Randolph,6,pq7qgc,2,14235,1,0,0,228,True,0
188558.645961647,nncjucc4ff6r,Randolph,6,eaatme,33,21802,2,0,0,100,True,1
188559.333843518,nncjucc4ff6r,Randolph,6,pq7qgc,60,51504,1,0,0,228,True,0
188559.994967019,nncjucc4ff6r,Randolph,6,eaatme,38,60393,2,0,0,100,True,0
188562.310776223,nncjucc4ff6r,Randolph,6,eaatme,28,52132,1,0,0,228,True,0
188563.836925371,nncjucc4ff6r,Randolph,6,eaatme,48,28332,1,0,0,228,True,0
188565.351131447,nncjucc4ff6r,Randolph,7,pq7qgc,41,12202,1,0,0,228,True,0
188576.966238208,nncjucc4ff6r,Randolph,8,eaatme,5,42499,2,0,0,100,True,1
188577.327287669,nncjucc4ff6r,Randolph,8,wd3mw4,17,28127,2,0,0,100,True,0
188577.709898471,nncjucc4ff6r,Randolph,8,wd3mw4,59,8637,2,0,0,100,True,0
188579.371174435,nncjucc4ff6r,Randolph,8,eaatme,0,9260,1,0,0,228,True,0
188580.202261664,nncjucc4ff6r,Randolph,8,wd3mw4,60,61112,2,0,0,100,True,0
188582.210856147,nncjucc4ff6r,Randolph,8,eaatme,3,9743,1,0,0,228,True,0
188583.040473837,nncjucc4ff6r,Randolph,8,pq7qgc,61,10499,2,0,0,100,True,1
188583.410805247,nncjucc4ff6r,Randolph,8,qx3a2t,44,65151,2,0,0,100,True,0
188584.30884471,nncjucc4ff6r,Randolph,8,eaatme,37,5604,2,0,0,100,True,2
188584.678732764,nncjucc4ff6r,Randolph,8,qx3a2t,54,16930,2,0,0,100,True,1
188585.065583721,nncjucc4ff6r,Randolph,8,wd3mw4,53,51830,2,0,0,100,True,0
188595.838558499,nncjucc4ff6r,Randolph,10,wd3mw4,66,7542,1,0,0,228,True,0
188596.810785804,nncjucc4ff6r,Randolph,10,pq7qgc,34,45174,1,0,0,228,True,1
188597.177935956,nncjucc4ff6r,Randolph,10,pq7qgc,63,15399,2,0,0,100,True,1
188597.891985263,nncjucc4ff6r,Randolph,10,zndpz5,61,33565,1,0,0,228,True,1
188598.594253294,nncjucc4ff6r,Randolph,10,zndpz5,60,29657,1,0,0,228,True,3
188599.278283713,nncjucc4ff6r,Randolph,10,wd3mw4,31,36722,1,0,0,228,True,5
188599.9832726,nncjucc4ff6r,Randolph,10,qx3a2t,4,29360,1,0,0,228,True,5
188600.687223167,nncjucc4ff6r,Randolph,10,eaatme,75,12222,1,0,0,228,True,4
188601.40857853,nncjucc4ff6r,Randolph,10,pq7qgc,12,46038,1,0,0,228,True,7
188602.112044692,nncjucc4ff6r,Randolph,10,qx3a2t,20,57911,1,0,0,228,True,8
188602.52561666,nncjucc4ff6r,Randolph,10,pq7qgc,69,43019,2,0,0,100,True,9
188603.209968374,nncjucc4ff6r,Randolph,10,wd3mw4,77,20884,1,0,0,228,True,10
188603.573504562,nncjucc4ff6r,Randolph,10,pq7qgc,69,62457,2,0,0,100,True,9
188603.945290451,nncjucc4ff6r,Randolph,10,eaatme,75,12222,2,0,0,100,True,9
188604.662327305,nncjucc4ff6r,Randolph,10,wd3mw4,54,43934,1,0,0,228,True,8
188605.381198086,nncjucc4ff6r,Randolph,11,zndpz5,78,14363,1,0,0,228,True,7
188606.132432643,nncjucc4ff6r,Randolph,11,qx3a2t,0,42744,1,0,0,228,True,8
188606.516229053,nncjucc4ff6r,Randolph,11,wd3mw4,31,36722,2,0,0,100,True,7
188607.205411998,nncjucc4ff6r,Randolph,11,pq7qgc,19,1439,1,0,0,228,True,7
188607.926687315,nncjucc4ff6r,Randolph,11,zndpz5,54,62610,1,0,0,228,True,7
188608.617147017,nncjucc4ff6r,Randolph,11,wd3mw4,1,12494,1,0,0,228,True,7
188609.322461062,nncjucc4ff6r,Randolph,11,pq7qgc,69,53331,1,0,0,228,True,7
188610.001489836,nncjucc4ff6r,Randolph,11,qx3a2t,68,56725,1,0,0,228,True,7
188610.709045994,nncjucc4ff6r,Randolph,11,qx3a2t,78,51747,1,0,0,228,True,6
188611.412858901,nncjucc4ff6r,Randolph,11,eaatme,65,46712,1,0,0,228,True,5
188612.121831833,nncjucc4ff6r,Randolph,11,pq7qgc,56,56926,1,0,0,228,True,5
188612.487418293,nncjucc4ff6r,Randolph,11,eaatme,61,34460,2,0,0,100,True,4
