t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188506.220027872,uzo9hdtb04l2,Reita,1,pq7qgc,25,19250,1,0,228,0,True,0
188506.623028,uzo9hdtb04l2,Reita,1,pq7qgc,25,19250,2,100,0,0,True,0
188511.200669766,uzo9hdtb04l2,Reita,1,pq7qgc,58,43873,1,0,228,0,True,0
188511.571879085,uzo9hdtb04l2,Reita,1,pq7qgc,58,43873,2,100,0,0,True,0
188516.881359448,uzo9hdtb04l2,Reita,2,pq7qgc,72,16186,1,0,228,0,True,0
188517.250519253,uzo9hdtb04l2,Reita,2,pq7qgc,72,16186,2,100,0,0,True,0
188519.5982767,uzo9hdtb04l2,Reita,2,pq7qgc,47,42644,1,0,228,0,True,0
188519.975255211,uzo9hdtb04l2,Reita,2,pq7qgc,47,42644,2,100,0,0,True,0
188520.451705808,uzo9hdtb04l2,Reita,2,pq7qgc,8,52446,1,0,228,0,True,0
188520.830255229,uzo9hdtb04l2,Reita,2,pq7qgc,8,52446,2,100,0,0,True,0
188520.85475548,uzo9hdtb04l2,Reita,2,eaatme,7,45783,1,0,228,0,True,0
188521.227392858,uzo9hdtb04l2,Reita,2,eaatme,7,45783,2,100,0,0,True,0
188522.204468355,uzo9hdtb04l2,Reita,2,eaatme,49,32684,1,0,228,0,True,1
188522.581088078,uzo9hdtb04l2,Reita,2,eaatme,49,32684,2,100,0,0,True,1
188522.588402407,uzo9hdtb04l2,Reita,2,pq7qgc,57,3636,1,0,228,0,True,0
188523.006213337,uzo9hdtb04l2,Reita,2,pq7qgc,57,3636,2,100,0,0,True,0
188526.319341179,uzo9hdtb04l2,Reita,3,eaatme,42,19709,1,0,228,0,True,0
188526.736402822,uzo9hdtb04l2,Reita,3,eaatme,42,19709,2,100,0,0,True,0
188527.463380704,uzo9hdtb04l2,Reita,3,pq7qgc,70,51962,1,0,228,0,True,0
188527.827693044,uzo9hdtb04l2,Reita,3,pq7qgc,70,51962,2,100,0,0,True,1
188527.832588661,uzo9hdtb04l2,Reita,3,pq7qgc,29,60293,1,0,228,0,True,0
188528.211845861,uzo9hdtb04l2,Reita,3,pq7qgc,29,60293,2,100,0,0,True,0
188530.637157822,uzo9hdtb04l2,Reita,3,pq7qgc,62,54212,1,0,228,0,True,0
188531.006034908,uzo9hdtb04l2,Reita,3,pq7qgc,62,54212,2,100,0,0,True,0
188537.788241648,uzo9hdtb04l2,Reita,4,pq7qgc,4,29754,1,0,228,0,True,0
188538.158909917,uzo9hdtb04l2,Reita,4,pq7qgc,4,29754,2,100,0,0,True,0
188540.727981612,uzo9hdtb04l2,Reita,4,pq7qgc,15,52700,1,0,228,0,True,0
188541.099489853,uzo9hdtb04l2,Reita,4,pq7qgc,15,52700,2,100,0,0,True,0
188541.411484057,uzo9hdtb04l2,Reita,4,pq7qgc,75,45518,1,0,228,0,True,0
188541.781859188,uzo9hdtb04l2,Reita,4,pq7qgc,75,45518,2,100,0,0,True,0
188542.030792061,uzo9hdtb04l2,Reita,4,eaatme,31,29323,1,0,228,0,True,0
188542.41316858,uzo9hdtb04l2,Reita,4,eaatme,31,29323,2,100,0,0,True,0
188544.992917631,uzo9hdtb04l2,Reita,5,pq7qgc,43,32288,1,0,228,0,True,0
188545.357307585,uzo9hdtb04l2,Reita,5,pq7qgc,43,32288,2,100,0,0,True,0
188550.149520048,uzo9hdtb04l2,Reita,5,pq7qgc,30,7802,1,0,228,0,True,0
188550.515088338,uzo9hdtb04l2,Reita,5,pq7qgc,30,7802,2,100,0,0,True,0
188553.370965056,uzo9hdtb04l2,Reita,5,pq7qgc,18,49528,1,0,228,0,True,0
188553.73762817,uzo9hdtb04l2,Reita,5,pq7qgc,18,49528,2,100,0,0,True,0
188559.227859821,uzo9hdtb04l2,Reita,6,eaatme,38,60393,1,0,228,0,True,0
188559.62488079,uzo9hdtb04l2,Reita,6,eaatme,38,60393,2,100,0,0,True,0
188562.318224089,uzo9hdtb04l2,Reita,6,eaatme,28,52132,1,0,228,0,True,0
188562.720756684,uzo9hdtb04l2,Reita,6,eaatme,28,52132,2,100,0,0,True,0
188564.211109122,uzo9hdtb04l2,Reita,6,pq7qgc,71,29239,1,0,228,0,True,0
188564.584889242,uzo9hdtb04l2,Reita,7,pq7qgc,71,29239,2,100,0,0,True,0
188567.591008825,uzo9hdtb04l2,Reita,7,pq7qgc,3,65442,1,0,228,0,True,0
188567.988256637,uzo9hdtb04l2,Reita,7,pq7qgc,3,65442,2,100,0,0,True,0
188568.555521242,uzo9hdtb04l2,Reita,7,pq7qgc,10,57770,1,0,228,0,True,0
188568.931876534,uzo9hdtb04l2,Reita,7,pq7qgc,10,57770,2,100,0,0,True,0
188569.17963642,uzo9hdtb04l2,Reita,7,pq7qgc,11,12156,1,0,228,0,True,0
188569.58077772,uzo9hdtb04l2,Reita,7,pq7qgc,11,12156,2,100,0,0,True,0
188570.751291034,uzo9hdtb04l2,Reita,7,eaatme,57,5010,1,0,228,0,True,0
188571.138225614,uzo9hdtb04l2,Reita,7,eaatme,57,5010,2,100,0,0,True,0
188572.912751675,uzo9hdtb04l2,Reita,7,pq7qgc,76,42832,1,0,228,0,True,0
188573.287682254,uzo9hdtb04l2,Reita,7,pq7qgc,76,42832,2,100,0,0,True,0
