t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188504.688261111,yraigdpd22ja,Beatriz,1,py5iu9,50,38069,1,0,0,228,True,0
188525.056959175,yraigdpd22ja,Beatriz,3,eaatme,7,45783,2,0,100,0,True,0
188528.135801244,yraigdpd22ja,Beatriz,3,py5iu9,8,304,1,0,0,228,True,0
188529.275160745,yraigdpd22ja,Beatriz,3,eaatme,42,19709,2,0,100,0,True,0
188531.755399511,yraigdpd22ja,Beatriz,3,cdqvuo,56,39672,2,0,100,0,True,0
188534.455699469,yraigdpd22ja,Beatriz,3,py5iu9,78,49072,2,0,0,100,True,0
188536.153115373,yraigdpd22ja,Beatriz,4,py5iu9,25,30941,1,0,0,228,True,1
188536.159902472,yraigdpd22ja,Beatriz,4,eaatme,60,14523,2,0,100,0,True,0
188542.353057943,yraigdpd22ja,Beatriz,4,cdqvuo,60,29264,2,0,100,0,True,0
188546.001446438,yraigdpd22ja,Beatriz,5,py5iu9,60,55725,1,0,0,228,True,0
188547.027913437,yraigdpd22ja,Beatriz,5,py5iu9,48,53602,1,0,0,228,True,0
188548.503097315,yraigdpd22ja,Beatriz,5,py5iu9,61,25823,2,0,0,100,True,0
188549.196919806,yraigdpd22ja,Beatriz,5,py5iu9,56,56254,2,0,0,100,True,0
188551.126829936,yraigdpd22ja,Beatriz,5,py5iu9,29,16381,2,0,0,100,True,0
188551.657129855,yraigdpd22ja,Beatriz,5,cdqvuo,65,11786,2,0,100,0,True,0
188555.641799223,yraigdpd22ja,Beatriz,6,py5iu9,31,9658,2,0,0,100,True,0
188558.464162743,yraigdpd22ja,Beatriz,6,cdqvuo,21,22820,2,0,100,0,True,0
188560.765439956,yraigdpd22ja,Beatriz,6,eaatme,38,60393,2,0,100,0,True,0
188562.389462581,yraigdpd22ja,Beatriz,6,cdqvuo,74,57936,2,0,100,0,True,0
188565.954070464,yraigdpd22ja,Beatriz,7,cdqvuo,25,14933,2,0,100,0,True,0
188567.788075005,yraigdpd22ja,Beatriz,7,py5iu9,74,57252,1,0,0,228,True,0
188568.093595838,yraigdpd22ja,Beatriz,7,cdqvuo,13,48424,2,0,100,0,True,0
188571.189584195,yraigdpd22ja,Beatriz,7,py5iu9,73,19211,2,0,0,100,True,0
188572.794609976,yraigdpd22ja,Beatriz,7,py5iu9,66,24515,1,0,0,228,True,0
188574.602947757,yraigdpd22ja,Beatriz,7,py5iu9,76,32899,1,0,0,228,True,0
188575.115337944,yraigdpd22ja,Beatriz,8,eaatme,57,5010,2,0,100,0,True,0
188576.092151931,yraigdpd22ja,Beatriz,8,py5iu9,64,5299,1,0,0,228,True,0
188576.152428815,yraigdpd22ja,Beatriz,8,eaatme,35,6528,2,0,100,0,True,0
188576.915018975,yraigdpd22ja,Beatriz,8,py5iu9,64,5299,2,0,0,100,True,0
188577.918374204,yraigdpd22ja,Beatriz,8,eaatme,5,42499,2,0,100,0,True,0
188580.116483963,yraigdpd22ja,Beatriz,8,py5iu9,33,29577,1,0,0,228,True,0
188610.184383513,yraigdpd22ja,Beatriz,11,py5iu9,72,19280,1,0,0,228,True,1
188610.54878994,yraigdpd22ja,Beatriz,11,py5iu9,27,47251,2,0,0,100,True,0
188612.492482264,yraigdpd22ja,Beatriz,11,py5iu9,37,30226,1,0,0,228,True,0
188635.578557809,yraigdpd22ja,Beatriz,14,eaatme,14,12316,2,0,100,0,True,0
188635.624522691,yraigdpd22ja,Beatriz,14,cdqvuo,35,31592,2,0,100,0,True,0
188636.469464096,yraigdpd22ja,Beatriz,14,eaatme,29,28906,2,0,100,0,True,0
188638.088520828,yraigdpd22ja,Beatriz,14,py5iu9,2,25528,1,0,0,228,True,0
188642.584453358,yraigdpd22ja,Beatriz,14,cdqvuo,18,5254,2,0,100,0,True,0
188642.647783933,yraigdpd22ja,Beatriz,14,eaatme,71,559,2,0,100,0,True,0
188647.289572573,yraigdpd22ja,Beatriz,15,py5iu9,42,29384,2,0,0,100,True,0
188648.140864275,yraigdpd22ja,Beatriz,15,eaatme,69,59722,2,0,100,0,True,0
188648.956522529,yraigdpd22ja,Beatriz,15,py5iu9,47,62793,1,0,0,228,True,0
188649.72848405,yraigdpd22ja,Beatriz,15,py5iu9,47,20779,1,0,0,228,True,0
188653.316898652,yraigdpd22ja,Beatriz,15,py5iu9,42,47523,2,0,0,100,True,0
188654.097636966,yraigdpd22ja,Beatriz,15,py5iu9,17,22017,2,0,0,100,True,0
188658.362793227,yraigdpd22ja,Beatriz,16,py5iu9,17,15574,1,0,0,228,True,0
188659.006156405,yraigdpd22ja,Beatriz,16,py5iu9,17,46794,2,0,0,100,True,1
188659.384161982,yraigdpd22ja,Beatriz,16,py5iu9,17,15574,2,0,0,100,True,0
