t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
188508.874127702,z9ya3gfm3otx,Brande,1,py5iu9,45,34693,1,0,228,0,True,0
188509.24357685,z9ya3gfm3otx,Brande,1,py5iu9,45,34693,2,100,0,0,True,0
188522.630377029,z9ya3gfm3otx,Brande,2,py5iu9,52,9489,1,0,228,0,True,0
188523.018471013,z9ya3gfm3otx,Brande,2,py5iu9,52,9489,2,100,0,0,True,0
188528.141205205,z9ya3gfm3otx,Brande,3,py5iu9,8,304,1,0,228,0,True,0
188528.510894487,z9ya3gfm3otx,Brande,3,py5iu9,8,304,2,100,0,0,True,0
188534.71153189,z9ya3gfm3otx,Brande,3,py5iu9,30,41825,1,0,228,0,True,0
188535.136011005,z9ya3gfm3otx,Brande,4,py5iu9,30,41825,2,100,0,0,True,0
188546.006756464,z9ya3gfm3otx,Brande,5,py5iu9,60,55725,1,0,228,0,True,0
188546.370982932,z9ya3gfm3otx,Brande,5,py5iu9,60,55725,2,100,0,0,True,0
188547.746922993,z9ya3gfm3otx,Brande,5,py5iu9,61,25823,1,0,228,0,True,0
188548.13101633,z9ya3gfm3otx,Brande,5,py5iu9,61,25823,2,100,0,0,True,0
188548.456350345,z9ya3gfm3otx,Brande,5,py5iu9,56,56254,1,0,228,0,True,0
188548.821904586,z9ya3gfm3otx,Brande,5,py5iu9,56,56254,2,100,0,0,True,0
188560.219310118,z9ya3gfm3otx,Brande,6,py5iu9,5,47313,1,0,228,0,True,0
188560.605860876,z9ya3gfm3otx,Brande,6,py5iu9,5,47313,2,100,0,0,True,0
188576.102095451,z9ya3gfm3otx,Brande,8,py5iu9,64,5299,1,0,228,0,True,0
188576.527941241,z9ya3gfm3otx,Brande,8,py5iu9,64,5299,2,100,0,0,True,0
188593.810769309,z9ya3gfm3otx,Brande,9,py5iu9,79,62278,1,0,228,0,True,0
188594.190319918,z9ya3gfm3otx,Brande,9,py5iu9,79,62278,2,100,0,0,True,0
188599.108076109,z9ya3gfm3otx,Brande,10,py5iu9,11,5428,1,0,228,0,True,0
188599.48702945,z9ya3gfm3otx,Brande,10,py5iu9,11,5428,2,100,0,0,True,0
188616.33145147,z9ya3gfm3otx,Brande,12,py5iu9,3,46525,1,0,228,0,True,0
188616.702235934,z9ya3gfm3otx,Brande,12,py5iu9,3,46525,2,100,0,0,True,0
188619.170948054,z9ya3gfm3otx,Brande,12,py5iu9,15,16952,1,0,228,0,True,0
188619.544205776,z9ya3gfm3otx,Brande,12,py5iu9,15,16952,2,100,0,0,True,0
188620.955617691,z9ya3gfm3otx,Brande,12,py5iu9,28,43432,1,0,228,0,True,0
188621.329756075,z9ya3gfm3otx,Brande,12,py5iu9,28,43432,2,100,0,0,True,0
188622.008505829,z9ya3gfm3otx,Brande,12,py5iu9,46,8217,1,0,228,0,True,0
188622.422060016,z9ya3gfm3otx,Brande,12,py5iu9,46,8217,2,100,0,0,True,0
188672.781792353,z9ya3gfm3otx,Brande,17,py5iu9,17,64332,1,0,228,0,True,0
188673.145280947,z9ya3gfm3otx,Brande,17,py5iu9,17,64332,2,100,0,0,True,0
