t,user,current_round
188494.58245396,Annabel,0
188504.651943217,Annabel,1
188514.69584815,Annabel,2
188524.764369281,Annabel,3
188534.818671776,Annabel,4
188544.871005209,Annabel,5
188554.9108878,Annabel,6
188564.934792501,Annabel,7
188574.944112229,Annabel,8
188584.994143495,Annabel,9
188595.031735063,Annabel,10
188605.038959244,Annabel,11
188615.039192985,Annabel,12
188625.096014929,Annabel,13
188635.101897615,Annabel,14
188645.122996489,Annabel,15
188655.132943887,Annabel,16
188665.134689249,Annabel,17
188675.144306514,Annabel,18
188685.15222621,Annabel,19
188695.157476167,Annabel,20
188705.159841675,Annabel,21
188715.165195348,Annabel,22
188725.175608255,Annabel,23
188735.191141936,Annabel,24
188745.202627718,Annabel,25
188755.211413121,Annabel,26
188765.217211053,Annabel,27
188775.218697753,Annabel,28
188785.223308854,Annabel,29
188795.229991975,Annabel,30
188805.235123754,Annabel,31
188815.246284268,Annabel,32
188825.276998541,Annabel,33
188835.284910835,Annabel,34
188845.285045258,Annabel,35
188855.298122572,Annabel,36
188865.304196173,Annabel,37
188875.311292813,Annabel,38
188885.31358603,Annabel,39
188895.319873715,Annabel,40
188905.32264945,Annabel,41
188915.331573808,Annabel,42
188925.332340748,Annabel,43
188935.337494925,Annabel,44
188945.340466569,Annabel,45
188955.342196564,Annabel,46
188965.343611331,Annabel,47
188975.347999863,Annabel,48
188985.351237792,Annabel,49
188995.356407092,Annabel,50
189005.357094821,Annabel,51
189015.364037449,Annabel,52
189025.372861628,Annabel,53
189035.375523396,Annabel,54
189045.379998939,Annabel,55
189055.394231565,Annabel,56
189065.40145843,Annabel,57
189075.405078998,Annabel,58
189085.405131619,Annabel,59
