t,user,current_round
188494.467610035,Beatriz,0
188504.492264623,Beatriz,1
188514.561491061,Beatriz,2
188524.616293854,Beatriz,3
188534.628361498,Beatriz,4
188544.644167005,Beatriz,5
188554.651170039,Beatriz,6
188564.67622472,Beatriz,7
188574.703910494,Beatriz,8
188584.71136526,Beatriz,9
188594.715044876,Beatriz,10
188604.737234771,Beatriz,11
188614.756086868,Beatriz,12
188624.756846137,Beatriz,13
188634.79127907,Beatriz,14
188644.802343696,Beatriz,15
188654.81308127,Beatriz,16
188664.828533151,Beatriz,17
188674.842858683,Beatriz,18
188684.850571864,Beatriz,19
188694.852036859,Beatriz,20
188704.852792281,Beatriz,21
188714.865975907,Beatriz,22
188724.869362698,Beatriz,23
188734.87677161,Beatriz,24
188744.883222185,Beatriz,25
188754.891970908,Beatriz,26
188764.898841209,Beatriz,27
188774.903484233,Beatriz,28
188784.908418459,Beatriz,29
188794.910948684,Beatriz,30
188804.919032529,Beatriz,31
188814.926684814,Beatriz,32
188824.928474019,Beatriz,33
188834.931517009,Beatriz,34
188844.93399365,Beatriz,35
188854.935379135,Beatriz,36
188864.938046183,Beatriz,37
188874.938299903,Beatriz,38
188884.943739827,Beatriz,39
188894.957367946,Beatriz,40
188904.962938281,Beatriz,41
188914.965543536,Beatriz,42
188924.985729554,Beatriz,43
188934.991007539,Beatriz,44
188944.992070093,Beatriz,45
188955.00224886,Beatriz,46
188965.008382479,Beatriz,47
188975.013578342,Beatriz,48
188985.014747175,Beatriz,49
188995.037321468,Beatriz,50
189005.043364767,Beatriz,51
189015.053451314,Beatriz,52
189025.059388594,Beatriz,53
189035.067098734,Beatriz,54
189045.074502589,Beatriz,55
189055.078608361,Beatriz,56
189065.07910454,Beatriz,57
189075.08315638,Beatriz,58
189085.083204157,Beatriz,59
