t,user,current_round
188494.546982578,Brande,0
188504.585436959,Brande,1
188514.660359602,Brande,2
188524.715276375,Brande,3
188534.767480723,Brande,4
188544.808309178,Brande,5
188554.825965832,Brande,6
188564.832049385,Brande,7
188574.856546572,Brande,8
188584.877240617,Brande,9
188594.895962918,Brande,10
188604.907009889,Brande,11
188614.921457943,Brande,12
188624.974074882,Brande,13
188634.996745053,Brande,14
188645.010847666,Brande,15
188655.011830226,Brande,16
188665.013100355,Brande,17
188675.026517612,Brande,18
188685.033573473,Brande,19
188695.049626153,Brande,20
188705.049709478,Brande,21
188715.091920303,Brande,22
188725.110764958,Brande,23
188735.114103708,Brande,24
188745.119064678,Brande,25
188755.119249965,Brande,26
188765.121768756,Brande,27
188775.139345118,Brande,28
188785.142490704,Brande,29
188795.143925835,Brande,30
188805.148362923,Brande,31
188815.15004261,Brande,32
188825.154348056,Brande,33
188835.162140874,Brande,34
188845.165368055,Brande,35
188855.171059187,Brande,36
188865.18024915,Brande,37
188875.180610457,Brande,38
188885.184477859,Brande,39
188895.185515768,Brande,40
188905.187895605,Brande,41
188915.193166341,Brande,42
188925.202195937,Brande,43
188935.210095959,Brande,44
188945.214065605,Brande,45
188955.221783165,Brande,46
188965.23048189,Brande,47
188975.23797497,Brande,48
188985.243930361,Brande,49
188995.245178144,Brande,50
189005.249682727,Brande,51
189015.254992491,Brande,52
189025.258914137,Brande,53
189035.264544741,Brande,54
189045.270360654,Brande,55
189055.273905907,Brande,56
189065.279720433,Brande,57
189075.280890296,Brande,58
189085.281595885,Brande,59
