t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189106.39519759,3tc3ar8n1sx3,Jay Z,0,c32wti,62,7303,1,0,0,228,True,0
189107.139054129,3tc3ar8n1sx3,Jay Z,1,c32wti,1,22384,2,0,0,100,True,2
189107.856812601,3tc3ar8n1sx3,Jay Z,1,rczazu,15,25127,1,0,0,228,True,1
189108.251310721,3tc3ar8n1sx3,Jay Z,1,c32wti,62,7303,2,0,0,100,True,0
189109.378238071,3tc3ar8n1sx3,Jay Z,1,c32wti,20,40266,2,0,0,100,True,1
189110.080741289,3tc3ar8n1sx3,Jay Z,1,c32wti,67,4968,1,0,0,228,True,1
189110.461509933,3tc3ar8n1sx3,Jay Z,1,rczazu,8,11975,2,0,0,100,True,0
189113.991772765,3tc3ar8n1sx3,Jay Z,1,22n0z4,23,46849,1,0,0,228,True,0
189116.20507078,3tc3ar8n1sx3,Jay Z,1,22n0z4,75,19838,2,0,0,100,True,0
189116.724136493,3tc3ar8n1sx3,Jay Z,2,22n0z4,54,30701,2,0,0,100,True,0
189137.465264434,3tc3ar8n1sx3,Jay Z,4,c32wti,0,45316,2,0,0,100,True,0
189138.976666176,3tc3ar8n1sx3,Jay Z,4,rczazu,48,48511,1,0,0,228,True,0
189139.684177208,3tc3ar8n1sx3,Jay Z,4,22n0z4,38,19901,1,0,0,228,True,2
189140.073161471,3tc3ar8n1sx3,Jay Z,4,c32wti,35,63778,2,0,0,100,True,1
189140.445575687,3tc3ar8n1sx3,Jay Z,4,22n0z4,50,11830,2,0,0,100,True,0
189141.764488204,3tc3ar8n1sx3,Jay Z,4,22n0z4,76,3692,1,0,0,228,True,3
189142.154495099,3tc3ar8n1sx3,Jay Z,4,c32wti,73,33442,2,0,0,100,True,3
189142.526249105,3tc3ar8n1sx3,Jay Z,4,c32wti,77,2592,2,0,0,100,True,3
189142.899297748,3tc3ar8n1sx3,Jay Z,4,22n0z4,77,27316,2,0,0,100,True,2
189143.595365848,3tc3ar8n1sx3,Jay Z,4,22n0z4,55,57822,1,0,0,228,True,1
189143.978695599,3tc3ar8n1sx3,Jay Z,4,22n0z4,76,3692,2,0,0,100,True,1
189144.351390206,3tc3ar8n1sx3,Jay Z,4,22n0z4,53,44655,2,0,0,100,True,1
189144.71415161,3tc3ar8n1sx3,Jay Z,4,22n0z4,55,57822,2,0,0,100,True,1
189145.40277513,3tc3ar8n1sx3,Jay Z,4,22n0z4,34,49019,1,0,0,228,True,0
189145.858606903,3tc3ar8n1sx3,Jay Z,4,22n0z4,42,8386,2,0,0,100,True,2
189146.566131247,3tc3ar8n1sx3,Jay Z,5,22n0z4,15,34701,1,0,0,228,True,2
189156.898342184,3tc3ar8n1sx3,Jay Z,6,22n0z4,34,49019,2,0,0,100,True,1
189156.903175924,3tc3ar8n1sx3,Jay Z,6,clo2wq,2,11625,1,0,228,0,True,0
189157.278176037,3tc3ar8n1sx3,Jay Z,6,clo2wq,2,11625,2,100,0,0,True,0
189158.523016072,3tc3ar8n1sx3,Jay Z,6,22n0z4,68,36292,1,0,0,228,True,1
189158.898638735,3tc3ar8n1sx3,Jay Z,6,22n0z4,79,6992,2,0,0,100,True,1
189159.580961761,3tc3ar8n1sx3,Jay Z,6,22n0z4,52,17634,1,0,0,228,True,1
189160.262663537,3tc3ar8n1sx3,Jay Z,6,22n0z4,48,3891,1,0,0,228,True,1
189160.641486223,3tc3ar8n1sx3,Jay Z,6,22n0z4,52,17634,2,0,0,100,True,1
189161.333539404,3tc3ar8n1sx3,Jay Z,6,22n0z4,31,9545,1,0,0,228,True,1
189162.022156476,3tc3ar8n1sx3,Jay Z,6,rczazu,78,5161,1,0,0,228,True,0
189162.834385461,3tc3ar8n1sx3,Jay Z,6,rczazu,27,42697,1,0,0,228,True,0
189164.126238178,3tc3ar8n1sx3,Jay Z,6,22n0z4,49,42166,1,0,0,228,True,1
189164.513992498,3tc3ar8n1sx3,Jay Z,6,rczazu,0,17360,2,0,0,100,True,0
