t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189104.009882589,3uhpvws4gn5r,Brande,0,clo2wq,79,8969,1,0,0,228,True,0
189106.203581771,3uhpvws4gn5r,Brande,0,clo2wq,44,12135,1,0,0,228,True,0
189110.90992644,3uhpvws4gn5r,Brande,1,clo2wq,54,29954,1,0,0,228,True,1
189110.91518687,3uhpvws4gn5r,Brande,1,mh3aej,17,51734,1,0,228,0,True,0
189111.290790759,3uhpvws4gn5r,Brande,1,mh3aej,17,51734,2,100,0,0,True,1
189111.977316436,3uhpvws4gn5r,Brande,1,clo2wq,65,7837,1,0,0,228,True,1
189112.665711952,3uhpvws4gn5r,Brande,1,clo2wq,21,49417,1,0,0,228,True,1
189113.02904125,3uhpvws4gn5r,Brande,1,clo2wq,49,21076,2,0,0,100,True,1
189113.726603557,3uhpvws4gn5r,Brande,1,clo2wq,8,13114,1,0,0,228,True,1
189114.421882343,3uhpvws4gn5r,Brande,1,clo2wq,38,18112,1,0,0,228,True,0
189114.982078844,3uhpvws4gn5r,Brande,1,8g9q1e,22,33009,1,0,228,0,True,0
189115.372139251,3uhpvws4gn5r,Brande,1,8g9q1e,22,33009,2,100,0,0,True,0
189116.228462738,3uhpvws4gn5r,Brande,1,clo2wq,16,56174,1,0,0,228,True,1
189116.695663451,3uhpvws4gn5r,Brande,2,clo2wq,21,49417,2,0,0,100,True,0
189117.11608641,3uhpvws4gn5r,Brande,2,clo2wq,65,7837,2,0,0,100,True,2
189117.483790667,3uhpvws4gn5r,Brande,2,clo2wq,8,13114,2,0,0,100,True,1
189117.844345523,3uhpvws4gn5r,Brande,2,clo2wq,66,14297,2,0,0,100,True,0
189117.996815481,3uhpvws4gn5r,Brande,2,mh3aej,12,53452,1,0,228,0,True,0
189118.368255598,3uhpvws4gn5r,Brande,2,mh3aej,12,53452,2,100,0,0,True,1
189118.375761787,3uhpvws4gn5r,Brande,2,mh3aej,65,42120,1,0,228,0,True,0
189118.74067804,3uhpvws4gn5r,Brande,2,mh3aej,65,42120,2,100,0,0,True,0
189119.46493464,3uhpvws4gn5r,Brande,2,clo2wq,34,31850,1,0,0,228,True,0
189121.587666577,3uhpvws4gn5r,Brande,2,clo2wq,48,22731,1,0,0,228,True,0
189122.690990744,3uhpvws4gn5r,Brande,2,mh3aej,46,14581,1,0,228,0,True,0
189123.052129476,3uhpvws4gn5r,Brande,2,mh3aej,46,14581,2,100,0,0,True,1
189123.057226379,3uhpvws4gn5r,Brande,2,mh3aej,62,11428,1,0,228,0,True,0
189123.41497234,3uhpvws4gn5r,Brande,2,mh3aej,62,11428,2,100,0,0,True,0
189124.424574054,3uhpvws4gn5r,Brande,2,clo2wq,34,31850,2,0,0,100,True,0
189125.854467046,3uhpvws4gn5r,Brande,2,clo2wq,67,25786,1,0,0,228,True,1
189125.859208095,3uhpvws4gn5r,Brande,2,mh3aej,74,64915,1,0,228,0,True,0
189126.241125647,3uhpvws4gn5r,Brande,2,mh3aej,74,64915,2,100,0,0,True,1
189126.245591812,3uhpvws4gn5r,Brande,2,mh3aej,37,21937,1,0,228,0,True,0
189126.631192728,3uhpvws4gn5r,Brande,3,mh3aej,37,21937,2,100,0,0,True,0
189128.554441456,3uhpvws4gn5r,Brande,3,clo2wq,73,9477,2,0,0,100,True,0
189129.265559352,3uhpvws4gn5r,Brande,3,clo2wq,5,29948,1,0,0,228,True,0
189129.772177853,3uhpvws4gn5r,Brande,3,clo2wq,48,22731,2,0,0,100,True,0
189130.69756548,3uhpvws4gn5r,Brande,3,mh3aej,78,9899,1,0,228,0,True,0
189131.06587539,3uhpvws4gn5r,Brande,3,mh3aej,78,9899,2,100,0,0,True,0
189132.736621878,3uhpvws4gn5r,Brande,3,clo2wq,6,53049,2,0,0,100,True,1
189133.44158367,3uhpvws4gn5r,Brande,3,clo2wq,62,53861,1,0,0,228,True,0
189134.781128746,3uhpvws4gn5r,Brande,3,clo2wq,50,4500,1,0,0,228,True,0
189136.589748444,3uhpvws4gn5r,Brande,4,clo2wq,62,53861,2,0,0,100,True,0
189137.783329076,3uhpvws4gn5r,Brande,4,clo2wq,31,8709,1,0,0,228,True,1
189137.788362034,3uhpvws4gn5r,Brande,4,mh3aej,29,12163,1,0,228,0,True,0
189138.149625067,3uhpvws4gn5r,Brande,4,mh3aej,29,12163,2,100,0,0,True,0
189139.011445342,3uhpvws4gn5r,Brande,4,clo2wq,32,5683,2,0,0,100,True,0
189141.394735395,3uhpvws4gn5r,Brande,4,mh3aej,27,48001,1,0,228,0,True,0
189141.781460862,3uhpvws4gn5r,Brande,4,mh3aej,27,48001,2,100,0,0,True,0
189145.346888423,3uhpvws4gn5r,Brande,4,clo2wq,71,57416,2,0,0,100,True,0
189145.823432872,3uhpvws4gn5r,Brande,4,mh3aej,45,9087,1,0,228,0,True,0
189146.207984727,3uhpvws4gn5r,Brande,4,mh3aej,45,9087,2,100,0,0,True,0
189156.58544616,3uhpvws4gn5r,Brande,6,mh3aej,71,19505,1,0,228,0,True,0
189156.96831443,3uhpvws4gn5r,Brande,6,mh3aej,71,19505,2,100,0,0,True,0
189157.265990162,3uhpvws4gn5r,Brande,6,mh3aej,57,26588,1,0,228,0,True,0
189157.640582002,3uhpvws4gn5r,Brande,6,mh3aej,57,26588,2,100,0,0,True,1
189157.645488094,3uhpvws4gn5r,Brande,6,mh3aej,2,45915,1,0,228,0,True,0
189158.00568087,3uhpvws4gn5r,Brande,6,mh3aej,2,45915,2,100,0,0,True,2
189158.011256691,3uhpvws4gn5r,Brande,6,mh3aej,47,28726,1,0,228,0,True,1
