t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189107.535939133,8k0t5rsqp40y,Stephany,1,mh3aej,36,38719,2,0,100,0,True,0
189110.870258715,8k0t5rsqp40y,Stephany,1,uftxm0,44,3196,1,0,228,0,True,0
189111.252390769,8k0t5rsqp40y,Stephany,1,uftxm0,44,3196,2,100,0,0,True,0
189127.47373877,8k0t5rsqp40y,Stephany,3,mh3aej,62,11428,2,0,100,0,True,0
189156.000550298,8k0t5rsqp40y,Stephany,5,mh3aej,56,20912,2,0,100,0,True,0
189159.113603728,8k0t5rsqp40y,Stephany,6,mh3aej,71,19505,2,0,100,0,True,0
189160.06635349,8k0t5rsqp40y,Stephany,6,mh3aej,3,25394,2,0,100,0,True,0
189343.315090104,8k0t5rsqp40y,Stephany,24,uftxm0,58,19523,1,0,228,0,True,0
189343.678556887,8k0t5rsqp40y,Stephany,24,uftxm0,58,19523,2,100,0,0,True,0
189346.103001288,8k0t5rsqp40y,Stephany,24,uftxm0,59,63763,1,0,228,0,True,0
189346.49026285,8k0t5rsqp40y,Stephany,24,uftxm0,59,63763,2,100,0,0,True,0
189348.908990769,8k0t5rsqp40y,Stephany,25,uftxm0,68,36531,1,0,228,0,True,0
189349.268853309,8k0t5rsqp40y,Stephany,25,uftxm0,68,36531,2,100,0,0,True,0
189350.304501174,8k0t5rsqp40y,Stephany,25,uftxm0,31,31939,1,0,228,0,True,0
189350.664753923,8k0t5rsqp40y,Stephany,25,uftxm0,31,31939,2,100,0,0,True,0
189351.66340331,8k0t5rsqp40y,Stephany,25,uftxm0,71,58221,1,0,228,0,True,0
189352.031257743,8k0t5rsqp40y,Stephany,25,uftxm0,71,58221,2,100,0,0,True,0
189367.784123736,8k0t5rsqp40y,Stephany,27,uftxm0,5,10983,1,0,228,0,True,0
189368.143447119,8k0t5rsqp40y,Stephany,27,uftxm0,5,10983,2,100,0,0,True,0
189520.85381898,8k0t5rsqp40y,Stephany,42,uftxm0,78,42293,1,0,228,0,True,0
189521.21589946,8k0t5rsqp40y,Stephany,42,uftxm0,78,42293,2,100,0,0,True,0
