t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189107.334758436,b1apdomo3mnv,Brande,1,8g9q1e,31,40950,1,0,228,0,True,0
189107.697357115,b1apdomo3mnv,Brande,1,8g9q1e,31,40950,2,100,0,0,True,0
189109.365426372,b1apdomo3mnv,Brande,1,mh3aej,13,46094,1,0,228,0,True,0
189109.760266443,b1apdomo3mnv,Brande,1,mh3aej,13,46094,2,100,0,0,True,0
189111.928961492,b1apdomo3mnv,Brande,1,mh3aej,18,43290,1,0,228,0,True,0
189112.298230216,b1apdomo3mnv,Brande,1,mh3aej,18,43290,2,100,0,0,True,0
189115.050789167,b1apdomo3mnv,Brande,1,mh3aej,68,5034,1,0,228,0,True,0
189115.451678202,b1apdomo3mnv,Brande,1,mh3aej,68,5034,2,100,0,0,True,1
189115.45701914,b1apdomo3mnv,Brande,1,mh3aej,75,27423,1,0,228,0,True,0
189115.823157705,b1apdomo3mnv,Brande,1,mh3aej,75,27423,2,100,0,0,True,0
189123.726748048,b1apdomo3mnv,Brande,2,mh3aej,32,16412,1,0,228,0,True,0
189124.098974489,b1apdomo3mnv,Brande,2,mh3aej,32,16412,2,100,0,0,True,0
189139.716116694,b1apdomo3mnv,Brande,4,mh3aej,53,35574,1,0,228,0,True,0
189140.100467708,b1apdomo3mnv,Brande,4,mh3aej,53,35574,2,100,0,0,True,0
189141.18428434,b1apdomo3mnv,Brande,4,mh3aej,6,37423,1,0,228,0,True,0
189141.547340346,b1apdomo3mnv,Brande,4,mh3aej,6,37423,2,100,0,0,True,0
189141.90315296,b1apdomo3mnv,Brande,4,mh3aej,30,11140,1,0,228,0,True,0
189142.279538412,b1apdomo3mnv,Brande,4,mh3aej,30,11140,2,100,0,0,True,0
189143.183707549,b1apdomo3mnv,Brande,4,mh3aej,20,24729,1,0,228,0,True,0
189143.560102458,b1apdomo3mnv,Brande,4,mh3aej,20,24729,2,100,0,0,True,0
189144.414496254,b1apdomo3mnv,Brande,4,mh3aej,79,42225,1,0,228,0,True,0
189144.789664325,b1apdomo3mnv,Brande,4,mh3aej,79,42225,2,100,0,0,True,1
189144.794127955,b1apdomo3mnv,Brande,4,mh3aej,15,41919,1,0,228,0,True,0
189145.159345358,b1apdomo3mnv,Brande,4,mh3aej,15,41919,2,100,0,0,True,0
189148.165288714,b1apdomo3mnv,Brande,5,mh3aej,16,27900,1,0,228,0,True,0
189148.545327628,b1apdomo3mnv,Brande,5,mh3aej,16,27900,2,100,0,0,True,0
189150.637896106,b1apdomo3mnv,Brande,5,mh3aej,67,9041,1,0,228,0,True,0
189151.002956292,b1apdomo3mnv,Brande,5,mh3aej,67,9041,2,100,0,0,True,0
189152.228335609,b1apdomo3mnv,Brande,5,8g9q1e,30,29518,1,0,228,0,True,0
189152.614822816,b1apdomo3mnv,Brande,5,8g9q1e,30,29518,2,100,0,0,True,0
189152.747676318,b1apdomo3mnv,Brande,5,mh3aej,11,55449,1,0,228,0,True,0
189153.118544783,b1apdomo3mnv,Brande,5,mh3aej,11,55449,2,100,0,0,True,0
189155.899663511,b1apdomo3mnv,Brande,5,mh3aej,5,26352,1,0,228,0,True,0
189156.28579083,b1apdomo3mnv,Brande,5,mh3aej,5,26352,2,100,0,0,True,0
189161.025459712,b1apdomo3mnv,Brande,6,mh3aej,31,54897,1,0,228,0,True,0
189161.389326317,b1apdomo3mnv,Brande,6,mh3aej,31,54897,2,100,0,0,True,0
189163.478505108,b1apdomo3mnv,Brande,6,mh3aej,35,62784,1,0,228,0,True,0
189163.847618523,b1apdomo3mnv,Brande,6,mh3aej,35,62784,2,100,0,0,True,0
189164.987232143,b1apdomo3mnv,Brande,6,mh3aej,49,60871,1,0,228,0,True,0
189165.362189908,b1apdomo3mnv,Brande,6,mh3aej,49,60871,2,100,0,0,True,0
189165.985967681,b1apdomo3mnv,Brande,6,mh3aej,59,55907,1,0,228,0,True,0
189166.355798202,b1apdomo3mnv,Brande,6,mh3aej,59,55907,2,100,0,0,True,0
189175.288554848,b1apdomo3mnv,Brande,7,8g9q1e,5,41264,1,0,228,0,True,0
189175.652380589,b1apdomo3mnv,Brande,7,8g9q1e,5,41264,2,100,0,0,True,0
189201.001238782,b1apdomo3mnv,Brande,10,mh3aej,48,26826,1,0,228,0,True,0
189201.366851133,b1apdomo3mnv,Brande,10,mh3aej,48,26826,2,100,0,0,True,0
189203.25696417,b1apdomo3mnv,Brande,10,mh3aej,41,40996,1,0,228,0,True,0
189203.642844769,b1apdomo3mnv,Brande,10,mh3aej,41,40996,2,100,0,0,True,0
189206.680333091,b1apdomo3mnv,Brande,10,mh3aej,41,6262,1,0,228,0,True,0
189207.085954518,b1apdomo3mnv,Brande,11,mh3aej,41,6262,2,100,0,0,True,0
189218.352584986,b1apdomo3mnv,Brande,12,mh3aej,60,35958,1,0,228,0,True,0
189218.726672381,b1apdomo3mnv,Brande,12,mh3aej,60,35958,2,100,0,0,True,0
189265.48592236,b1apdomo3mnv,Brande,16,8g9q1e,44,38039,1,0,228,0,True,0
189265.847611341,b1apdomo3mnv,Brande,16,8g9q1e,44,38039,2,100,0,0,True,0
189279.987533356,b1apdomo3mnv,Brande,18,8g9q1e,33,61299,1,0,228,0,True,0
189280.356374717,b1apdomo3mnv,Brande,18,8g9q1e,33,61299,2,100,0,0,True,0
189281.808492936,b1apdomo3mnv,Brande,18,8g9q1e,28,64421,1,0,228,0,True,0
189282.197878527,b1apdomo3mnv,Brande,18,8g9q1e,28,64421,2,100,0,0,True,0
189282.890878924,b1apdomo3mnv,Brande,18,8g9q1e,11,35491,1,0,228,0,True,0
189283.259488494,b1apdomo3mnv,Brande,18,8g9q1e,11,35491,2,100,0,0,True,0
189287.057504895,b1apdomo3mnv,Brande,19,8g9q1e,64,62957,1,0,228,0,True,0
189287.42126437,b1apdomo3mnv,Brande,19,8g9q1e,64,62957,2,100,0,0,True,0
189318.576031547,b1apdomo3mnv,Brande,22,8g9q1e,40,27857,1,0,228,0,True,0
189318.950818311,b1apdomo3mnv,Brande,22,8g9q1e,40,27857,2,100,0,0,True,0
189321.10467501,b1apdomo3mnv,Brande,22,8g9q1e,13,62297,1,0,228,0,True,0
189321.476800302,b1apdomo3mnv,Brande,22,8g9q1e,13,62297,2,100,0,0,True,0
189321.840275437,b1apdomo3mnv,Brande,22,8g9q1e,55,55460,1,0,228,0,True,0
189322.206553857,b1apdomo3mnv,Brande,22,8g9q1e,55,55460,2,100,0,0,True,0
189322.789307272,b1apdomo3mnv,Brande,22,8g9q1e,60,60400,1,0,228,0,True,0
189323.15347764,b1apdomo3mnv,Brande,22,8g9q1e,60,60400,2,100,0,0,True,0
189324.895116588,b1apdomo3mnv,Brande,22,8g9q1e,37,64283,1,0,228,0,True,1
189325.262836225,b1apdomo3mnv,Brande,22,8g9q1e,37,64283,2,100,0,0,True,1
189325.267566919,b1apdomo3mnv,Brande,22,8g9q1e,37,28733,1,0,228,0,True,0
189325.630486893,b1apdomo3mnv,Brande,22,8g9q1e,37,28733,2,100,0,0,True,0
189326.313941873,b1apdomo3mnv,Brande,22,8g9q1e,60,27078,1,0,228,0,True,0
189326.720041216,b1apdomo3mnv,Brande,22,8g9q1e,60,27078,2,100,0,0,True,0
189327.403366968,b1apdomo3mnv,Brande,23,8g9q1e,13,15963,1,0,228,0,True,0
189327.767878071,b1apdomo3mnv,Brande,23,8g9q1e,13,15963,2,100,0,0,True,1
189327.772845771,b1apdomo3mnv,Brande,23,8g9q1e,37,58978,1,0,228,0,True,0
189328.134843188,b1apdomo3mnv,Brande,23,8g9q1e,37,58978,2,100,0,0,True,0
