t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189104.013772942,d5bq2yq5r7rr,Norene,0,uftxm0,39,14664,1,0,0,228,True,0
189337.987572514,d5bq2yq5r7rr,Norene,24,uftxm0,56,9065,1,0,0,228,True,0
189339.030584258,d5bq2yq5r7rr,Norene,24,uftxm0,40,39143,1,0,0,228,True,0
189340.441096148,d5bq2yq5r7rr,Norene,24,uftxm0,60,12881,1,0,0,228,True,0
189351.027342389,d5bq2yq5r7rr,Norene,25,uftxm0,68,36531,2,0,0,100,True,0
189353.805621934,d5bq2yq5r7rr,Norene,25,uftxm0,34,50733,1,0,0,228,True,0
189356.623933603,d5bq2yq5r7rr,Norene,25,uftxm0,70,677,1,0,0,228,True,0
189359.392332515,d5bq2yq5r7rr,Norene,26,uftxm0,17,17789,1,0,0,228,True,1
189359.759601059,d5bq2yq5r7rr,Norene,26,uftxm0,52,30979,2,0,0,100,True,0
189360.474290407,d5bq2yq5r7rr,Norene,26,uftxm0,70,677,2,0,0,100,True,0
189361.508982133,d5bq2yq5r7rr,Norene,26,uftxm0,8,45160,1,0,0,228,True,0
189362.902202333,d5bq2yq5r7rr,Norene,26,uftxm0,61,17186,1,0,0,228,True,0
189364.342660946,d5bq2yq5r7rr,Norene,26,uftxm0,9,57243,2,0,0,100,True,1
189365.028098243,d5bq2yq5r7rr,Norene,26,uftxm0,79,15136,1,0,0,228,True,1
189365.733883666,d5bq2yq5r7rr,Norene,26,uftxm0,67,39101,1,0,0,228,True,1
189366.096855532,d5bq2yq5r7rr,Norene,26,uftxm0,46,3512,2,0,0,100,True,1
189366.473244675,d5bq2yq5r7rr,Norene,26,uftxm0,8,45160,2,0,0,100,True,2
189367.157460881,d5bq2yq5r7rr,Norene,27,uftxm0,6,38153,1,0,0,228,True,2
189367.520037294,d5bq2yq5r7rr,Norene,27,uftxm0,29,44292,2,0,0,100,True,1
189368.20048775,d5bq2yq5r7rr,Norene,27,uftxm0,47,9233,1,0,0,228,True,0
189368.958507108,d5bq2yq5r7rr,Norene,27,uftxm0,67,39101,2,0,0,100,True,1
189369.319421464,d5bq2yq5r7rr,Norene,27,uftxm0,5,10983,2,0,0,100,True,0
189378.689432849,d5bq2yq5r7rr,Norene,28,uftxm0,66,1991,1,0,0,228,True,0
189382.954313302,d5bq2yq5r7rr,Norene,28,uftxm0,3,38888,2,0,0,100,True,0
189385.634644613,d5bq2yq5r7rr,Norene,28,uftxm0,76,56549,1,0,0,228,True,0
189387.716074278,d5bq2yq5r7rr,Norene,29,uftxm0,22,61217,1,0,0,228,True,0
189388.106901348,d5bq2yq5r7rr,Norene,29,uftxm0,15,51628,2,0,0,100,True,0
189479.452937403,d5bq2yq5r7rr,Norene,38,uftxm0,23,6382,1,0,0,228,True,0
189480.168667926,d5bq2yq5r7rr,Norene,38,uftxm0,37,49135,1,0,0,228,True,0
189484.023042794,d5bq2yq5r7rr,Norene,38,uftxm0,28,13754,2,0,0,100,True,0
189485.136882857,d5bq2yq5r7rr,Norene,38,uftxm0,30,35825,2,0,0,100,True,0
189486.510559416,d5bq2yq5r7rr,Norene,38,uftxm0,13,32536,1,0,0,228,True,0
189487.215925389,d5bq2yq5r7rr,Norene,39,uftxm0,21,28227,1,0,0,228,True,1
189487.57858709,d5bq2yq5r7rr,Norene,39,uftxm0,69,19886,2,0,0,100,True,0
189488.343041554,d5bq2yq5r7rr,Norene,39,uftxm0,16,25267,2,0,0,100,True,1
189488.710008526,d5bq2yq5r7rr,Norene,39,uftxm0,74,40036,2,0,0,100,True,0
189490.042504207,d5bq2yq5r7rr,Norene,39,uftxm0,21,28227,2,0,0,100,True,0
189499.269275982,d5bq2yq5r7rr,Norene,40,uftxm0,13,32536,2,0,0,100,True,0
189518.765563783,d5bq2yq5r7rr,Norene,42,uftxm0,50,41374,1,0,0,228,True,0
189521.570278354,d5bq2yq5r7rr,Norene,42,uftxm0,78,24793,1,0,0,228,True,0
189522.297701052,d5bq2yq5r7rr,Norene,42,uftxm0,50,41374,2,0,0,100,True,0
189525.024393249,d5bq2yq5r7rr,Norene,42,uftxm0,78,64390,1,0,0,228,True,1
189525.385120682,d5bq2yq5r7rr,Norene,42,uftxm0,78,24793,2,0,0,100,True,0
