t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189106.399631405,dh7vcx6meqyf,Isaura,0,mh3aej,63,42151,1,0,0,228,True,2
189106.403642158,dh7vcx6meqyf,Isaura,0,22n0z4,61,26299,2,0,100,0,True,1
189107.227592121,dh7vcx6meqyf,Isaura,1,22n0z4,44,49177,1,0,0,228,True,1
189107.232121242,dh7vcx6meqyf,Isaura,1,22n0z4,36,41595,2,0,100,0,True,0
189108.451907798,dh7vcx6meqyf,Isaura,1,22n0z4,28,61606,1,0,0,228,True,2
189109.144284331,dh7vcx6meqyf,Isaura,1,22n0z4,20,1677,1,0,0,228,True,1
189109.831975396,dh7vcx6meqyf,Isaura,1,mh3aej,17,51734,1,0,0,228,True,1
189110.528454346,dh7vcx6meqyf,Isaura,1,22n0z4,16,11393,1,0,0,228,True,1
189111.225186574,dh7vcx6meqyf,Isaura,1,22n0z4,14,11831,1,0,0,228,True,0
189112.310431448,dh7vcx6meqyf,Isaura,1,ionngb,41,3603,2,0,0,100,True,0
189113.291585787,dh7vcx6meqyf,Isaura,1,22n0z4,43,39181,2,0,100,0,True,0
189114.34401344,dh7vcx6meqyf,Isaura,1,mh3aej,68,5034,1,0,0,228,True,1
189115.032096854,dh7vcx6meqyf,Isaura,1,ionngb,56,15524,1,0,0,228,True,2
189115.036800417,dh7vcx6meqyf,Isaura,1,22n0z4,23,46849,2,0,100,0,True,1
189115.745338813,dh7vcx6meqyf,Isaura,1,mh3aej,43,36942,1,0,0,228,True,0
189116.321653234,dh7vcx6meqyf,Isaura,1,ionngb,58,50681,2,0,0,100,True,0
189117.270883929,dh7vcx6meqyf,Isaura,2,mh3aej,12,53452,1,0,0,228,True,2
189117.278449155,dh7vcx6meqyf,Isaura,2,22n0z4,75,19838,2,0,100,0,True,1
189117.285474233,dh7vcx6meqyf,Isaura,2,22n0z4,66,35097,2,0,100,0,True,0
189118.127103612,dh7vcx6meqyf,Isaura,2,22n0z4,10,6910,1,0,0,228,True,2
189118.489994111,dh7vcx6meqyf,Isaura,2,ionngb,59,27620,2,0,0,100,True,1
189118.494686068,dh7vcx6meqyf,Isaura,2,22n0z4,25,3724,2,0,100,0,True,0
189119.353534907,dh7vcx6meqyf,Isaura,2,mh3aej,4,10116,1,0,0,228,True,0
189120.412873965,dh7vcx6meqyf,Isaura,2,mh3aej,34,26020,1,0,0,228,True,0
189120.95866966,dh7vcx6meqyf,Isaura,2,22n0z4,30,6735,2,0,100,0,True,0
189121.805405477,dh7vcx6meqyf,Isaura,2,mh3aej,62,11428,1,0,0,228,True,3
189122.493333184,dh7vcx6meqyf,Isaura,2,22n0z4,71,6469,1,0,0,228,True,3
189122.854934005,dh7vcx6meqyf,Isaura,2,mh3aej,4,10116,2,0,0,100,True,3
189122.859702668,dh7vcx6meqyf,Isaura,2,22n0z4,58,36138,2,0,100,0,True,2
189123.231898696,dh7vcx6meqyf,Isaura,2,mh3aej,34,26020,2,0,0,100,True,2
189123.918246485,dh7vcx6meqyf,Isaura,2,mh3aej,37,21937,1,0,0,228,True,1
189123.922920676,dh7vcx6meqyf,Isaura,2,22n0z4,71,6469,2,0,100,0,True,0
189124.834500613,dh7vcx6meqyf,Isaura,2,22n0z4,65,44412,1,0,0,228,True,0
189126.677433857,dh7vcx6meqyf,Isaura,3,mh3aej,29,12163,1,0,0,228,True,4
189127.355279105,dh7vcx6meqyf,Isaura,3,22n0z4,64,18772,1,0,0,228,True,4
189128.06098339,dh7vcx6meqyf,Isaura,3,mh3aej,8,18238,1,0,0,228,True,3
189128.065922796,dh7vcx6meqyf,Isaura,3,22n0z4,45,1201,2,0,100,0,True,2
189128.437105362,dh7vcx6meqyf,Isaura,3,mh3aej,74,64915,2,0,0,100,True,1
189129.128575782,dh7vcx6meqyf,Isaura,3,mh3aej,78,9899,1,0,0,228,True,1
189129.133797173,dh7vcx6meqyf,Isaura,3,22n0z4,64,18772,2,0,100,0,True,0
189130.723191488,dh7vcx6meqyf,Isaura,3,mh3aej,52,23163,2,0,0,100,True,1
189131.403796574,dh7vcx6meqyf,Isaura,3,22n0z4,59,51452,1,0,0,228,True,1
189131.765408098,dh7vcx6meqyf,Isaura,3,mh3aej,24,20056,2,0,0,100,True,1
189132.135120163,dh7vcx6meqyf,Isaura,3,mh3aej,8,18238,2,0,0,100,True,1
189132.139862958,dh7vcx6meqyf,Isaura,3,22n0z4,24,18771,2,0,100,0,True,0
189132.551609453,dh7vcx6meqyf,Isaura,3,mh3aej,78,9899,2,0,0,100,True,1
189132.555997273,dh7vcx6meqyf,Isaura,3,22n0z4,6,48748,2,0,100,0,True,0
189133.981251669,dh7vcx6meqyf,Isaura,3,ionngb,31,52508,1,0,0,228,True,2
189134.674280142,dh7vcx6meqyf,Isaura,3,22n0z4,35,50341,1,0,0,228,True,2
189134.679315244,dh7vcx6meqyf,Isaura,3,22n0z4,7,46148,2,0,100,0,True,1
189135.375714568,dh7vcx6meqyf,Isaura,3,22n0z4,69,31762,1,0,0,228,True,2
189135.380699357,dh7vcx6meqyf,Isaura,3,22n0z4,35,50341,2,0,100,0,True,1
189136.077051747,dh7vcx6meqyf,Isaura,3,ionngb,4,5693,1,0,0,228,True,2
189136.771873421,dh7vcx6meqyf,Isaura,4,ionngb,39,52902,1,0,0,228,True,1
189137.478234087,dh7vcx6meqyf,Isaura,4,22n0z4,40,58659,1,0,0,228,True,2
189137.482929539,dh7vcx6meqyf,Isaura,4,22n0z4,22,12354,2,0,100,0,True,1
189137.867374708,dh7vcx6meqyf,Isaura,4,ionngb,39,52902,2,0,0,100,True,0
189138.443052611,dh7vcx6meqyf,Isaura,4,22n0z4,40,58659,2,0,100,0,True,0
189139.991457962,dh7vcx6meqyf,Isaura,4,22n0z4,33,27649,2,0,100,0,True,0
189140.088025456,dh7vcx6meqyf,Isaura,4,22n0z4,38,19901,2,0,100,0,True,0
189140.97588803,dh7vcx6meqyf,Isaura,4,mh3aej,30,11140,1,0,0,228,True,1
189141.665485542,dh7vcx6meqyf,Isaura,4,ionngb,47,51731,1,0,0,228,True,1
189142.35692363,dh7vcx6meqyf,Isaura,4,22n0z4,53,44655,1,0,0,228,True,2
189143.044551492,dh7vcx6meqyf,Isaura,4,22n0z4,3,18449,1,0,0,228,True,3
189143.730108516,dh7vcx6meqyf,Isaura,4,mh3aej,15,41919,1,0,0,228,True,4
189144.4270845,dh7vcx6meqyf,Isaura,4,22n0z4,1,10533,1,0,0,228,True,7
189145.117301112,dh7vcx6meqyf,Isaura,4,22n0z4,42,8386,1,0,0,228,True,8
189145.835601902,dh7vcx6meqyf,Isaura,4,22n0z4,41,21537,1,0,0,228,True,9
189146.212392105,dh7vcx6meqyf,Isaura,4,mh3aej,30,11140,2,0,0,100,True,8
189146.905355288,dh7vcx6meqyf,Isaura,5,mh3aej,16,27900,1,0,0,228,True,8
189147.593673042,dh7vcx6meqyf,Isaura,5,22n0z4,51,29074,1,0,0,228,True,7
189147.966670977,dh7vcx6meqyf,Isaura,5,mh3aej,20,24729,2,0,0,100,True,6
189148.340217381,dh7vcx6meqyf,Isaura,5,ionngb,23,18186,2,0,0,100,True,7
189148.344812912,dh7vcx6meqyf,Isaura,5,22n0z4,76,3692,2,0,100,0,True,6
189148.350491322,dh7vcx6meqyf,Isaura,5,22n0z4,1,10533,2,0,100,0,True,5
189148.35488232,dh7vcx6meqyf,Isaura,5,22n0z4,53,44655,2,0,100,0,True,4
189148.728889497,dh7vcx6meqyf,Isaura,5,ionngb,34,64565,2,0,0,100,True,3
189149.424520401,dh7vcx6meqyf,Isaura,5,22n0z4,11,30427,1,0,0,228,True,2
189150.136189886,dh7vcx6meqyf,Isaura,5,22n0z4,78,14718,1,0,0,228,True,2
189150.140739158,dh7vcx6meqyf,Isaura,5,22n0z4,51,29074,2,0,100,0,True,1
189150.53541967,dh7vcx6meqyf,Isaura,5,mh3aej,40,39384,2,0,0,100,True,2
189150.907240313,dh7vcx6meqyf,Isaura,5,mh3aej,16,27900,2,0,0,100,True,1
189151.595600309,dh7vcx6meqyf,Isaura,5,ionngb,12,2810,1,0,0,228,True,0
189152.703274111,dh7vcx6meqyf,Isaura,5,mh3aej,44,49043,2,0,0,100,True,2
189153.081487941,dh7vcx6meqyf,Isaura,5,ionngb,12,2810,2,0,0,100,True,2
189153.779187123,dh7vcx6meqyf,Isaura,5,mh3aej,3,25394,1,0,0,228,True,3
189153.785911087,dh7vcx6meqyf,Isaura,5,22n0z4,8,37332,2,0,100,0,True,2
189153.790817796,dh7vcx6meqyf,Isaura,5,22n0z4,73,37270,2,0,100,0,True,1
189154.484394958,dh7vcx6meqyf,Isaura,5,22n0z4,2,22558,1,0,0,228,True,5
189154.849816276,dh7vcx6meqyf,Isaura,5,mh3aej,11,55449,2,0,0,100,True,6
189155.552071959,dh7vcx6meqyf,Isaura,5,ionngb,65,27464,1,0,0,228,True,7
189156.250404666,dh7vcx6meqyf,Isaura,5,22n0z4,46,44500,1,0,0,228,True,7
189156.653539762,dh7vcx6meqyf,Isaura,6,mh3aej,67,9041,2,0,0,100,True,6
189166.651603654,dh7vcx6meqyf,Isaura,7,22n0z4,13,39516,2,0,100,0,True,5
189167.353248682,dh7vcx6meqyf,Isaura,7,mh3aej,66,30110,1,0,0,228,True,5
189167.723014253,dh7vcx6meqyf,Isaura,7,ionngb,2,60624,2,0,0,100,True,4
189167.727773448,dh7vcx6meqyf,Isaura,7,22n0z4,2,22558,2,0,100,0,True,3
189168.417277143,dh7vcx6meqyf,Isaura,7,22n0z4,12,50084,1,0,0,228,True,3
189169.112897872,dh7vcx6meqyf,Isaura,7,ionngb,54,19176,1,0,0,228,True,4
189169.117761192,dh7vcx6meqyf,Isaura,7,22n0z4,0,54297,2,0,100,0,True,3
189169.122125812,dh7vcx6meqyf,Isaura,7,22n0z4,32,50776,2,0,100,0,True,2
189169.823868833,dh7vcx6meqyf,Isaura,7,22n0z4,26,44994,1,0,0,228,True,3
189170.513848726,dh7vcx6meqyf,Isaura,7,22n0z4,57,42983,1,0,0,228,True,4
189171.222397654,dh7vcx6meqyf,Isaura,7,22n0z4,48,59860,1,0,0,228,True,4
189171.926106944,dh7vcx6meqyf,Isaura,7,ionngb,69,9880,1,0,0,228,True,5
189171.932055752,dh7vcx6meqyf,Isaura,7,22n0z4,39,22857,2,0,100,0,True,4
189172.316410189,dh7vcx6meqyf,Isaura,7,ionngb,5,25502,2,0,0,100,True,4
189173.006810657,dh7vcx6meqyf,Isaura,7,22n0z4,46,51629,1,0,0,228,True,3
189173.69083947,dh7vcx6meqyf,Isaura,7,22n0z4,57,61587,1,0,0,228,True,3
189173.695595603,dh7vcx6meqyf,Isaura,7,22n0z4,26,44994,2,0,100,0,True,2
189174.068655012,dh7vcx6meqyf,Isaura,7,mh3aej,28,20184,2,0,0,100,True,2
189174.073541823,dh7vcx6meqyf,Isaura,7,22n0z4,37,34774,2,0,100,0,True,1
189174.079115111,dh7vcx6meqyf,Isaura,7,22n0z4,72,53556,2,0,100,0,True,0
189174.241160257,dh7vcx6meqyf,Isaura,7,22n0z4,31,9545,2,0,100,0,True,0
189176.183756013,dh7vcx6meqyf,Isaura,7,ionngb,43,22421,1,0,0,228,True,1
189176.188393838,dh7vcx6meqyf,Isaura,7,22n0z4,19,45845,2,0,100,0,True,0
189177.477686068,dh7vcx6meqyf,Isaura,8,ionngb,78,21122,1,0,0,228,True,2
189177.848602392,dh7vcx6meqyf,Isaura,8,mh3aej,59,55907,2,0,0,100,True,1
189177.853418398,dh7vcx6meqyf,Isaura,8,22n0z4,57,61587,2,0,100,0,True,0
189178.245745533,dh7vcx6meqyf,Isaura,8,ionngb,78,21122,2,0,0,100,True,0
189180.063696937,dh7vcx6meqyf,Isaura,8,mh3aej,21,53245,2,0,0,100,True,0
189181.47992778,dh7vcx6meqyf,Isaura,8,ionngb,44,49711,2,0,0,100,True,1
189181.848463802,dh7vcx6meqyf,Isaura,8,ionngb,0,32861,2,0,0,100,True,0
189182.731926566,dh7vcx6meqyf,Isaura,8,22n0z4,12,54526,1,0,0,228,True,0
189184.045713458,dh7vcx6meqyf,Isaura,8,22n0z4,49,14382,1,0,0,228,True,0
189186.636327103,dh7vcx6meqyf,Isaura,8,22n0z4,12,50084,2,0,100,0,True,1
189186.641675156,dh7vcx6meqyf,Isaura,8,22n0z4,49,11370,2,0,100,0,True,0
189198.33473763,dh7vcx6meqyf,Isaura,10,ionngb,68,13933,2,0,0,100,True,1
189199.023544745,dh7vcx6meqyf,Isaura,10,ionngb,30,56162,1,0,0,228,True,0
189199.777284752,dh7vcx6meqyf,Isaura,10,ionngb,30,56162,2,0,0,100,True,0
189201.213722071,dh7vcx6meqyf,Isaura,10,ionngb,52,43147,2,0,0,100,True,0
189202.534010359,dh7vcx6meqyf,Isaura,10,ionngb,28,26527,2,0,0,100,True,0
