t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189104.755109297,et7j5rr93khq,Jay Z,0,clo2wq,79,8969,1,0,228,0,True,0
189105.127593509,et7j5rr93khq,Jay Z,0,clo2wq,79,8969,2,100,0,0,True,1
189105.814318551,et7j5rr93khq,Jay Z,0,ionngb,50,30629,1,0,0,228,True,0
189107.100349649,et7j5rr93khq,Jay Z,1,clo2wq,44,12135,1,0,228,0,True,0
189107.508972458,et7j5rr93khq,Jay Z,1,clo2wq,44,12135,2,100,0,0,True,0
189107.961696473,et7j5rr93khq,Jay Z,1,clo2wq,51,28108,2,0,0,100,True,0
189109.405971152,et7j5rr93khq,Jay Z,1,mh3aej,18,43290,1,0,0,228,True,1
189109.791391341,et7j5rr93khq,Jay Z,1,ionngb,70,51774,2,0,0,100,True,2
189110.502499715,et7j5rr93khq,Jay Z,1,mh3aej,33,35905,1,0,0,228,True,3
189110.506898125,et7j5rr93khq,Jay Z,1,clo2wq,53,19523,1,0,228,0,True,2
189110.882663485,et7j5rr93khq,Jay Z,1,clo2wq,53,19523,2,100,0,0,True,4
189111.566030262,et7j5rr93khq,Jay Z,1,ionngb,41,3603,1,0,0,228,True,4
189112.261853557,et7j5rr93khq,Jay Z,1,mh3aej,75,27423,1,0,0,228,True,5
189112.637242773,et7j5rr93khq,Jay Z,1,clo2wq,49,21076,2,0,0,100,True,4
189113.335056107,et7j5rr93khq,Jay Z,1,ionngb,33,56487,1,0,0,228,True,3
189113.705724323,et7j5rr93khq,Jay Z,1,clo2wq,54,29954,2,0,0,100,True,3
189113.710007157,et7j5rr93khq,Jay Z,1,clo2wq,65,7837,1,0,228,0,True,2
189114.081752006,et7j5rr93khq,Jay Z,1,clo2wq,65,7837,2,100,0,0,True,5
189114.795994591,et7j5rr93khq,Jay Z,1,mh3aej,43,36942,1,0,0,228,True,4
189115.500834999,et7j5rr93khq,Jay Z,1,mh3aej,72,14193,1,0,0,228,True,5
189115.505070003,et7j5rr93khq,Jay Z,1,clo2wq,8,13114,1,0,228,0,True,4
189115.892332324,et7j5rr93khq,Jay Z,1,clo2wq,8,13114,2,100,0,0,True,4
189116.272303534,et7j5rr93khq,Jay Z,1,ionngb,33,56487,2,0,0,100,True,4
189116.728858788,et7j5rr93khq,Jay Z,2,clo2wq,65,7837,2,0,0,100,True,3
189557.533751651,et7j5rr93khq,Jay Z,46,mh3aej,60,29252,1,0,0,228,True,2
189557.898487837,et7j5rr93khq,Jay Z,46,ionngb,56,15524,2,0,0,100,True,1
189557.904467435,et7j5rr93khq,Jay Z,46,clo2wq,16,56174,1,0,228,0,True,0
189558.272217532,et7j5rr93khq,Jay Z,46,clo2wq,16,56174,2,100,0,0,True,1
189558.632372152,et7j5rr93khq,Jay Z,46,clo2wq,16,56174,2,0,0,100,True,0
