t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189104.697488051,jb5qv5ftifol,Leigh,0,rczazu,63,4026,1,0,0,228,True,0
189108.595244938,jb5qv5ftifol,Leigh,1,rczazu,8,11975,1,0,0,228,True,1
189109.284143022,jb5qv5ftifol,Leigh,1,rczazu,15,25127,1,0,0,228,True,1
189109.669999858,jb5qv5ftifol,Leigh,1,rczazu,8,11975,2,0,0,100,True,0
189110.102419744,jb5qv5ftifol,Leigh,1,rczazu,15,25127,2,0,0,100,True,0
189115.897349057,jb5qv5ftifol,Leigh,1,rczazu,64,40602,2,0,0,100,True,0
189129.123374596,jb5qv5ftifol,Leigh,3,rczazu,56,31351,1,0,0,228,True,0
189131.861564836,jb5qv5ftifol,Leigh,3,rczazu,38,44716,1,0,0,228,True,0
189137.513199771,jb5qv5ftifol,Leigh,4,rczazu,28,32066,1,0,0,228,True,0
189138.35029938,jb5qv5ftifol,Leigh,4,rczazu,28,32066,2,0,0,100,True,0
189140.105343418,jb5qv5ftifol,Leigh,4,rczazu,23,1556,1,0,0,228,True,1
189140.789817299,jb5qv5ftifol,Leigh,4,rczazu,48,48511,1,0,0,228,True,0
189142.190178897,jb5qv5ftifol,Leigh,4,rczazu,39,55376,1,0,0,228,True,0
189142.933265611,jb5qv5ftifol,Leigh,4,rczazu,39,55376,2,0,0,100,True,0
189146.544062604,jb5qv5ftifol,Leigh,5,rczazu,65,386,1,0,0,228,True,0
189151.197758593,jb5qv5ftifol,Leigh,5,rczazu,71,14219,2,0,0,100,True,0
189154.745045561,jb5qv5ftifol,Leigh,5,rczazu,20,14850,1,0,0,228,True,0
189161.677557412,jb5qv5ftifol,Leigh,6,rczazu,0,17360,1,0,0,228,True,0
189162.509381129,jb5qv5ftifol,Leigh,6,rczazu,0,17360,2,0,0,100,True,0
189164.23452175,jb5qv5ftifol,Leigh,6,rczazu,16,42125,2,0,0,100,True,1
189164.601298212,jb5qv5ftifol,Leigh,6,rczazu,78,5161,2,0,0,100,True,0
189166.083942041,jb5qv5ftifol,Leigh,6,rczazu,27,42697,2,0,0,100,True,0
189170.000455969,jb5qv5ftifol,Leigh,7,rczazu,1,30045,2,0,0,100,True,0
189175.678352387,jb5qv5ftifol,Leigh,7,rczazu,42,42664,1,0,0,228,True,0
189178.146590143,jb5qv5ftifol,Leigh,8,rczazu,67,45071,2,0,0,100,True,0
189197.246204513,jb5qv5ftifol,Leigh,10,rczazu,9,5694,2,0,0,100,True,0
189200.392990555,jb5qv5ftifol,Leigh,10,rczazu,14,27863,2,0,0,100,True,1
189201.085060373,jb5qv5ftifol,Leigh,10,rczazu,61,4959,1,0,0,228,True,0
189207.66989606,jb5qv5ftifol,Leigh,11,rczazu,26,26834,1,0,0,228,True,0
189222.030711581,jb5qv5ftifol,Leigh,12,rczazu,36,59085,1,0,0,228,True,0
189227.681184708,jb5qv5ftifol,Leigh,13,rczazu,24,28546,1,0,0,228,True,0
189230.448120316,jb5qv5ftifol,Leigh,13,rczazu,50,53116,1,0,0,228,True,1
189230.805157077,jb5qv5ftifol,Leigh,13,rczazu,40,17926,2,0,0,100,True,0
189238.483922237,jb5qv5ftifol,Leigh,14,rczazu,77,17848,2,0,0,100,True,0
189279.267916244,jb5qv5ftifol,Leigh,18,rczazu,10,48746,1,0,0,228,True,0
189280.055033533,jb5qv5ftifol,Leigh,18,rczazu,10,48746,2,0,0,100,True,0
189282.903388759,jb5qv5ftifol,Leigh,18,rczazu,46,48556,2,0,0,100,True,1
189283.589246752,jb5qv5ftifol,Leigh,18,rczazu,25,2702,1,0,0,228,True,0
189284.895234697,jb5qv5ftifol,Leigh,18,rczazu,2,39554,1,0,0,228,True,0
189285.655836639,jb5qv5ftifol,Leigh,18,rczazu,2,39554,2,0,0,100,True,0
189296.892738079,jb5qv5ftifol,Leigh,20,rczazu,72,58712,2,0,0,100,True,0
189298.309387176,jb5qv5ftifol,Leigh,20,rczazu,35,45504,2,0,0,100,True,0
189300.303359534,jb5qv5ftifol,Leigh,20,rczazu,77,60386,1,0,0,228,True,0
189303.103913833,jb5qv5ftifol,Leigh,20,rczazu,63,10291,1,0,0,228,True,0
189305.254791137,jb5qv5ftifol,Leigh,20,rczazu,77,47108,2,0,0,100,True,0
189306.662937137,jb5qv5ftifol,Leigh,21,rczazu,63,16951,2,0,0,100,True,0
