t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189107.87464055,l3tu3qe96c5i,Stephany,1,clo2wq,44,12135,2,0,0,100,True,0
189107.942101476,l3tu3qe96c5i,Stephany,1,uftxm0,64,26015,1,0,228,0,True,0
189108.311041626,l3tu3qe96c5i,Stephany,1,uftxm0,64,26015,2,100,0,0,True,1
189108.678002686,l3tu3qe96c5i,Stephany,1,clo2wq,41,15890,2,0,0,100,True,0
189110.06828819,l3tu3qe96c5i,Stephany,1,mh3aej,1,13397,2,0,100,0,True,0
189110.169989321,l3tu3qe96c5i,Stephany,1,uftxm0,27,52087,1,0,228,0,True,0
189110.550228161,l3tu3qe96c5i,Stephany,1,uftxm0,27,52087,2,100,0,0,True,0
189115.183086577,l3tu3qe96c5i,Stephany,1,clo2wq,38,18112,2,0,0,100,True,0
189116.985703028,l3tu3qe96c5i,Stephany,2,clo2wq,66,14297,2,0,0,100,True,0
189127.004516791,l3tu3qe96c5i,Stephany,3,mh3aej,68,5034,2,0,100,0,True,0
189128.19141203,l3tu3qe96c5i,Stephany,3,clo2wq,73,9477,2,0,0,100,True,0
189130.03562339,l3tu3qe96c5i,Stephany,3,clo2wq,72,51611,2,0,0,100,True,0
189131.296551976,l3tu3qe96c5i,Stephany,3,clo2wq,0,25438,1,0,0,228,True,0
189132.535105804,l3tu3qe96c5i,Stephany,3,mh3aej,8,18238,2,0,100,0,True,0
189133.796109226,l3tu3qe96c5i,Stephany,3,clo2wq,15,11227,2,0,0,100,True,0
189136.229144679,l3tu3qe96c5i,Stephany,3,clo2wq,62,53861,2,0,0,100,True,0
189138.467387445,l3tu3qe96c5i,Stephany,4,clo2wq,31,8709,1,0,0,228,True,0
189144.98453432,l3tu3qe96c5i,Stephany,4,clo2wq,71,57416,2,0,0,100,True,0
189148.364535662,l3tu3qe96c5i,Stephany,5,mh3aej,20,24729,2,0,100,0,True,0
189150.288080575,l3tu3qe96c5i,Stephany,5,clo2wq,39,2882,1,0,0,228,True,0
189151.121682244,l3tu3qe96c5i,Stephany,5,clo2wq,58,44091,1,0,0,228,True,2
189151.126296728,l3tu3qe96c5i,Stephany,5,mh3aej,39,63963,2,0,100,0,True,1
189151.48301235,l3tu3qe96c5i,Stephany,5,clo2wq,39,2882,2,0,0,100,True,0
189152.08527188,l3tu3qe96c5i,Stephany,5,clo2wq,58,44091,2,0,0,100,True,0
189154.591760915,l3tu3qe96c5i,Stephany,5,clo2wq,78,42741,1,0,0,228,True,0
189155.297273709,l3tu3qe96c5i,Stephany,5,clo2wq,52,42044,2,0,0,100,True,0
189156.018574036,l3tu3qe96c5i,Stephany,5,clo2wq,36,62677,2,0,0,100,True,0
189167.459992538,l3tu3qe96c5i,Stephany,7,clo2wq,13,53036,1,0,0,228,True,0
189168.225599521,l3tu3qe96c5i,Stephany,7,clo2wq,13,53036,2,0,0,100,True,1
189168.599620958,l3tu3qe96c5i,Stephany,7,clo2wq,60,35459,2,0,0,100,True,0
189169.403597896,l3tu3qe96c5i,Stephany,7,clo2wq,11,14394,1,0,0,228,True,0
189170.278561277,l3tu3qe96c5i,Stephany,7,clo2wq,11,14394,2,0,0,100,True,0
189173.149751039,l3tu3qe96c5i,Stephany,7,clo2wq,24,3636,2,0,0,100,True,1
189173.15436981,l3tu3qe96c5i,Stephany,7,mh3aej,61,48854,2,0,100,0,True,0
189179.410041594,l3tu3qe96c5i,Stephany,8,clo2wq,59,40962,2,0,0,100,True,0
189181.761684675,l3tu3qe96c5i,Stephany,8,clo2wq,12,18461,2,0,0,100,True,0
189181.884169268,l3tu3qe96c5i,Stephany,8,mh3aej,14,5592,2,0,100,0,True,0
189182.814472684,l3tu3qe96c5i,Stephany,8,clo2wq,61,6332,2,0,0,100,True,0
189185.859143544,l3tu3qe96c5i,Stephany,8,clo2wq,26,31435,2,0,0,100,True,2
189185.864043671,l3tu3qe96c5i,Stephany,8,mh3aej,51,26530,2,0,100,0,True,1
189186.58459364,l3tu3qe96c5i,Stephany,8,clo2wq,76,45367,1,0,0,228,True,0
189200.366287574,l3tu3qe96c5i,Stephany,10,clo2wq,63,38804,1,0,0,228,True,0
189201.789804556,l3tu3qe96c5i,Stephany,10,clo2wq,63,38804,2,0,0,100,True,0
189210.631648439,l3tu3qe96c5i,Stephany,11,clo2wq,37,45662,2,0,0,100,True,0
189211.064472219,l3tu3qe96c5i,Stephany,11,clo2wq,55,3051,2,0,0,100,True,0
189212.209717963,l3tu3qe96c5i,Stephany,11,clo2wq,74,64182,2,0,0,100,True,0
189215.202216967,l3tu3qe96c5i,Stephany,11,clo2wq,22,31597,1,0,0,228,True,0
189215.727733423,l3tu3qe96c5i,Stephany,11,clo2wq,22,23258,2,0,0,100,True,0
189216.152477821,l3tu3qe96c5i,Stephany,11,clo2wq,22,31597,2,0,0,100,True,0
189218.67480319,l3tu3qe96c5i,Stephany,12,clo2wq,28,29431,2,0,0,100,True,0
189219.489044729,l3tu3qe96c5i,Stephany,12,mh3aej,60,38433,2,0,100,0,True,0
189220.402877757,l3tu3qe96c5i,Stephany,12,clo2wq,17,44183,1,0,0,228,True,0
189221.151554461,l3tu3qe96c5i,Stephany,12,clo2wq,17,44183,2,0,0,100,True,0
189223.02229751,l3tu3qe96c5i,Stephany,12,clo2wq,28,32878,2,0,0,100,True,0
189235.301378883,l3tu3qe96c5i,Stephany,13,clo2wq,76,47444,2,0,0,100,True,0
189237.775716531,l3tu3qe96c5i,Stephany,14,clo2wq,17,898,2,0,0,100,True,0
189238.435514461,l3tu3qe96c5i,Stephany,14,clo2wq,64,2503,2,0,0,100,True,0
189341.109117504,l3tu3qe96c5i,Stephany,24,uftxm0,12,53061,1,0,228,0,True,0
189341.4649542,l3tu3qe96c5i,Stephany,24,uftxm0,12,53061,2,100,0,0,True,0
189341.893631443,l3tu3qe96c5i,Stephany,24,uftxm0,60,12881,1,0,228,0,True,0
189342.258926046,l3tu3qe96c5i,Stephany,24,uftxm0,60,12881,2,100,0,0,True,0
189342.566282378,l3tu3qe96c5i,Stephany,24,uftxm0,20,3688,1,0,228,0,True,0
189342.923388403,l3tu3qe96c5i,Stephany,24,uftxm0,20,3688,2,100,0,0,True,0
189352.427890873,l3tu3qe96c5i,Stephany,25,uftxm0,24,21949,1,0,228,0,True,0
189352.79309557,l3tu3qe96c5i,Stephany,25,uftxm0,24,21949,2,100,0,0,True,0
189358.70783302,l3tu3qe96c5i,Stephany,26,uftxm0,70,677,1,0,228,0,True,0
189359.072233916,l3tu3qe96c5i,Stephany,26,uftxm0,70,677,2,100,0,0,True,0
189360.810652109,l3tu3qe96c5i,Stephany,26,uftxm0,17,17789,1,0,228,0,True,0
189361.180323586,l3tu3qe96c5i,Stephany,26,uftxm0,17,17789,2,100,0,0,True,0
189362.214828779,l3tu3qe96c5i,Stephany,26,uftxm0,62,38497,1,0,228,0,True,0
189362.576128248,l3tu3qe96c5i,Stephany,26,uftxm0,62,38497,2,100,0,0,True,0
189381.482869582,l3tu3qe96c5i,Stephany,28,uftxm0,3,38888,1,0,228,0,True,0
189381.851219052,l3tu3qe96c5i,Stephany,28,uftxm0,3,38888,2,100,0,0,True,0
189386.033092572,l3tu3qe96c5i,Stephany,28,uftxm0,15,51628,1,0,228,0,True,0
189386.396126164,l3tu3qe96c5i,Stephany,28,uftxm0,15,51628,2,100,0,0,True,0
189479.46735587,l3tu3qe96c5i,Stephany,38,uftxm0,38,667,1,0,228,0,True,0
189479.82527813,l3tu3qe96c5i,Stephany,38,uftxm0,38,667,2,100,0,0,True,0
189486.131153504,l3tu3qe96c5i,Stephany,38,uftxm0,43,26994,1,0,228,0,True,0
189486.500169878,l3tu3qe96c5i,Stephany,38,uftxm0,43,26994,2,100,0,0,True,0
189497.816739008,l3tu3qe96c5i,Stephany,40,uftxm0,13,32536,1,0,228,0,True,0
189498.177617185,l3tu3qe96c5i,Stephany,40,uftxm0,13,32536,2,100,0,0,True,0
189520.168884093,l3tu3qe96c5i,Stephany,42,uftxm0,50,41374,1,0,228,0,True,0
189520.536513588,l3tu3qe96c5i,Stephany,42,uftxm0,50,41374,2,100,0,0,True,0
189521.60577693,l3tu3qe96c5i,Stephany,42,uftxm0,50,59749,1,0,228,0,True,0
189521.971419806,l3tu3qe96c5i,Stephany,42,uftxm0,50,59749,2,100,0,0,True,0
189522.258389659,l3tu3qe96c5i,Stephany,42,uftxm0,78,9434,1,0,228,0,True,0
189522.63123253,l3tu3qe96c5i,Stephany,42,uftxm0,78,9434,2,100,0,0,True,0
189526.507382517,l3tu3qe96c5i,Stephany,42,uftxm0,78,44484,1,0,228,0,True,0
189526.877162988,l3tu3qe96c5i,Stephany,42,uftxm0,78,44484,2,100,0,0,True,0
