t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189104.796287377,mbtw6hox57vy,Jay Z,0,e4vh3n,15,53843,1,0,0,228,True,0
189149.72813651,mbtw6hox57vy,Jay Z,5,e4vh3n,74,2899,2,0,0,100,True,0
189152.270566793,mbtw6hox57vy,Jay Z,5,e4vh3n,60,62424,1,0,0,228,True,0
189153.064707773,mbtw6hox57vy,Jay Z,5,e4vh3n,60,62424,2,0,0,100,True,0
189155.214196301,mbtw6hox57vy,Jay Z,5,e4vh3n,19,25209,2,0,0,100,True,0
189158.57448822,mbtw6hox57vy,Jay Z,6,clo2wq,46,37549,1,0,228,0,True,0
189158.939058813,mbtw6hox57vy,Jay Z,6,clo2wq,46,37549,2,100,0,0,True,0
189160.590300669,mbtw6hox57vy,Jay Z,6,e4vh3n,43,17109,2,0,0,100,True,0
189167.651581202,mbtw6hox57vy,Jay Z,7,e4vh3n,68,7072,1,0,0,228,True,1
189167.656574428,mbtw6hox57vy,Jay Z,7,clo2wq,60,35459,1,0,228,0,True,0
189168.021778739,mbtw6hox57vy,Jay Z,7,clo2wq,60,35459,2,100,0,0,True,0
189178.667300757,mbtw6hox57vy,Jay Z,8,e4vh3n,2,24339,2,0,0,100,True,1
189178.671836765,mbtw6hox57vy,Jay Z,8,clo2wq,59,40962,1,0,228,0,True,0
189179.036123594,mbtw6hox57vy,Jay Z,8,clo2wq,59,40962,2,100,0,0,True,0
189179.140985497,mbtw6hox57vy,Jay Z,8,clo2wq,20,56585,1,0,228,0,True,0
189179.521917319,mbtw6hox57vy,Jay Z,8,clo2wq,20,56585,2,100,0,0,True,0
189182.901115594,mbtw6hox57vy,Jay Z,8,e4vh3n,23,38551,2,0,0,100,True,0
189184.899272839,mbtw6hox57vy,Jay Z,8,e4vh3n,47,39889,2,0,0,100,True,0
189186.646402641,mbtw6hox57vy,Jay Z,9,clo2wq,76,45367,1,0,228,0,True,0
189187.005720233,mbtw6hox57vy,Jay Z,9,clo2wq,76,45367,2,100,0,0,True,0
189189.510677869,mbtw6hox57vy,Jay Z,9,e4vh3n,24,26034,2,0,0,100,True,0
189237.702284152,mbtw6hox57vy,Jay Z,14,clo2wq,64,2503,1,0,228,0,True,0
189238.069794194,mbtw6hox57vy,Jay Z,14,clo2wq,64,2503,2,100,0,0,True,0
189239.658304209,mbtw6hox57vy,Jay Z,14,e4vh3n,50,39226,2,0,0,100,True,1
189240.340235879,mbtw6hox57vy,Jay Z,14,e4vh3n,69,25752,1,0,0,228,True,0
189241.084541089,mbtw6hox57vy,Jay Z,14,e4vh3n,69,25752,2,0,0,100,True,0
189246.393001749,mbtw6hox57vy,Jay Z,14,e4vh3n,40,16993,1,0,0,228,True,1
189247.09889406,mbtw6hox57vy,Jay Z,15,e4vh3n,0,11449,1,0,0,228,True,0
189248.138872274,mbtw6hox57vy,Jay Z,15,e4vh3n,7,27838,1,0,0,228,True,1
189248.499563003,mbtw6hox57vy,Jay Z,15,e4vh3n,58,58932,2,0,0,100,True,0
189248.878205905,mbtw6hox57vy,Jay Z,15,e4vh3n,7,27838,2,0,0,100,True,0
189249.846372653,mbtw6hox57vy,Jay Z,15,e4vh3n,40,37385,1,0,0,228,True,0
189253.334337465,mbtw6hox57vy,Jay Z,15,e4vh3n,76,19706,1,0,0,228,True,1
189253.70236707,mbtw6hox57vy,Jay Z,15,e4vh3n,34,55547,2,0,0,100,True,0
189256.863475898,mbtw6hox57vy,Jay Z,16,e4vh3n,34,62744,1,0,0,228,True,0
189258.243893077,mbtw6hox57vy,Jay Z,16,e4vh3n,0,42918,1,0,0,228,True,1
189258.607410669,mbtw6hox57vy,Jay Z,16,e4vh3n,0,48092,2,0,0,100,True,0
189259.026196157,mbtw6hox57vy,Jay Z,16,e4vh3n,0,42918,2,0,0,100,True,0
189259.652434449,mbtw6hox57vy,Jay Z,16,e4vh3n,0,35563,2,0,0,100,True,0
