t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189104.72508436,v88o0l7z767k,Gilbert,0,uftxm0,39,14664,1,0,0,228,True,1
189105.464329489,v88o0l7z767k,Gilbert,0,c32wti,1,22384,1,0,0,228,True,0
189107.204060653,v88o0l7z767k,Gilbert,1,uftxm0,64,26015,1,0,0,228,True,2
189107.887488144,v88o0l7z767k,Gilbert,1,c32wti,20,40266,1,0,0,228,True,3
189108.271162189,v88o0l7z767k,Gilbert,1,uftxm0,7,41920,2,0,0,100,True,2
189108.965073191,v88o0l7z767k,Gilbert,1,clo2wq,53,19523,1,0,0,228,True,1
189109.332683844,v88o0l7z767k,Gilbert,1,clo2wq,44,12135,2,0,0,100,True,1
189109.708770196,v88o0l7z767k,Gilbert,1,uftxm0,64,26015,2,0,0,100,True,1
189110.090038341,v88o0l7z767k,Gilbert,1,c32wti,20,40266,2,0,0,100,True,1
189110.767624491,v88o0l7z767k,Gilbert,1,rczazu,68,12039,1,0,0,228,True,0
189111.584147438,v88o0l7z767k,Gilbert,1,c32wti,67,4968,2,0,0,100,True,0
189113.580836854,v88o0l7z767k,Gilbert,1,c32wti,43,60295,1,0,0,228,True,0
189114.732035739,v88o0l7z767k,Gilbert,1,rczazu,34,62718,1,0,0,228,True,0
189116.553588315,v88o0l7z767k,Gilbert,2,rczazu,12,22939,1,0,0,228,True,0
189117.410788153,v88o0l7z767k,Gilbert,2,c32wti,69,20255,2,0,0,100,True,0
189118.398207183,v88o0l7z767k,Gilbert,2,clo2wq,75,64032,1,0,0,228,True,0
189121.970623014,v88o0l7z767k,Gilbert,2,clo2wq,75,64032,2,0,0,100,True,0
189123.008650425,v88o0l7z767k,Gilbert,2,clo2wq,73,9477,1,0,0,228,True,0
189126.404073759,v88o0l7z767k,Gilbert,2,clo2wq,6,53049,1,0,0,228,True,0
189127.172131704,v88o0l7z767k,Gilbert,3,clo2wq,69,925,1,0,0,228,True,2
189127.541026313,v88o0l7z767k,Gilbert,3,clo2wq,25,7457,2,0,0,100,True,1
189128.231011633,v88o0l7z767k,Gilbert,3,clo2wq,32,5683,1,0,0,228,True,0
189129.403877255,v88o0l7z767k,Gilbert,3,clo2wq,56,25003,2,0,0,100,True,0
189130.476932116,v88o0l7z767k,Gilbert,3,rczazu,38,44716,1,0,0,228,True,1
189130.840030175,v88o0l7z767k,Gilbert,3,clo2wq,72,51611,2,0,0,100,True,0
189131.866261511,v88o0l7z767k,Gilbert,3,rczazu,7,51771,1,0,0,228,True,1
189132.565396222,v88o0l7z767k,Gilbert,3,clo2wq,71,57416,1,0,0,228,True,0
189133.290009151,v88o0l7z767k,Gilbert,3,rczazu,33,36504,1,0,0,228,True,0
189134.089068905,v88o0l7z767k,Gilbert,3,clo2wq,2,11625,1,0,0,228,True,2
189134.449254676,v88o0l7z767k,Gilbert,3,clo2wq,15,11227,2,0,0,100,True,2
189135.143238525,v88o0l7z767k,Gilbert,3,c32wti,0,45316,1,0,0,228,True,1
189135.506887313,v88o0l7z767k,Gilbert,3,clo2wq,1,11564,2,0,0,100,True,1
189136.193749551,v88o0l7z767k,Gilbert,3,c32wti,46,5480,1,0,0,228,True,2
189136.89142417,v88o0l7z767k,Gilbert,4,c32wti,35,63778,1,0,0,228,True,2
189137.256259784,v88o0l7z767k,Gilbert,4,clo2wq,23,34560,2,0,0,100,True,1
189137.636704735,v88o0l7z767k,Gilbert,4,c32wti,44,21368,2,0,0,100,True,0
189140.003104835,v88o0l7z767k,Gilbert,4,clo2wq,31,8709,2,0,0,100,True,0
189147.030200934,v88o0l7z767k,Gilbert,5,c32wti,14,37406,1,0,0,228,True,1
189147.418660053,v88o0l7z767k,Gilbert,5,clo2wq,77,619,2,0,0,100,True,0
189148.069913502,v88o0l7z767k,Gilbert,5,rczazu,65,386,2,0,0,100,True,1
189148.752812687,v88o0l7z767k,Gilbert,5,rczazu,71,14219,1,0,0,228,True,0
189149.287831747,v88o0l7z767k,Gilbert,5,c32wti,14,37406,2,0,0,100,True,1
189149.97612005,v88o0l7z767k,Gilbert,5,rczazu,21,227,1,0,0,228,True,0
189151.287168663,v88o0l7z767k,Gilbert,5,rczazu,55,64434,1,0,0,228,True,0
189151.959165219,v88o0l7z767k,Gilbert,5,rczazu,71,14219,2,0,0,100,True,0
189152.683866489,v88o0l7z767k,Gilbert,5,rczazu,20,14850,1,0,0,228,True,1
189153.060010575,v88o0l7z767k,Gilbert,5,clo2wq,10,43942,2,0,0,100,True,0
189153.895138936,v88o0l7z767k,Gilbert,5,clo2wq,78,42741,1,0,0,228,True,1
189154.579897174,v88o0l7z767k,Gilbert,5,rczazu,58,10838,1,0,0,228,True,4
189155.279449831,v88o0l7z767k,Gilbert,5,clo2wq,40,44508,1,0,0,228,True,4
189155.958566175,v88o0l7z767k,Gilbert,5,c32wti,41,29025,1,0,0,228,True,5
189156.333749384,v88o0l7z767k,Gilbert,5,rczazu,55,64434,2,0,0,100,True,5
189156.737809982,v88o0l7z767k,Gilbert,6,rczazu,21,227,2,0,0,100,True,6
189157.43567661,v88o0l7z767k,Gilbert,6,rczazu,31,39432,1,0,0,228,True,6
