t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189118.873502892,zf8ic7rit7zk,Isaura,2,e4vh3n,11,53164,2,0,100,0,True,0
189125.236436678,zf8ic7rit7zk,Isaura,2,e4vh3n,10,29869,2,0,100,0,True,0
189230.305581025,zf8ic7rit7zk,Isaura,13,e4vh3n,61,20579,2,0,100,0,True,0
189240.447804354,zf8ic7rit7zk,Isaura,14,e4vh3n,50,39226,2,0,100,0,True,0
189241.816622899,zf8ic7rit7zk,Isaura,14,e4vh3n,69,25752,2,0,100,0,True,0
189242.419424839,zf8ic7rit7zk,Isaura,14,e4vh3n,5,63256,2,0,100,0,True,0
189245.35712864,zf8ic7rit7zk,Isaura,14,e4vh3n,52,8513,2,0,100,0,True,0
189248.184039568,zf8ic7rit7zk,Isaura,15,e4vh3n,40,16993,2,0,100,0,True,0
189256.930499897,zf8ic7rit7zk,Isaura,15,e4vh3n,58,11219,2,0,100,0,True,0
189256.973191089,zf8ic7rit7zk,Isaura,16,e4vh3n,0,64848,2,0,100,0,True,0
189257.669893431,zf8ic7rit7zk,Isaura,16,e4vh3n,28,13975,2,0,100,0,True,0
189260.355674641,zf8ic7rit7zk,Isaura,16,e4vh3n,0,14283,2,0,100,0,True,0
189290.140567221,zf8ic7rit7zk,Isaura,19,e4vh3n,28,18267,2,0,100,0,True,0
