t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189718.49132465,1repsemliwmw,Annelle,2,gkjg4a,16,6585,2,0,100,0,True,0
189718.958962065,1repsemliwmw,Annelle,2,gkjg4a,46,46536,2,0,100,0,True,0
189723.774752325,1repsemliwmw,Annelle,2,ghmjsd,66,54808,1,0,0,228,True,0
189726.717421692,1repsemliwmw,Annelle,2,ghmjsd,44,33636,1,0,0,228,True,1
189726.722350909,1repsemliwmw,Annelle,2,gkjg4a,6,55826,2,0,100,0,True,0
189730.670791308,1repsemliwmw,Annelle,3,ghmjsd,13,27915,1,0,0,228,True,0
189732.78677291,1repsemliwmw,Annelle,3,ghmjsd,79,23,1,0,0,228,True,0
189739.40589801,1repsemliwmw,Annelle,4,ghmjsd,32,22481,2,0,0,100,True,0
189741.705778255,1repsemliwmw,Annelle,4,gkjg4a,30,45377,2,0,100,0,True,0
189759.282788866,1repsemliwmw,Annelle,6,gkjg4a,22,2192,2,0,100,0,True,0
189764.297603742,1repsemliwmw,Annelle,6,gkjg4a,34,1729,2,0,100,0,True,0
189765.402966003,1repsemliwmw,Annelle,6,gkjg4a,23,10144,2,0,100,0,True,0
189770.814343782,1repsemliwmw,Annelle,7,gkjg4a,60,45562,2,0,100,0,True,0
189772.852966688,1repsemliwmw,Annelle,7,ghmjsd,6,32188,1,0,0,228,True,1
189772.858280789,1repsemliwmw,Annelle,7,gkjg4a,1,62689,2,0,100,0,True,0
189773.444958187,1repsemliwmw,Annelle,7,ghmjsd,78,50699,2,0,0,100,True,0
189773.81313753,1repsemliwmw,Annelle,7,gkjg4a,77,57705,2,0,100,0,True,0
189775.030946266,1repsemliwmw,Annelle,7,ghmjsd,59,5131,1,0,0,228,True,0
189777.392906219,1repsemliwmw,Annelle,7,ghmjsd,65,25860,2,0,0,100,True,2
189777.765360597,1repsemliwmw,Annelle,7,ghmjsd,6,32188,2,0,0,100,True,1
189777.769705312,1repsemliwmw,Annelle,7,gkjg4a,43,26165,2,0,100,0,True,0
189778.873042776,1repsemliwmw,Annelle,8,ghmjsd,46,28864,1,0,0,228,True,0
189779.923936715,1repsemliwmw,Annelle,8,ghmjsd,59,5131,2,0,0,100,True,0
189780.967442855,1repsemliwmw,Annelle,8,ghmjsd,49,42262,1,0,0,228,True,1
189780.975759395,1repsemliwmw,Annelle,8,gkjg4a,20,17006,2,0,100,0,True,0
189781.688499648,1repsemliwmw,Annelle,8,ghmjsd,19,18566,1,0,0,228,True,2
189782.061346417,1repsemliwmw,Annelle,8,ghmjsd,75,50293,2,0,0,100,True,1
189782.065717108,1repsemliwmw,Annelle,8,gkjg4a,72,53595,2,0,100,0,True,0
189783.22788648,1repsemliwmw,Annelle,8,ghmjsd,46,28864,2,0,0,100,True,0
189784.494523406,1repsemliwmw,Annelle,8,ghmjsd,22,1170,1,0,0,228,True,0
189785.204932787,1repsemliwmw,Annelle,8,ghmjsd,41,7397,1,0,0,228,True,0
189789.818948682,1repsemliwmw,Annelle,9,ghmjsd,55,11493,1,0,0,228,True,0
189790.52675488,1repsemliwmw,Annelle,9,ghmjsd,56,59890,1,0,0,228,True,0
189797.517603711,1repsemliwmw,Annelle,9,ghmjsd,33,22608,1,0,0,228,True,0
189800.346304589,1repsemliwmw,Annelle,10,ghmjsd,72,42359,1,0,0,228,True,0
189804.200887469,1repsemliwmw,Annelle,10,ghmjsd,20,11375,1,0,0,228,True,0
189806.276584859,1repsemliwmw,Annelle,10,gkjg4a,29,35661,2,0,100,0,True,0
189806.992842593,1repsemliwmw,Annelle,10,ghmjsd,50,714,1,0,0,228,True,0
189807.326991812,1repsemliwmw,Annelle,10,gkjg4a,14,44367,2,0,100,0,True,0
189809.322065293,1repsemliwmw,Annelle,11,gkjg4a,45,58283,2,0,100,0,True,0
189809.944631041,1repsemliwmw,Annelle,11,ghmjsd,50,714,2,0,0,100,True,0
189811.549250565,1repsemliwmw,Annelle,11,gkjg4a,33,62790,2,0,100,0,True,0
189814.822715234,1repsemliwmw,Annelle,11,ghmjsd,48,2326,2,0,0,100,True,0
189815.741004682,1repsemliwmw,Annelle,11,ghmjsd,18,14540,1,0,0,228,True,0
189818.126608659,1repsemliwmw,Annelle,11,gkjg4a,74,11794,2,0,100,0,True,0
189819.802929008,1repsemliwmw,Annelle,12,gkjg4a,15,45589,2,0,100,0,True,0
189825.589608347,1repsemliwmw,Annelle,12,ghmjsd,11,32334,1,0,0,228,True,2
189826.276669844,1repsemliwmw,Annelle,12,4bvex1,2,30075,1,0,0,228,True,1
189826.28157791,1repsemliwmw,Annelle,12,gkjg4a,53,45876,2,0,100,0,True,0
189827.633705469,1repsemliwmw,Annelle,12,4bvex1,69,61617,1,0,0,228,True,1
189828.326102707,1repsemliwmw,Annelle,12,ghmjsd,11,59151,1,0,0,228,True,0
189859.453982378,1repsemliwmw,Annelle,16,4bvex1,62,20678,1,0,0,228,True,0
189871.681786392,1repsemliwmw,Annelle,17,4bvex1,38,28403,2,0,0,100,True,0
189890.954062071,1repsemliwmw,Annelle,19,4bvex1,48,29043,1,0,0,228,True,0
189893.067407429,1repsemliwmw,Annelle,19,4bvex1,4,1045,1,0,0,228,True,0
189898.690490411,1repsemliwmw,Annelle,19,4bvex1,57,34656,1,0,0,228,True,0
189903.581398706,1repsemliwmw,Annelle,20,4bvex1,36,20252,1,0,0,228,True,0
189908.882606686,1repsemliwmw,Annelle,21,4bvex1,50,42643,1,0,0,228,True,0
189911.752764638,1repsemliwmw,Annelle,21,4bvex1,50,42643,2,0,0,100,True,0
190023.517117809,1repsemliwmw,Annelle,32,4bvex1,17,65308,1,0,0,228,True,0
190024.933274236,1repsemliwmw,Annelle,32,4bvex1,39,6682,2,0,0,100,True,1
190025.623102304,1repsemliwmw,Annelle,32,4bvex1,51,36227,1,0,0,228,True,0
