t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189707.200541422,7msod2kh0vtm,Cordia,0,4bvex1,20,44559,1,0,0,228,True,0
189708.002715963,7msod2kh0vtm,Cordia,0,4bvex1,28,2087,1,0,0,228,True,1
189708.007357983,7msod2kh0vtm,Cordia,0,bz8tbo,57,6808,1,0,228,0,True,0
189708.492371572,7msod2kh0vtm,Cordia,1,bz8tbo,57,6808,2,100,0,0,True,0
189738.785340361,7msod2kh0vtm,Cordia,4,bz8tbo,48,17640,1,0,228,0,True,0
189739.15869285,7msod2kh0vtm,Cordia,4,bz8tbo,48,17640,2,100,0,0,True,0
189739.845102552,7msod2kh0vtm,Cordia,4,bz8tbo,23,55477,1,0,228,0,True,0
189740.216743107,7msod2kh0vtm,Cordia,4,bz8tbo,23,55477,2,100,0,0,True,0
189741.997564422,7msod2kh0vtm,Cordia,4,4bvex1,0,23626,2,0,0,100,True,0
189745.69323347,7msod2kh0vtm,Cordia,4,bz8tbo,13,47258,1,0,228,0,True,0
189746.066188833,7msod2kh0vtm,Cordia,4,bz8tbo,13,47258,2,100,0,0,True,0
189749.991623909,7msod2kh0vtm,Cordia,5,bz8tbo,70,14257,1,0,228,0,True,0
189750.376285417,7msod2kh0vtm,Cordia,5,bz8tbo,70,14257,2,100,0,0,True,0
189783.133628789,7msod2kh0vtm,Cordia,8,bz8tbo,67,12140,1,0,228,0,True,0
189783.509878977,7msod2kh0vtm,Cordia,8,bz8tbo,67,12140,2,100,0,0,True,0
189786.627219506,7msod2kh0vtm,Cordia,8,bz8tbo,18,56636,1,0,228,0,True,0
189786.990515701,7msod2kh0vtm,Cordia,8,bz8tbo,18,56636,2,100,0,0,True,0
189791.719510767,7msod2kh0vtm,Cordia,9,bz8tbo,15,25602,1,0,228,0,True,0
189792.136484777,7msod2kh0vtm,Cordia,9,bz8tbo,15,25602,2,100,0,0,True,0
189833.279460199,7msod2kh0vtm,Cordia,13,4bvex1,29,51274,1,0,0,228,True,0
189834.103576834,7msod2kh0vtm,Cordia,13,4bvex1,40,53019,2,0,0,100,True,0
189838.152259928,7msod2kh0vtm,Cordia,13,4bvex1,33,5348,1,0,0,228,True,0
189840.64112277,7msod2kh0vtm,Cordia,14,4bvex1,45,54411,1,0,0,228,True,1
189841.327222202,7msod2kh0vtm,Cordia,14,4bvex1,43,47126,1,0,0,228,True,0
189843.180783426,7msod2kh0vtm,Cordia,14,4bvex1,43,47126,2,0,0,100,True,0
189844.165958849,7msod2kh0vtm,Cordia,14,4bvex1,14,14317,1,0,0,228,True,0
189846.271403143,7msod2kh0vtm,Cordia,14,4bvex1,15,11815,1,0,0,228,True,1
189846.649525255,7msod2kh0vtm,Cordia,14,4bvex1,3,7994,2,0,0,100,True,0
189849.431590706,7msod2kh0vtm,Cordia,15,4bvex1,41,49639,1,0,0,228,True,0
189890.584767767,7msod2kh0vtm,Cordia,19,4bvex1,18,57412,1,0,0,228,True,0
189895.865325243,7msod2kh0vtm,Cordia,19,4bvex1,7,5807,1,0,0,228,True,0
189896.979337562,7msod2kh0vtm,Cordia,19,4bvex1,67,38178,2,0,0,100,True,0
189898.797079426,7msod2kh0vtm,Cordia,20,4bvex1,11,174,2,0,0,100,True,0
189899.820637779,7msod2kh0vtm,Cordia,20,4bvex1,22,61082,2,0,0,100,True,0
189900.814231078,7msod2kh0vtm,Cordia,20,4bvex1,26,20514,1,0,0,228,True,1
189901.181465225,7msod2kh0vtm,Cordia,20,4bvex1,79,41375,2,0,0,100,True,0
189901.926364095,7msod2kh0vtm,Cordia,20,4bvex1,70,12256,2,0,0,100,True,0
189902.59396325,7msod2kh0vtm,Cordia,20,4bvex1,26,20514,2,0,0,100,True,0
189903.284411988,7msod2kh0vtm,Cordia,20,4bvex1,31,43386,1,0,0,228,True,0
189904.284455609,7msod2kh0vtm,Cordia,20,4bvex1,36,20252,1,0,0,228,True,0
189909.58150359,7msod2kh0vtm,Cordia,21,4bvex1,50,42643,1,0,0,228,True,0
189912.076432528,7msod2kh0vtm,Cordia,21,4bvex1,10,42496,2,0,0,100,True,0
190020.706445581,7msod2kh0vtm,Cordia,32,4bvex1,6,29676,1,0,0,228,True,0
190023.204516294,7msod2kh0vtm,Cordia,32,4bvex1,73,43638,2,0,0,100,True,0
190029.592276731,7msod2kh0vtm,Cordia,33,4bvex1,17,3880,2,0,0,100,True,0
