t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189710.349145603,8x66plteldkw,Twila,1,4bvex1,12,28415,1,0,228,0,True,0
189710.716230223,8x66plteldkw,Twila,1,4bvex1,12,28415,2,100,0,0,True,0
189833.984961003,8x66plteldkw,Twila,13,4bvex1,29,51274,1,0,228,0,True,0
189834.353501942,8x66plteldkw,Twila,13,4bvex1,29,51274,2,100,0,0,True,0
189835.352082077,8x66plteldkw,Twila,13,4bvex1,56,47793,1,0,228,0,True,0
189835.712526521,8x66plteldkw,Twila,13,4bvex1,56,47793,2,100,0,0,True,0
189836.247020598,8x66plteldkw,Twila,13,4bvex1,19,34777,1,0,228,0,True,0
189836.616306836,8x66plteldkw,Twila,13,4bvex1,19,34777,2,100,0,0,True,0
189888.91994723,8x66plteldkw,Twila,19,4bvex1,33,5348,1,0,228,0,True,0
189889.289674557,8x66plteldkw,Twila,19,4bvex1,33,5348,2,100,0,0,True,0
