t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189707.966719531,97jg1krp6sw9,Elvera,0,4bvex1,20,44559,1,0,0,228,True,0
189710.333852191,97jg1krp6sw9,Elvera,1,4bvex1,12,28415,1,0,0,228,True,0
189711.334069096,97jg1krp6sw9,Elvera,1,258zc9,42,29086,2,0,100,0,True,0
189712.178538371,97jg1krp6sw9,Elvera,1,zy3aln,23,31687,1,0,228,0,True,0
189712.562715743,97jg1krp6sw9,Elvera,1,zy3aln,23,31687,2,100,0,0,True,0
189714.931382757,97jg1krp6sw9,Elvera,1,zz30re,36,43765,1,0,228,0,True,0
189715.328246825,97jg1krp6sw9,Elvera,1,zz30re,36,43765,2,100,0,0,True,0
189717.426241745,97jg1krp6sw9,Elvera,1,zz30re,22,50220,1,0,228,0,True,0
189717.787257325,97jg1krp6sw9,Elvera,1,zz30re,22,50220,2,100,0,0,True,0
189732.119923987,97jg1krp6sw9,Elvera,3,zz30re,17,57883,1,0,228,0,True,0
189732.502491182,97jg1krp6sw9,Elvera,3,zz30re,17,57883,2,100,0,0,True,0
189733.203399037,97jg1krp6sw9,Elvera,3,zz30re,75,11849,1,0,228,0,True,0
189733.587120268,97jg1krp6sw9,Elvera,3,zz30re,75,11849,2,100,0,0,True,0
189736.67631997,97jg1krp6sw9,Elvera,3,zz30re,5,27864,1,0,228,0,True,0
189737.049342202,97jg1krp6sw9,Elvera,3,zz30re,5,27864,2,100,0,0,True,0
189741.064219904,97jg1krp6sw9,Elvera,4,258zc9,17,1931,2,0,100,0,True,0
189741.518169198,97jg1krp6sw9,Elvera,4,zz30re,32,24065,1,0,228,0,True,0
189741.884927787,97jg1krp6sw9,Elvera,4,zz30re,32,24065,2,100,0,0,True,0
189742.182093364,97jg1krp6sw9,Elvera,4,zz30re,35,21628,1,0,228,0,True,0
189742.56656934,97jg1krp6sw9,Elvera,4,zz30re,35,21628,2,100,0,0,True,0
189743.246391716,97jg1krp6sw9,Elvera,4,258zc9,61,40353,2,0,100,0,True,0
189744.222887091,97jg1krp6sw9,Elvera,4,zz30re,68,63469,1,0,228,0,True,0
189744.606978497,97jg1krp6sw9,Elvera,4,zz30re,68,63469,2,100,0,0,True,0
189746.409789664,97jg1krp6sw9,Elvera,4,258zc9,31,59342,2,0,100,0,True,0
189747.514095854,97jg1krp6sw9,Elvera,4,258zc9,38,24480,2,0,100,0,True,0
189747.802409083,97jg1krp6sw9,Elvera,4,zz30re,23,64892,1,0,228,0,True,0
189748.190844434,97jg1krp6sw9,Elvera,4,zz30re,23,64892,2,100,0,0,True,0
189800.604969038,97jg1krp6sw9,Elvera,10,258zc9,36,49532,2,0,100,0,True,0
189802.022092392,97jg1krp6sw9,Elvera,10,258zc9,25,5313,2,0,100,0,True,0
189804.948730403,97jg1krp6sw9,Elvera,10,258zc9,18,23797,2,0,100,0,True,0
189805.677322325,97jg1krp6sw9,Elvera,10,258zc9,25,6092,2,0,100,0,True,0
189806.403426829,97jg1krp6sw9,Elvera,10,258zc9,25,4216,2,0,100,0,True,0
189806.765609135,97jg1krp6sw9,Elvera,10,258zc9,25,38209,2,0,100,0,True,0
189830.459732964,97jg1krp6sw9,Elvera,13,4bvex1,27,53220,1,0,0,228,True,0
189832.67300175,97jg1krp6sw9,Elvera,13,4bvex1,46,54560,2,0,0,100,True,1
189832.677360474,97jg1krp6sw9,Elvera,13,zy3aln,60,11252,1,0,228,0,True,0
189833.064703148,97jg1krp6sw9,Elvera,13,zy3aln,60,11252,2,100,0,0,True,0
