t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189704.957707246,aypg8awhn1g5,Rick,0,zz30re,46,3917,1,0,0,228,True,0
189705.658396991,aypg8awhn1g5,Rick,0,zz30re,10,21960,1,0,0,228,True,0
189706.397952648,aypg8awhn1g5,Rick,0,zz30re,37,56913,1,0,0,228,True,0
189707.988358148,aypg8awhn1g5,Rick,0,258zc9,7,31405,1,0,0,228,True,0
189710.571450595,aypg8awhn1g5,Rick,1,258zc9,42,29086,2,0,0,100,True,0
189711.56259705,aypg8awhn1g5,Rick,1,zz30re,2,22956,1,0,0,228,True,0
189712.969563651,aypg8awhn1g5,Rick,1,zz30re,36,43765,1,0,0,228,True,0
189713.831270404,aypg8awhn1g5,Rick,1,258zc9,2,28690,1,0,0,228,True,0
189715.720892566,aypg8awhn1g5,Rick,1,zz30re,52,31256,2,0,0,100,True,1
189716.406764089,aypg8awhn1g5,Rick,1,258zc9,51,28621,1,0,0,228,True,0
189716.87643591,aypg8awhn1g5,Rick,1,258zc9,11,377,2,0,0,100,True,0
189717.578409173,aypg8awhn1g5,Rick,1,zz30re,56,22609,1,0,0,228,True,1
189717.9382803,aypg8awhn1g5,Rick,1,258zc9,51,28621,2,0,0,100,True,0
189719.803256879,aypg8awhn1g5,Rick,2,258zc9,65,32067,1,0,0,228,True,0
189720.185741958,aypg8awhn1g5,Rick,2,zz30re,16,2236,2,0,0,100,True,0
189720.719920982,aypg8awhn1g5,Rick,2,258zc9,65,32067,2,0,0,100,True,0
189722.989125291,aypg8awhn1g5,Rick,2,258zc9,33,21124,1,0,0,228,True,1
189723.356586997,aypg8awhn1g5,Rick,2,258zc9,55,15250,2,0,0,100,True,1
189723.725187387,aypg8awhn1g5,Rick,2,zz30re,77,4183,2,0,0,100,True,1
189724.413368336,aypg8awhn1g5,Rick,2,258zc9,69,47096,1,0,0,228,True,1
189725.128455853,aypg8awhn1g5,Rick,2,258zc9,54,48649,1,0,0,228,True,0
189725.581881134,aypg8awhn1g5,Rick,2,zz30re,26,43373,2,0,0,100,True,3
189726.266765616,aypg8awhn1g5,Rick,2,258zc9,34,64006,1,0,0,228,True,3
189726.964323663,aypg8awhn1g5,Rick,2,zz30re,54,7177,1,0,0,228,True,5
189727.340246767,aypg8awhn1g5,Rick,2,258zc9,54,48649,2,0,0,100,True,4
189728.025027059,aypg8awhn1g5,Rick,2,258zc9,3,51911,1,0,0,228,True,4
189728.440370094,aypg8awhn1g5,Rick,3,258zc9,34,64006,2,0,0,100,True,4
189739.240067379,aypg8awhn1g5,Rick,4,258zc9,45,60692,1,0,0,228,True,3
189739.958456555,aypg8awhn1g5,Rick,4,zz30re,35,21628,1,0,0,228,True,4
189740.654643735,aypg8awhn1g5,Rick,4,258zc9,72,3370,1,0,0,228,True,4
189741.027542313,aypg8awhn1g5,Rick,4,zz30re,54,7177,2,0,0,100,True,4
189741.717781076,aypg8awhn1g5,Rick,4,258zc9,73,34134,1,0,0,228,True,7
189742.092489584,aypg8awhn1g5,Rick,4,258zc9,63,17543,2,0,0,100,True,6
189742.789026361,aypg8awhn1g5,Rick,4,zz30re,68,63469,1,0,0,228,True,7
189743.50281871,aypg8awhn1g5,Rick,4,zz30re,64,51807,1,0,0,228,True,6
189743.87416919,aypg8awhn1g5,Rick,4,zz30re,57,14687,2,0,0,100,True,5
189744.239976447,aypg8awhn1g5,Rick,4,258zc9,31,59342,2,0,0,100,True,5
189744.92153485,aypg8awhn1g5,Rick,4,258zc9,15,27985,1,0,0,228,True,4
189745.319713063,aypg8awhn1g5,Rick,4,258zc9,38,24480,2,0,0,100,True,3
189745.704613344,aypg8awhn1g5,Rick,4,258zc9,73,34134,2,0,0,100,True,3
189746.071265982,aypg8awhn1g5,Rick,4,258zc9,37,12965,2,0,0,100,True,3
189746.450497098,aypg8awhn1g5,Rick,4,zz30re,35,21628,2,0,0,100,True,2
189746.811247796,aypg8awhn1g5,Rick,4,258zc9,15,27985,2,0,0,100,True,2
189747.504208882,aypg8awhn1g5,Rick,4,zz30re,0,14038,1,0,0,228,True,1
189747.879995127,aypg8awhn1g5,Rick,4,zz30re,28,56243,2,0,0,100,True,1
189748.608920866,aypg8awhn1g5,Rick,5,zz30re,6,23845,1,0,0,228,True,1
189759.21610084,aypg8awhn1g5,Rick,6,zz30re,69,46850,1,0,0,228,True,0
189760.683110629,aypg8awhn1g5,Rick,6,zz30re,50,14555,1,0,0,228,True,1
189761.381338399,aypg8awhn1g5,Rick,6,258zc9,30,46926,1,0,0,228,True,1
189762.086598155,aypg8awhn1g5,Rick,6,zz30re,70,402,1,0,0,228,True,1
189762.784217081,aypg8awhn1g5,Rick,6,zz30re,9,12072,1,0,0,228,True,1
189763.47447243,aypg8awhn1g5,Rick,6,zz30re,66,64365,1,0,0,228,True,1
189763.839408776,aypg8awhn1g5,Rick,6,zz30re,50,14555,2,0,0,100,True,0
189764.915632284,aypg8awhn1g5,Rick,6,zz30re,59,54471,1,0,0,228,True,1
189765.295084485,aypg8awhn1g5,Rick,6,zz30re,74,64983,2,0,0,100,True,0
189767.489727535,aypg8awhn1g5,Rick,6,258zc9,16,60261,2,0,0,100,True,1
189768.186027732,aypg8awhn1g5,Rick,6,258zc9,20,49698,1,0,0,228,True,0
189769.692490098,aypg8awhn1g5,Rick,7,258zc9,68,17293,1,0,0,228,True,1
189770.37731652,aypg8awhn1g5,Rick,7,zz30re,59,33857,1,0,0,228,True,1
189771.070363095,aypg8awhn1g5,Rick,7,zz30re,59,37509,1,0,0,228,True,3
189771.507827227,aypg8awhn1g5,Rick,7,258zc9,39,61568,2,0,0,100,True,2
189771.877798727,aypg8awhn1g5,Rick,7,zz30re,66,7282,2,0,0,100,True,1
189772.272137024,aypg8awhn1g5,Rick,7,zz30re,9,10846,2,0,0,100,True,1
189772.989132431,aypg8awhn1g5,Rick,7,zz30re,59,36501,1,0,0,228,True,1
189773.36470794,aypg8awhn1g5,Rick,7,zz30re,41,39943,2,0,0,100,True,0
189774.069568388,aypg8awhn1g5,Rick,7,258zc9,14,59639,1,0,0,228,True,1
189774.755777988,aypg8awhn1g5,Rick,7,zz30re,59,54325,1,0,0,228,True,0
189775.871290385,aypg8awhn1g5,Rick,7,258zc9,78,43552,1,0,0,228,True,1
189776.250626246,aypg8awhn1g5,Rick,7,258zc9,70,45051,2,0,0,100,True,0
189776.705139683,aypg8awhn1g5,Rick,7,258zc9,48,34852,2,0,0,100,True,0
189778.15695184,aypg8awhn1g5,Rick,7,258zc9,58,24931,2,0,0,100,True,0
189779.734692174,aypg8awhn1g5,Rick,8,zz30re,50,33450,2,0,0,100,True,0
189781.562428223,aypg8awhn1g5,Rick,8,258zc9,62,7267,1,0,0,228,True,0
189782.890702591,aypg8awhn1g5,Rick,8,258zc9,62,7267,2,0,0,100,True,1
189783.578606446,aypg8awhn1g5,Rick,8,258zc9,18,47775,1,0,0,228,True,0
189786.129971472,aypg8awhn1g5,Rick,8,258zc9,71,24672,1,0,0,228,True,1
189786.506462476,aypg8awhn1g5,Rick,8,258zc9,27,63601,2,0,0,100,True,0
189787.931918112,aypg8awhn1g5,Rick,8,258zc9,52,33970,2,0,0,100,True,0
189799.416779404,aypg8awhn1g5,Rick,10,258zc9,25,5313,2,0,0,100,True,1
189799.776562548,aypg8awhn1g5,Rick,10,258zc9,25,2265,2,0,0,100,True,0
189801.087733178,aypg8awhn1g5,Rick,10,258zc9,25,38209,1,0,0,228,True,0
189803.414319024,aypg8awhn1g5,Rick,10,258zc9,25,63739,2,0,0,100,True,0
189803.915092289,aypg8awhn1g5,Rick,10,258zc9,25,35882,2,0,0,100,True,0
189811.447823621,aypg8awhn1g5,Rick,11,258zc9,25,44637,1,0,0,228,True,0
189812.544749522,aypg8awhn1g5,Rick,11,258zc9,25,44637,2,0,0,100,True,0
189829.067376414,aypg8awhn1g5,Rick,13,4bvex1,37,620,1,0,0,228,True,0
189831.215345209,aypg8awhn1g5,Rick,13,4bvex1,46,54560,1,0,0,228,True,1
189831.584073256,aypg8awhn1g5,Rick,13,4bvex1,27,53220,2,0,0,100,True,0
189834.651215761,aypg8awhn1g5,Rick,13,4bvex1,56,47793,1,0,0,228,True,0
189835.940742861,aypg8awhn1g5,Rick,13,4bvex1,35,19592,2,0,0,100,True,0
189837.45233447,aypg8awhn1g5,Rick,13,4bvex1,47,53221,1,0,0,228,True,0
189843.121760053,aypg8awhn1g5,Rick,14,4bvex1,3,7994,1,0,0,228,True,0
189846.331492912,aypg8awhn1g5,Rick,14,4bvex1,75,1264,1,0,0,228,True,0
189847.068244883,aypg8awhn1g5,Rick,14,4bvex1,32,6209,1,0,0,228,True,0
189860.135261623,aypg8awhn1g5,Rick,16,4bvex1,62,20678,1,0,0,228,True,1
189860.816728496,aypg8awhn1g5,Rick,16,4bvex1,8,36717,1,0,0,228,True,0
189862.61303996,aypg8awhn1g5,Rick,16,4bvex1,8,36717,2,0,0,100,True,0
189891.65085007,aypg8awhn1g5,Rick,19,4bvex1,48,29043,1,0,0,228,True,0
189892.37186229,aypg8awhn1g5,Rick,19,4bvex1,77,62875,1,0,0,228,True,0
189894.465699786,aypg8awhn1g5,Rick,19,4bvex1,42,36073,1,0,0,228,True,1
189895.152698333,aypg8awhn1g5,Rick,19,4bvex1,67,38178,1,0,0,228,True,1
189895.518524188,aypg8awhn1g5,Rick,19,4bvex1,61,20772,2,0,0,100,True,0
189897.976623533,aypg8awhn1g5,Rick,19,4bvex1,22,61082,1,0,0,228,True,0
189901.235610699,aypg8awhn1g5,Rick,20,4bvex1,57,34656,2,0,0,100,True,0
189904.939424494,aypg8awhn1g5,Rick,20,4bvex1,34,11221,2,0,0,100,True,0
189905.989089781,aypg8awhn1g5,Rick,20,4bvex1,31,43386,2,0,0,100,True,0
189906.37756152,aypg8awhn1g5,Rick,20,4bvex1,36,20252,2,0,0,100,True,0
189908.448247877,aypg8awhn1g5,Rick,20,4bvex1,66,11602,1,0,0,228,True,0
189930.444627207,aypg8awhn1g5,Rick,23,4bvex1,66,11602,2,0,0,100,True,0
190021.397512749,aypg8awhn1g5,Rick,32,4bvex1,73,43638,1,0,0,228,True,0
190022.818567234,aypg8awhn1g5,Rick,32,4bvex1,65,45455,1,0,0,228,True,0
190024.204981646,aypg8awhn1g5,Rick,32,4bvex1,17,65308,1,0,0,228,True,1
190024.564123655,aypg8awhn1g5,Rick,32,4bvex1,39,6682,2,0,0,100,True,0
190025.596974726,aypg8awhn1g5,Rick,32,4bvex1,51,43147,1,0,0,228,True,0
190027.74319908,aypg8awhn1g5,Rick,32,4bvex1,17,3880,1,0,0,228,True,1
190028.433097515,aypg8awhn1g5,Rick,32,4bvex1,1,16337,1,0,0,228,True,1
190028.800575733,aypg8awhn1g5,Rick,33,4bvex1,51,36227,2,0,0,100,True,0
