t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189707.211781843,enowtg54gpht,Daisy,0,4bvex1,28,2087,1,0,0,228,True,1
189707.622945118,enowtg54gpht,Daisy,0,gkjg4a,16,6585,2,0,0,100,True,1
189707.630497773,enowtg54gpht,Daisy,0,bz8tbo,41,47779,2,0,100,0,True,0
189708.171180908,enowtg54gpht,Daisy,0,gkjg4a,12,4091,2,0,0,100,True,1
189708.978726827,enowtg54gpht,Daisy,1,gkjg4a,31,4106,1,0,0,228,True,0
189709.854400143,enowtg54gpht,Daisy,1,4bvex1,72,26070,2,0,0,100,True,1
189710.552912723,enowtg54gpht,Daisy,1,gkjg4a,65,35781,1,0,0,228,True,0
189711.09858765,enowtg54gpht,Daisy,1,bz8tbo,11,19737,2,0,100,0,True,0
189712.414563757,enowtg54gpht,Daisy,1,gkjg4a,75,1021,1,0,0,228,True,0
189713.964957486,enowtg54gpht,Daisy,1,gkjg4a,76,9659,1,0,0,228,True,1
189714.653903082,enowtg54gpht,Daisy,1,gkjg4a,66,56651,1,0,0,228,True,0
189717.251564758,enowtg54gpht,Daisy,1,gkjg4a,76,9659,2,0,0,100,True,0
189719.291202322,enowtg54gpht,Daisy,2,gkjg4a,56,16963,2,0,0,100,True,0
189720.670901278,enowtg54gpht,Daisy,2,gkjg4a,26,52458,1,0,0,228,True,0
189726.284915703,enowtg54gpht,Daisy,2,gkjg4a,6,55826,2,0,0,100,True,1
189726.67297984,enowtg54gpht,Daisy,2,gkjg4a,19,10158,2,0,0,100,True,0
189728.615961021,enowtg54gpht,Daisy,3,gkjg4a,0,11043,2,0,0,100,True,0
189729.979713372,enowtg54gpht,Daisy,3,gkjg4a,78,38665,1,0,0,228,True,0
189735.012241344,enowtg54gpht,Daisy,3,gkjg4a,68,14050,2,0,0,100,True,0
189740.863501341,enowtg54gpht,Daisy,4,gkjg4a,13,36847,1,0,0,228,True,1
189741.225349891,enowtg54gpht,Daisy,4,gkjg4a,30,45377,2,0,0,100,True,0
