t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189708.021343315,esvy2ceq7qzw,Queen,0,bnovkv,23,43025,1,0,228,0,True,0
189708.497026578,esvy2ceq7qzw,Queen,1,bnovkv,23,43025,2,100,0,0,True,0
189719.048607445,esvy2ceq7qzw,Queen,2,bnovkv,31,24687,1,0,228,0,True,0
189719.419775945,esvy2ceq7qzw,Queen,2,bnovkv,31,24687,2,100,0,0,True,0
189723.902637473,esvy2ceq7qzw,Queen,2,bnovkv,40,31974,1,0,228,0,True,0
189724.296292786,esvy2ceq7qzw,Queen,2,bnovkv,40,31974,2,100,0,0,True,0
189726.769154581,esvy2ceq7qzw,Queen,2,bnovkv,38,15249,1,0,228,0,True,0
189727.132757749,esvy2ceq7qzw,Queen,2,bnovkv,38,15249,2,100,0,0,True,0
189740.098451035,esvy2ceq7qzw,Queen,4,bnovkv,10,9306,1,0,228,0,True,0
189740.474421822,esvy2ceq7qzw,Queen,4,bnovkv,10,9306,2,100,0,0,True,0
189742.49071504,esvy2ceq7qzw,Queen,4,bnovkv,9,53628,1,0,228,0,True,0
189742.862766871,esvy2ceq7qzw,Queen,4,bnovkv,9,53628,2,100,0,0,True,0
189747.597980952,esvy2ceq7qzw,Queen,4,bnovkv,55,51349,1,0,228,0,True,0
189747.963886149,esvy2ceq7qzw,Queen,4,bnovkv,55,51349,2,100,0,0,True,0
189756.865174596,esvy2ceq7qzw,Queen,5,bnovkv,14,21431,1,0,228,0,True,0
189757.235236154,esvy2ceq7qzw,Queen,5,bnovkv,14,21431,2,100,0,0,True,0
189774.392831055,esvy2ceq7qzw,Queen,7,bnovkv,21,42122,1,0,228,0,True,0
189774.769315427,esvy2ceq7qzw,Queen,7,bnovkv,21,42122,2,100,0,0,True,0
189820.292597354,esvy2ceq7qzw,Queen,12,bnovkv,2,3500,1,0,228,0,True,0
189820.656286581,esvy2ceq7qzw,Queen,12,bnovkv,2,3500,2,100,0,0,True,0
189822.758796283,esvy2ceq7qzw,Queen,12,bnovkv,20,47429,1,0,228,0,True,0
189823.121850788,esvy2ceq7qzw,Queen,12,bnovkv,20,47429,2,100,0,0,True,0
189823.401610113,esvy2ceq7qzw,Queen,12,bnovkv,47,63253,1,0,228,0,True,0
189823.779662604,esvy2ceq7qzw,Queen,12,bnovkv,47,63253,2,100,0,0,True,0
189824.11354919,esvy2ceq7qzw,Queen,12,bnovkv,41,30450,1,0,228,0,True,0
189824.476942276,esvy2ceq7qzw,Queen,12,bnovkv,41,30450,2,100,0,0,True,0
189826.159248531,esvy2ceq7qzw,Queen,12,bnovkv,60,51379,1,0,228,0,True,0
189826.52988609,esvy2ceq7qzw,Queen,12,bnovkv,60,51379,2,100,0,0,True,0
189826.89912716,esvy2ceq7qzw,Queen,12,bnovkv,12,5221,1,0,228,0,True,0
189827.28393085,esvy2ceq7qzw,Queen,12,bnovkv,12,5221,2,100,0,0,True,0
189840.660545855,esvy2ceq7qzw,Queen,14,bnovkv,20,16593,1,0,228,0,True,0
189841.032540405,esvy2ceq7qzw,Queen,14,bnovkv,20,16593,2,100,0,0,True,0
189843.152979174,esvy2ceq7qzw,Queen,14,bnovkv,20,56749,1,0,228,0,True,0
189843.531519513,esvy2ceq7qzw,Queen,14,bnovkv,20,56749,2,100,0,0,True,0
189844.246371262,esvy2ceq7qzw,Queen,14,bnovkv,20,36746,1,0,228,0,True,0
189844.615096667,esvy2ceq7qzw,Queen,14,bnovkv,20,36746,2,100,0,0,True,0
189849.566652121,esvy2ceq7qzw,Queen,15,bnovkv,20,40598,1,0,228,0,True,0
189849.935413906,esvy2ceq7qzw,Queen,15,bnovkv,20,40598,2,100,0,0,True,0
189851.675660491,esvy2ceq7qzw,Queen,15,bnovkv,20,57441,1,0,228,0,True,0
189852.050958517,esvy2ceq7qzw,Queen,15,bnovkv,20,57441,2,100,0,0,True,0
