t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189757.816668432,ikd0pv0nmwus,Leigh,5,258zc9,9,15948,2,0,0,100,True,0
189760.596451178,ikd0pv0nmwus,Leigh,6,258zc9,53,28678,1,0,0,228,True,0
189762.851855424,ikd0pv0nmwus,Leigh,6,258zc9,30,46926,2,0,0,100,True,0
189766.588806238,ikd0pv0nmwus,Leigh,6,258zc9,66,3284,1,0,0,228,True,0
189768.71051137,ikd0pv0nmwus,Leigh,7,258zc9,39,61568,1,0,0,228,True,0
189801.991012967,ikd0pv0nmwus,Leigh,10,258zc9,18,23797,2,0,0,100,True,0
189821.300071382,ikd0pv0nmwus,Leigh,12,4bvex1,68,35948,1,0,0,228,True,1
189821.991984617,ikd0pv0nmwus,Leigh,12,4bvex1,74,41195,1,0,0,228,True,0
189822.724851054,ikd0pv0nmwus,Leigh,12,4bvex1,5,57852,1,0,0,228,True,1
189822.729399842,ikd0pv0nmwus,Leigh,12,4bvex1,74,41195,2,0,100,0,True,0
189823.109467053,ikd0pv0nmwus,Leigh,12,4bvex1,5,57852,2,0,100,0,True,0
189824.125592266,ikd0pv0nmwus,Leigh,12,4bvex1,30,8032,1,0,0,228,True,1
189824.130442845,ikd0pv0nmwus,Leigh,12,4bvex1,21,192,2,0,100,0,True,0
189826.244409062,ikd0pv0nmwus,Leigh,12,4bvex1,44,45185,1,0,0,228,True,1
189826.249564316,ikd0pv0nmwus,Leigh,12,4bvex1,13,35193,2,0,100,0,True,0
189826.952216181,ikd0pv0nmwus,Leigh,12,4bvex1,63,14773,1,0,0,228,True,0
189827.37858422,ikd0pv0nmwus,Leigh,12,4bvex1,63,14773,2,0,100,0,True,0
189828.392952811,ikd0pv0nmwus,Leigh,12,4bvex1,24,26411,1,0,0,228,True,2
189828.397577846,ikd0pv0nmwus,Leigh,12,4bvex1,2,30075,2,0,100,0,True,1
189829.089323105,ikd0pv0nmwus,Leigh,13,4bvex1,69,61617,1,0,0,228,True,0
189829.536218648,ikd0pv0nmwus,Leigh,13,4bvex1,69,61617,2,0,100,0,True,0
189831.921469609,ikd0pv0nmwus,Leigh,13,4bvex1,46,54560,1,0,0,228,True,0
189832.9962584,ikd0pv0nmwus,Leigh,13,4bvex1,40,53019,1,0,0,228,True,0
189834.816026331,ikd0pv0nmwus,Leigh,13,4bvex1,35,19592,1,0,0,228,True,0
189836.241907154,ikd0pv0nmwus,Leigh,13,4bvex1,19,34777,1,0,0,228,True,0
189837.319297439,ikd0pv0nmwus,Leigh,13,4bvex1,64,8568,1,0,0,228,True,0
189840.419401779,ikd0pv0nmwus,Leigh,14,4bvex1,16,46334,1,0,0,228,True,0
189841.340293327,ikd0pv0nmwus,Leigh,14,4bvex1,45,54411,1,0,0,228,True,1
189842.028411615,ikd0pv0nmwus,Leigh,14,4bvex1,43,47126,1,0,0,228,True,1
189842.033465906,ikd0pv0nmwus,Leigh,14,4bvex1,45,54411,2,0,100,0,True,0
189844.847152733,ikd0pv0nmwus,Leigh,14,4bvex1,14,14317,1,0,0,228,True,0
189847.778754715,ikd0pv0nmwus,Leigh,14,4bvex1,32,6209,1,0,0,228,True,1
189847.784708714,ikd0pv0nmwus,Leigh,14,4bvex1,15,11815,2,0,100,0,True,0
189870.218201007,ikd0pv0nmwus,Leigh,17,4bvex1,38,28403,1,0,0,228,True,0
189891.268978095,ikd0pv0nmwus,Leigh,19,4bvex1,18,57412,1,0,0,228,True,0
189892.725074198,ikd0pv0nmwus,Leigh,19,4bvex1,48,29043,2,0,100,0,True,0
189896.572797078,ikd0pv0nmwus,Leigh,19,4bvex1,7,5807,1,0,0,228,True,1
189897.25170311,ikd0pv0nmwus,Leigh,19,4bvex1,11,174,1,0,0,228,True,0
189898.695274321,ikd0pv0nmwus,Leigh,20,4bvex1,22,61082,1,0,0,228,True,0
189900.808865641,ikd0pv0nmwus,Leigh,20,4bvex1,70,12256,1,0,0,228,True,0
189901.914107852,ikd0pv0nmwus,Leigh,20,4bvex1,57,34656,2,0,100,0,True,0
189905.389006317,ikd0pv0nmwus,Leigh,20,4bvex1,34,11221,2,0,100,0,True,0
189907.816438588,ikd0pv0nmwus,Leigh,20,4bvex1,23,20443,2,0,100,0,True,0
190021.785100796,ikd0pv0nmwus,Leigh,32,4bvex1,6,29676,2,0,100,0,True,0
190023.895646412,ikd0pv0nmwus,Leigh,32,4bvex1,65,45455,2,0,100,0,True,0
190024.883212424,ikd0pv0nmwus,Leigh,32,4bvex1,17,65308,1,0,0,228,True,1
190024.888847858,ikd0pv0nmwus,Leigh,32,4bvex1,71,23642,2,0,100,0,True,0
190029.234274465,ikd0pv0nmwus,Leigh,33,4bvex1,39,59533,2,0,100,0,True,0
190029.962042397,ikd0pv0nmwus,Leigh,33,4bvex1,17,3880,2,0,100,0,True,0
190030.291946065,ikd0pv0nmwus,Leigh,33,4bvex1,1,46010,2,0,100,0,True,0
