t,addr,owner,current_round,file_id,chunk_id,mess_id,type,sent,received,forwarded,success,messages_in_queue
189715.734157846,iutludx8rcy9,Kandi,1,zz30re,52,31256,2,0,100,0,True,0
189720.195501198,iutludx8rcy9,Kandi,2,zz30re,16,2236,2,0,100,0,True,0
189720.93783685,iutludx8rcy9,Kandi,2,zz30re,48,54002,2,0,100,0,True,0
189723.588183783,iutludx8rcy9,Kandi,2,zz30re,62,17544,2,0,100,0,True,0
189725.783668888,iutludx8rcy9,Kandi,2,zz30re,38,50083,2,0,100,0,True,0
189726.171014716,iutludx8rcy9,Kandi,2,zz30re,24,28983,2,0,100,0,True,0
189726.55086414,iutludx8rcy9,Kandi,2,zz30re,71,20523,2,0,100,0,True,0
189740.836584161,iutludx8rcy9,Kandi,4,zz30re,21,52577,2,0,100,0,True,0
189743.883394523,iutludx8rcy9,Kandi,4,zz30re,57,14687,2,0,100,0,True,0
189746.455503682,iutludx8rcy9,Kandi,4,zz30re,35,21628,2,0,100,0,True,0
189746.660075911,iutludx8rcy9,Kandi,4,zz30re,68,63469,2,0,100,0,True,0
189748.915703593,iutludx8rcy9,Kandi,5,zz30re,55,53624,2,0,100,0,True,0
189773.278294792,iutludx8rcy9,Kandi,7,zz30re,66,46494,2,0,100,0,True,0
189775.134165517,iutludx8rcy9,Kandi,7,zz30re,59,25807,2,0,100,0,True,0
189776.602485971,iutludx8rcy9,Kandi,7,zz30re,59,37509,2,0,100,0,True,0
